"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Liver and Pancreas",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Respiratory system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Female tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Adipose - Subcutaneous",0.266467,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Uterus,0.063709,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Adipose - Visceral (Omentum)",0.033826,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Spleen,0.003331,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Breast - Mammary Tissue",-0.05399,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Nerve - Tibial",-0.091247,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Thyroid,-0.158985,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Pituitary,-0.165325,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Lung,-0.271484,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Vagina,-0.354725,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Testis,-0.472306,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Frontal Cortex (BA9)",-0.479124,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Skin - Sun Exposed (Lower leg)",-0.583526,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Cortex",-0.583942,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Substantia nigra",-0.659754,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Cells - Transformed fibroblasts",-0.665546,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Prostate,-0.689732,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Anterior cingulate cortex (BA24)",-0.693361,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Skin - Not Sun Exposed (Suprapubic)",-0.753255,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Ovary,-0.76675,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Caudate (basal ganglia)",-0.783043,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Hypothalamus",-0.78728,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Amygdala",-0.793444,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Muscle - Skeletal",-0.811775,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Small Intestine - Terminal Ileum",-0.814741,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Esophagus - Gastroesophageal Junction",-0.816161,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Artery - Coronary",-0.821023,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Esophagus - Muscularis",-0.824488,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Hippocampus",-0.828127,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Putamen (basal ganglia)",-0.863279,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Spinal cord (cervical c-1)",-0.882729,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Heart - Atrial Appendage",-0.887395,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Stomach,-0.904482,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Colon - Sigmoid",-0.919374,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Artery - Tibial",-0.93968,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Nucleus accumbens (basal ganglia)",-0.986741,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Cerebellum",-0.98843,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Esophagus - Mucosa",-1.035646,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Pancreas,-1.068288,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Minor Salivary Gland",-1.139004,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Artery - Aorta",-1.142366,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Heart - Left Ventricle",-1.215561,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Brain - Cerebellar Hemisphere",-1.228707,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Colon - Transverse",-1.282329,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Adrenal Gland",-1.384471,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,Liver,-1.502517,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Cells - EBV-transformed lymphocytes",-1.583526,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Kidney - Cortex",-1.600672,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,GTEx,"Whole Blood",-1.726999,Low,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","adipose tissue",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","adrenal gland",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","bone marrow",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA",breast,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","cerebral cortex",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","cervix, uterine",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA",colon,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA",endometrium,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA",epididymis,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA",esophagus,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P30939,P30939,"HPA RNA","fallopian tube",0.0,Medium,0.0,,
