"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Liver and Pancreas",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Digestive Tract",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Respiratory system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Female tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,Consensus,"Cardiovascular System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Pancreas,0.62634,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Heart - Atrial Appendage",0.439017,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Nerve - Tibial",0.38641,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Caudate (basal ganglia)",-0.029793,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Testis,-0.080086,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Hypothalamus",-0.276544,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Lung,-0.302335,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Heart - Left Ventricle",-0.314751,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Stomach,-0.317765,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Nucleus accumbens (basal ganglia)",-0.342848,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Thyroid,-0.387693,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Putamen (basal ganglia)",-0.53566,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Minor Salivary Gland",-0.578232,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Artery - Tibial",-0.585695,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Skin - Sun Exposed (Lower leg)",-0.621239,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Skin - Not Sun Exposed (Suprapubic)",-0.734946,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Cortex",-0.875822,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Breast - Mammary Tissue",-0.897909,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Prostate,-0.970008,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Artery - Coronary",-1.068847,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Adipose - Visceral (Omentum)",-1.114497,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Frontal Cortex (BA9)",-1.120331,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Anterior cingulate cortex (BA24)",-1.176135,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Adipose - Subcutaneous",-1.187688,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Cerebellar Hemisphere",-1.255707,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Whole Blood",-1.261021,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Cerebellum",-1.273844,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Small Intestine - Terminal Ileum",-1.285251,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Hippocampus",-1.302683,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Spleen,-1.34094,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Spinal cord (cervical c-1)",-1.358427,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Amygdala",-1.511802,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Pituitary,-1.56647,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Esophagus - Mucosa",-1.583276,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Kidney - Cortex",-1.596536,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Colon - Transverse",-1.620967,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Artery - Aorta",-1.636012,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Adrenal Gland",-1.680894,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Liver,-1.730254,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Uterus,-1.735891,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Brain - Substantia nigra",-1.743763,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Colon - Sigmoid",-1.794796,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Cells - EBV-transformed lymphocytes",-1.805208,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Vagina,-1.863755,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Esophagus - Gastroesophageal Junction",-1.864231,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Muscle - Skeletal",-1.864708,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Esophagus - Muscularis",-2.043112,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,Ovary,-2.084864,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,GTEx,"Cells - Transformed fibroblasts",-2.230992,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPM Protein","Adult Ovary",0.119272,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPM Protein","CD8 Cells",0.103614,Low,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"JensenLab Experiment HPM",BTO:0004410,0.0,null,0.5,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","adipose tissue",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",breast,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","cerebral cortex",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",duodenum,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",gallbladder,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","heart muscle",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",kidney,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",lung,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","lymph node",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",pancreas,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","salivary gland",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",skin,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","small intestine",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",stomach,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA",testis,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","thyroid gland",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P43220,P43220,"HPA RNA","urinary bladder",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Liver and Pancreas",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Respiratory system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P47872,P47872,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
