"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Liver and Pancreas",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Urinary Tract",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Respiratory system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Female tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Skin and soft tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Testis,0.410102,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Frontal Cortex (BA9)",0.407731,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Nucleus accumbens (basal ganglia)",0.287578,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Cortex",0.265996,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Anterior cingulate cortex (BA24)",0.115278,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Hypothalamus",0.079362,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Caudate (basal ganglia)",0.011147,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Amygdala",-0.105241,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Hippocampus",-0.120331,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Putamen (basal ganglia)",-0.266963,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Cerebellum",-0.280006,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Substantia nigra",-0.360215,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Artery - Aorta",-0.504872,High,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Spinal cord (cervical c-1)",-0.526075,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Brain - Cerebellar Hemisphere",-0.619427,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Pituitary,-0.695833,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Artery - Coronary",-0.956245,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Artery - Tibial",-1.215418,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Cells - EBV-transformed lymphocytes",-1.323032,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Cells - Transformed fibroblasts",-1.527756,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Nerve - Tibial",-1.573082,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Kidney - Cortex",-1.647046,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Small Intestine - Terminal Ileum",-1.670806,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Whole Blood",-1.692932,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Vagina,-1.703335,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Heart - Atrial Appendage",-1.825649,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Esophagus - Muscularis",-1.828274,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Pancreas,-1.850935,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Prostate,-1.892451,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Esophagus - Gastroesophageal Junction",-1.898941,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Breast - Mammary Tissue",-1.904831,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Muscle - Skeletal",-1.906228,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Ovary,-1.924453,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Adipose - Visceral (Omentum)",-1.937794,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Skin - Sun Exposed (Lower leg)",-1.952725,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Lung,-1.996109,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Esophagus - Mucosa",-2.00811,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Adrenal Gland",-2.036684,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Liver,-2.046966,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Uterus,-2.047692,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Adipose - Subcutaneous",-2.063889,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Stomach,-2.072117,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,Thyroid,-2.134008,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Heart - Left Ventricle",-2.251812,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Colon - Sigmoid",-2.283162,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Skin - Not Sun Exposed (Suprapubic)",-2.366633,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,GTEx,"Colon - Transverse",-2.528782,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P41594,P41594,"HPM Protein","Fetal Brain",1.476403,High,0.0,,
