"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P41594,P41594,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P41594,P41594,"Huntington's disease","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05016
https://pharos.nih.gov/idg/targets/P41594,P41594,"Gap junction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04540
https://pharos.nih.gov/idg/targets/P41594,P41594,"Retrograde endocannabinoid signaling","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04723
https://pharos.nih.gov/idg/targets/P41594,P41594,"Glutamatergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04724
https://pharos.nih.gov/idg/targets/P41594,P41594,"Long-term potentiation","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04720
https://pharos.nih.gov/idg/targets/P41594,P41594,"Calcium signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04020
https://pharos.nih.gov/idg/targets/P41594,P41594,"Phospholipase D signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04072
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_27092c24b2f713810403432efa26b8f6,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_b516ead3be242a01ddea3ade753eb59e,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_dbb444f745dd90981d4b59c8b667efea,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_eacaa14151177b6dfa5d891ffff8fd5a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_f35b93dbbc53a9016cf2c3fc2721c15a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_f7f481191c4d1773b589beca8336c31e,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_0c91b34b5c1013d5ab1e4c2f368c695d,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_1075c2a0d6d4a8bd0e5c128dc8eafc6a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_69d1358bdbea76321e62f8879b12422d,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_9da80d75fa6bc1dc1d204a78d6015dcb,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_b6fe3d6d428bdc684a837571a9b21fd8,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_e54d985c461097a0c4b4f29cf21fc921,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://pathwaycommons.org/pc2/Pathway_f37ef6e630034caa082a77f0ad9f473c,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://identifiers.org/panther.pathway/P00026,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://identifiers.org/panther.pathway/P00027,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://identifiers.org/panther.pathway/P00039,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://identifiers.org/panther.pathway/P05730,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,http://identifiers.org/panther.pathway/P00041,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41594,P41594,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P41594,P41594,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/P41594,P41594,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/P41594,P41594,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/P41594,P41594,"Neuronal System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-112316
https://pharos.nih.gov/idg/targets/P41594,P41594,"G alpha (q) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-416476
https://pharos.nih.gov/idg/targets/P41594,P41594,"Protein-protein interactions at synapses","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-6794362
https://pharos.nih.gov/idg/targets/P41594,P41594,"Neurexins and neuroligins","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-6794361
https://pharos.nih.gov/idg/targets/P41594,P41594,"Class C/3 (Metabotropic glutamate/pheromone receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-420499
https://pharos.nih.gov/idg/targets/P41594,P41594,"Common Pathways Underlying Drug Addiction","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2636_r95595
https://pharos.nih.gov/idg/targets/P41594,P41594,"GPCRs, Class C Metabotropic glutamate, pheromone","WikiPathways Pathway",http://www.wikipathways.org/instance/WP501_r79715
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Cocaine addiction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05030
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Glutamatergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04724
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Phospholipase D signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04072
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_27092c24b2f713810403432efa26b8f6,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_b516ead3be242a01ddea3ade753eb59e,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_dbb444f745dd90981d4b59c8b667efea,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_eacaa14151177b6dfa5d891ffff8fd5a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_f35b93dbbc53a9016cf2c3fc2721c15a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_f7f481191c4d1773b589beca8336c31e,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_0c91b34b5c1013d5ab1e4c2f368c695d,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_69d1358bdbea76321e62f8879b12422d,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_9da80d75fa6bc1dc1d204a78d6015dcb,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_b6fe3d6d428bdc684a837571a9b21fd8,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://pathwaycommons.org/pc2/Pathway_f37ef6e630034caa082a77f0ad9f473c,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://identifiers.org/panther.pathway/P00026,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://identifiers.org/panther.pathway/P00027,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://identifiers.org/panther.pathway/P00037,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,http://identifiers.org/panther.pathway/P00040,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"G alpha (i) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-418594
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"Class C/3 (Metabotropic glutamate/pheromone receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-420499
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"GPCRs, Class C Metabotropic glutamate, pheromone","WikiPathways Pathway",http://www.wikipathways.org/instance/WP501_r79715
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
