"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Blood and immune system",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Male tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Skin and soft tissues",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Thyroid,0.915479,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Pituitary,0.889274,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Artery - Aorta",0.842547,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Artery - Tibial",0.821219,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Ovary,0.771808,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Brain - Cerebellum",0.626956,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Uterus,0.607562,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Artery - Coronary",0.601517,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Colon - Transverse",0.566379,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Brain - Cerebellar Hemisphere",0.522444,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Vagina,0.517724,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Testis,0.459015,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,Prostate,0.417389,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Kidney - Cortex",0.377215,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Skin - Not Sun Exposed (Suprapubic)",0.31775,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Brain - Nucleus accumbens (basal ganglia)",0.312812,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Skin - Sun Exposed (Lower leg)",0.29048,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Cells - Transformed fibroblasts",0.276347,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Nerve - Tibial",0.211254,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,GTEx,"Brain - Cortex",0.190051,Medium,0.0,,
