"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"MAPK signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04010
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Thermogenesis,"KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04714
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"mTOR signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04150
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Insulin resistance","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04931
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Oocyte meiosis","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04114
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Neurotrophin signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04722
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Long-term potentiation","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04720
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Progesterone-mediated oocyte maturation","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04914
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://pathwaycommons.org/pc2/Pathway_64899ceeb2cb6ca5a90ec5271a196bff,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://pathwaycommons.org/pc2/Pathway_86241533fc884472d7c411dbf8718b42,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://identifiers.org/panther.pathway/P00036,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://identifiers.org/panther.pathway/P00047,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://identifiers.org/panther.pathway/P04393,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,http://identifiers.org/panther.pathway/P00032,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Axon guidance","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-422475
