"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Endocrine System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Blood and immune system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Respiratory system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Skin and soft tissues",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Lung,2.458336,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Skin - Sun Exposed (Lower leg)",2.288249,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Skin - Not Sun Exposed (Suprapubic)",2.280237,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Esophagus - Mucosa",2.216298,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Breast - Mammary Tissue",2.20412,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Vagina,2.186815,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Adipose - Subcutaneous",2.185542,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Spleen,2.157759,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Cells - EBV-transformed lymphocytes",2.143015,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Kidney - Cortex",2.138145,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Thyroid,2.116109,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Colon - Transverse",2.085433,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Minor Salivary Gland",2.07664,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Prostate,2.07664,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Uterus,2.070407,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Adipose - Visceral (Omentum)",2.012626,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Stomach,2.006894,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Nerve - Tibial",1.959876,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Whole Blood",1.93872,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Pituitary,1.929266,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Testis,1.915294,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Small Intestine - Terminal Ileum",1.895864,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Artery - Aorta",1.886604,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Adrenal Gland",1.844477,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Artery - Coronary",1.832764,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Esophagus - Gastroesophageal Junction",1.729732,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Ovary,1.697142,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Heart - Atrial Appendage",1.6964,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Esophagus - Muscularis",1.689708,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Colon - Sigmoid",1.688509,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Cerebellum",1.680607,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Muscle - Skeletal",1.63794,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Liver,1.620968,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Cerebellar Hemisphere",1.619302,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,Pancreas,1.551572,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Artery - Tibial",1.547036,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Hypothalamus",1.520025,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Spinal cord (cervical c-1)",1.503995,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Heart - Left Ventricle",1.502291,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Cells - Transformed fibroblasts",1.498242,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Cortex",1.459995,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Frontal Cortex (BA9)",1.455454,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Substantia nigra",1.4133,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Putamen (basal ganglia)",1.338058,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Hippocampus",1.327665,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Caudate (basal ganglia)",1.310693,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Nucleus accumbens (basal ganglia)",1.301464,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Anterior cingulate cortex (BA24)",1.277151,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,GTEx,"Brain - Amygdala",1.171726,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","adipose tissue",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","adrenal gland",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",appendix,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","bone marrow",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",breast,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","cerebral cortex",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","cervix, uterine",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",colon,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",duodenum,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",endometrium,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",epididymis,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",esophagus,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","fallopian tube",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",gallbladder,0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA","heart muscle",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",kidney,0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"HPA RNA",liver,0.0,Medium,0.0,,
