"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Skin and soft tissues",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Nervous System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Spleen,1.613313,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Uterus,1.584727,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Thyroid,1.525498,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Ovary,1.497206,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Brain - Cerebellar Hemisphere",1.477266,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Artery - Tibial",1.444357,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Nerve - Tibial",1.427729,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Lung,1.42586,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Testis,1.403035,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Cells - EBV-transformed lymphocytes",1.398981,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Skin - Not Sun Exposed (Suprapubic)",1.390582,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Adipose - Subcutaneous",1.388989,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Vagina,1.38641,High,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Brain - Cerebellum",1.374198,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Skin - Sun Exposed (Lower leg)",1.363612,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Prostate,1.361445,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Artery - Aorta",1.36135,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Breast - Mammary Tissue",1.358886,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Artery - Coronary",1.356408,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,Pituitary,1.350248,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Adipose - Visceral (Omentum)",1.347428,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Colon - Sigmoid",1.314289,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Small Intestine - Terminal Ileum",1.310056,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Esophagus - Gastroesophageal Junction",1.282055,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Brain - Frontal Cortex (BA9)",1.261976,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Esophagus - Muscularis",1.254548,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Colon - Transverse",1.235655,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q13627,Q13627,GTEx,"Muscle - Skeletal",1.230577,Medium,0.0,,
