"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,28735864,"The data described herein provide the first identification of a DYRK1A-mediated site of phosphorylation on GLI1 within its NLS and may serve as a valuable mechanism for further understanding Hh signaling modulation."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,28235034,"DYRK1A phosphorylation of NFATc1/alphaA at S261, S278, S403 and S409 interfered with NFATc1 ubiquitination and ubiquitin-proteasome degradation."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,28053047,"we suggest that de novo dominant mutations in DYRK1A account for nearly 0.5% of severe developmental disorders due to substantially reduced kinase function"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,27807027,"study uncovered a new regulatory mechanism of DYRK1A degradation by SCF(betaTrCP) in HEK293 cell cycle progression."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,27546826,"These results suggest that TT genotype derived from SNP rs8126696 of DYRK1A gene is a possible risk factor for sporadic Parkinson disease, especially for males in this Chinese Han population."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,27100087,"RNA-seq evidence of biallelic expression of DYRK1A and 10 neighboring genes in at least one primary human tissue tested indicates that the expression of DYRK1A is uncoupled from the control of the maternally inherited 5mCpG imprints at the WRB differentially methylated region (DMR) in disomic controls or trisomy (Down syndrome) individuals."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,27085534,"identified the significant associations of the GBA L444P mutation and DYRK1A rs8126696 T allele with the earlier age at onset (AAO) in Parkinson's disease (PD) patients, and the A allele at MS4A6A rs610932 with the delayed AAO of PD."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,27056896,"Identify Dyrk1a as a novel negative regulator of D-cyclin-mediated Rb1/E2f-signalling. As dysregulation of this pathway with impaired cardiomyocyte proliferation leads to cardiomyopathy."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26922654,"A de novo splice site mutation and a de novo nonsense mutation in DYRK1A were identified in two patients with syndromic intellectual disability."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26641855,"data indicate that host factor DYRK1A plays a role in the regulation of viral transcription and latency."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26534959,"the increased immunostaining of DYRK1A in HIV+ brains without pathology points at dysregulation of DYRK1A as an early event in the neuronal complications of HIV infection."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26496802,"Inhibition of DYRK1A and GSK3B induces human beta-cell proliferation"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26137553,"The deleterious effect of DYRK1A triplication in the formation of the cerebral cortex begins at the onset of neurogenesis, which is relevant to the search for early therapeutic interventions in Down syndrome."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,26137545,"Cyclin D1 Again Caught in the Act: Dyrk1a Links G1 and Neurogenesis in Down Syndrome."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25944381,"Our report represents the largest cohort of individuals with DYRK1A disruptions to date, and is the first attempt to define consistent genotype-phenotype correlations among subjects with 21q22.13 microdeletions and DYRK1A SNVs or small INDELs."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25920557,"We identified unique truncating and non-synonymous mutations (three nonsense, four frameshift and two missense) in DYRK1A in nine patients and a large chromosomal deletion that encompassed DYRK1A in one patient"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25918155,"findings suggest that truncation/activation of Dyrk1A by Ca(2+)/calpain I might contribute to Tau pathology via promotion of exon 10 exclusion and hyperphosphorylation of Tau in AD brain"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25707398,"mutations in DYRK1A define a syndromic form of autism spectrum disorder and intellectual disability with neurodevelopmental defects consistent with murine and Drosophila knockout models"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25641759,"novel mutations in DYRK1A contribute to the phenotype of the DYRK1A-associated developmental disorder"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25620562,"Results show that DYRK1A associates with the promoters of genes actively transcribed by RNAPII, where it regulates transcription by locally phosphorylating CTD residues involved in transcriptional elongation."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25342745,"results demonstrate that the molecular chaperone TRiC/CCT is essential for correct protein folding, DYRK1A binding, and nuclear accumulation of WDR68."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,25116835,"Then we used this method to analyse human plasma DYRK1A levels in patients with AD biologically confirmed (positive CSF biomarkers and PiB-PET) and controls defined by normal cognitive performances and negative PiB-PET imaging."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,24901999,"Tumor suppressor DYRK1A effects on proliferation and chemoresistance of AML cells by downregulating c-Myc."
https://pharos.nih.gov/idg/targets/Q13627,Q13627,24820035,"DYRK1A phoshorylates histone H3 to differentially regulate the binding of HP1 isoforms and antagonize HP1-mediated transcriptional repression."
