"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,http://pathwaycommons.org/pc2/Pathway_3a6d369c50d4882dc6b61149d4d84c3a,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/Q13627,Q13627,http://pathwaycommons.org/pc2/Pathway_6284c9242ef6746036b180f50003bab5,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/Q13627,Q13627,http://pathwaycommons.org/pc2/Pathway_8247fda91565e226d650381fdcf47e72,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"Cell Cycle","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1640170
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"Cell Cycle, Mitotic","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-69278
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"Mitotic G1-G1/S phases","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-453279
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"G0 and Early G1","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1538133
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"Circadian rythm related genes","WikiPathways Pathway",http://www.wikipathways.org/instance/WP3594_r87161
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"T-Cell Receptor and Co-stimulatory Signaling","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2583_r96058
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"Gene expression (Transcription)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-74160
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"Generic Transcription Pathway","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-212436
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"RNA Polymerase II Transcription","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-73857
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"TP53 Regulates Transcription of DNA Repair Genes","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-6796648
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"Transcriptional Regulation by TP53","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-3700989
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Epstein-Barr virus infection","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05169
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Adherens junction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04520
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,Measles,"KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05162
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Herpes simplex infection","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05168
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Mitophagy - animal","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04137
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"NF-kappa B signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04064
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Wnt signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04310
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Ribosome biogenesis in eukaryotes","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa03008
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,http://identifiers.org/panther.pathway/P00012,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,http://identifiers.org/panther.pathway/P00057,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,http://identifiers.org/panther.pathway/P00049,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,"Wnt Signaling Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP363_r94887
https://pharos.nih.gov/idg/targets/P49759,P49759,Legionellosis,"KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05134
https://pharos.nih.gov/idg/targets/P49759,P49759,"mRNA Processing","WikiPathways Pathway",http://www.wikipathways.org/instance/WP411_r96288
https://pharos.nih.gov/idg/targets/Q9H422,Q9H422,"Cellular senescence","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04218
https://pharos.nih.gov/idg/targets/Q9H422,Q9H422,http://pathwaycommons.org/pc2/Pathway_3a6d369c50d4882dc6b61149d4d84c3a,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/Q9H422,Q9H422,http://pathwaycommons.org/pc2/Pathway_37a25f57f611f7aa7d256c20256a47ae,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/P78362,P78362,"mRNA Processing","WikiPathways Pathway",http://www.wikipathways.org/instance/WP411_r96288
https://pharos.nih.gov/idg/targets/P20794,P20794,http://pathwaycommons.org/pc2/Pathway_2d93523a1b89264527d4336635c9bc67,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"Fluid shear stress and atherosclerosis","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05418
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"MAPK signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04010
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"IL-17 signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04657
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"MicroRNAs in cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05206
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"Gap junction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04540
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"Neurotrophin signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04722
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"Oxytocin signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04921
https://pharos.nih.gov/idg/targets/Q13164,Q13164,"GnRH signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04912
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_64899ceeb2cb6ca5a90ec5271a196bff,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_86241533fc884472d7c411dbf8718b42,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_948390fd3933f6e87f16de3fd810072a,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_3a6d369c50d4882dc6b61149d4d84c3a,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/Q13164,Q13164,http://pathwaycommons.org/pc2/Pathway_6284c9242ef6746036b180f50003bab5,"PathwayCommons: netpath Pathway",null
