"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,DYRK1A,"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","Dual-specificity kinase which possesses both serine/threonine and tyrosine kinase activities. May play a role in a signaling pathway regulating nuclear functions of cell proliferation. Modulates alternative splicing by phosphorylating the splice factor SRSF6 (By similarity). Exhibits a substrate preference for proline at position P+1 and arginine at position P-3. Has pro-survival function and negatively regulates the apoptotic process. Promotes cell survival upon genotoxic stress through phosphorylation of SIRT1. This in turn inhibits TP53 activity and apoptosis (By similarity).",Tchem,"Dyrk1 subfamily","non-receptor tyrosine protein kinase",-2.6876004736885055,Kinase,17572,336,131,53.20,506.59,204.94,28735864|28377597|28235034|28053047|27807027|27705803|27546826|27173435|27100087|27085534|27056896|26922654|26641855|26534959|26496802|26137553|26137545|25944381|25920557|25918155|25707398|25641759|25620562|25342745|25116835|24901999|24820035|24806449|24801365|24327345|24275569|24239188|24152332|24119401|23948904|23864635|23665168|23635774|23602568|23512985|23415227|23382691|23360763|23186163|23160955|23147510|23124096|23099646|22998443|22876196|22767602|22765017|22669612|22354171|22269890|22154664|21965663|21878370|21777625|21637297|21498570|21364930|21294719|21252229|21215488|21205194|21157379|21156028|21156027|21135538|21127067|21126318|21102440|20981014|20940704|20736167|20696760|20694148|20456003|20237271|20167603|19995442|19801542|19690332|19383720|19266028|19242551|19081073|19016842|18771760|18696092|18691976|18678649|18658135|18509201|18468476|18405873|18366763|18231969|18005339|17906291|17536841|17353931|17344846|17294446|17229891|17192257|17145134|17135279|16919501|16733250|16512921|16242644|15917294|15694837|15592455|15369779|15324660|15126119|15068246|15068245|14623875|14593110|14500717|12964950|12799418|12576186|12477932|12138125|11311120|10830953|10329007|9784410|9748265|9503019|9503011|9284911|9048932|9037601|8975710|8872470|8769099|8274451
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,CDK12,"Cyclin-dependent kinase 12","Cyclin-dependent kinase that phosphorylates the C-terminal domain (CTD) of the large subunit of RNA polymerase II (POLR2A), thereby acting as a key regulator of transcription elongation. Regulates the expression of genes involved in DNA repair and is required for the maintenance of genomic stability. Preferentially phosphorylates 'Ser-5' in CTD repeats that are already phosphorylated at 'Ser-7', but can also phosphorylate 'Ser-2'. Required for RNA splicing, possibly by phosphorylating SRSF1/SF2. Involved in regulation of MAP kinase activity, possibly leading to affect the response to estrogen inhibitors.",Tchem,"CDK family","non-receptor tyrosine protein kinase",-1.3847556979355937,Kinase,2754,157,32,44.73,29.42,15.88,29025359|28334900|28112733|26787835|26597175|25712099|25561469|25429106|25384976|24662513|24554720|24275569|24240700|23186163|22988298|22547058|22012619|21406692|21269460|21097718|20952539|20734064|20068231|19884882|19690332|19651820|19413330|19369195|19124506|18691976|18669648|18029348|17344846|17192257|17081983|16964243|16625196|16344560|15489334|15302935|15231748|14702039|12841360|12477932|12168954|11683387|10737800|10048485
https://pharos.nih.gov/idg/targets/Q8NEV1,Q8NEV1,CSNK2A3,"Casein kinase II subunit alpha 3","Probable catalytic subunit of a constitutively active serine/threonine-protein kinase complex that phosphorylates a large number of substrates containing acidic residues C-terminal to the phosphorylated serine or threonine. Amplification-dependent oncogene; promotes cell proliferation and tumorigenesis by down-regulating expression of the tumor suppressor protein, PML. May play a role in the pathogenesis of the lung cancer development and progression.",Tdark,"CK2 family",,-2.356218765867169,Kinase,,6,18,12.82,377.73,0.33,20625391|16554811|15684395|15489334|14646071|12860116|12393879|12102635|11239457|11181995|11092945|10094393|8420794|7942276|2752008|2174700|1766873|1610905|1577469
https://pharos.nih.gov/idg/targets/P49759,P49759,CLK1,"Dual specificity protein kinase CLK1","Dual specificity kinase acting on both serine/threonine and tyrosine-containing substrates. Phosphorylates serine- and arginine-rich (SR) proteins of the spliceosomal complex and may be a constituent of a network of regulatory mechanisms that enable SR proteins to control RNA splicing. Phosphorylates: SRSF1, SRSF3 and PTPN1. Regulates the alternative splicing of tissue factor (F3) pre-mRNA in endothelial cells and adenovirus E1A pre-mRNA.",Tchem,"CLK family",,-1.937203365666547,Kinase,25929,156,34,39.37,87.90,61.52,28581641|28232751|27397683|27126587|27015110|26443864|25961505|25529026|25416956|24869919|23707382|23186163|21682887|19369195|19168442|18978788|18814951|18691976|18669648|17344846|17081983|16344560|16223727|15815621|15489334|15010457|14759258|14702039|12773558|12705895|12565863|12549978|12477932|11461155|11418604|10954422|10480872|9856501|8798720|8617202|7990150|1704889
https://pharos.nih.gov/idg/targets/Q9UPZ9,Q9UPZ9,ICK,"Serine/threonine-protein kinase ICK","Required for ciliogenesis (PubMed:24797473). Phosphorylates KIF3A (By similarity). Involved in the control of ciliary length (PubMed:24853502). Regulates the ciliary localization of SHH pathway components as well as the localization of IFT components at ciliary tips (By similarity). May play a key role in the development of multiple organ systems and particularly in cardiac development (By similarity). Regulates intraflagellar transport (IFT) speed and negatively regulates cilium length in a cAMP and mTORC1 signaling-dependent manner and this regulation requires its kinase activity (By similarity).",Tchem,"RCK family","non-receptor serine/threonine protein kinase",-2.636502719076984,Kinase,28243,179,23,43.15,422.24,40.47,27466187|25184386|24853502|24797473|24244486|23743448|22939624|22761715|22356909|20459822|19696144|19369195|19240061|19185282|18691976|18029348|17344846|16954377|16344560|15988018|15489334|15231748|14574404|12477932|12103360|10699974|10231032
https://pharos.nih.gov/idg/targets/Q8IZL9,Q8IZL9,CDK20,"Cyclin-dependent kinase 20","Required for high-level Shh responses in the developing neural tube. Together with TBC1D32, controls the structure of the primary cilium by coordinating assembly of the ciliary membrane and axoneme, allowing GLI2 to be properly activated in response to SHH signaling (By similarity). Involved in cell growth. Activates CDK2, a kinase involved in the control of the cell cycle, by phosphorylating residue 'Thr-160'.",Tbio,"CCRK subfamily","non-receptor tyrosine protein kinase",-1.8226869089709021,Kinase,26745,248,18,33.14,67.70,352.28,26871637|25500144|23743448|22875024|21986944|21747169|20466538|19884882|19672860|18508765|18391951|18029348|17344846|16552187|15489334|15164053|14702039|14597612|12477932|8889548
https://pharos.nih.gov/idg/targets/Q9H422,Q9H422,HIPK3,"Homeodomain-interacting protein kinase 3","Serine/threonine-protein kinase involved in transcription regulation, apoptosis and steroidogenic gene expression. Phosphorylates JUN and RUNX2. Seems to negatively regulate apoptosis by promoting FADD phosphorylation. Enhances androgen receptor-mediated transcription. May act as a transcriptional corepressor for NK homeodomain transcription factors. The phosphorylation of NR5A1 activates SF1 leading to increased steroidogenic gene expression upon cAMP signaling pathway stimulation. In osteoblasts, supports transcription activation: phosphorylates RUNX2 that synergizes with SPEN/MINT to enhance FGFR2-mediated activation of the osteocalcin FGF-responsive element (OCFRE).",Tchem,"HIPK subfamily","non-receptor tyrosine protein kinase",-1.8286395607380286,Kinase,4064,149,22,42.53,58.16,22.00,28112733|27050392|25630557|24489884|20677014|20347265|18029348|17344846|17210646|16554811|16000324|15592455|15231748|14766760|12477932|11034606|10961991|10919273|10737800|10640824|10640736|9748262|9725910|9373137
https://pharos.nih.gov/idg/targets/P78362,P78362,SRPK2,"SRSF protein kinase 2","Serine/arginine-rich protein-specific kinase which specifically phosphorylates its substrates at serine residues located in regions rich in arginine/serine dipeptides, known as RS domains and is involved in the phosphorylation of SR splicing factors and the regulation of splicing. Promotes neuronal apoptosis by up-regulating cyclin-D1 (CCND1) expression. This is done by the phosphorylation of SRSF2, leading to the suppression of p53/TP53 phosphorylation thereby relieving the repressive effect of p53/TP53 on cyclin-D1 (CCND1) expression. Phosphorylates ACIN1, and redistributes it from the nuclear speckles to the nucleoplasm, resulting in cyclin A1 but not cyclin A2 up-regulation. Plays an essential role in spliceosomal B complex formation via the phosphorylation of DDX23/PRP28. Can mediate hepatitis B virus (HBV) core protein phosphorylation. Plays a negative role in the regulation of HBV replication through a mechanism not involving the phosphorylation of the core protein but by reducing the packaging efficiency of the pregenomic RNA (pgRNA) without affecting the formation of the viral core particles.",Tchem,"SRPK family","non-receptor serine/threonine protein kinase",-1.260295093351329,Kinase,3352,116,40,48.39,17.51,15.78,28826672|28076779|27989580|27041240|26853621|26244849|25416956|25056061|24444330|24275569|23602568|23326445|23186163|23049088|22681889|22658674|22365833|21406692|21269460|21205200|21157427|21056976|20498328|20379614|20068231|19902070|19690332|19592491|19413330|18691976|18669648|18559500|18425142|18029348|17353931|17344846|16964243|16344560|16189514|16122776|15592455|15489334|15144186|14702039|12853948|12477932|12417631|12134018|10196197|9472028|9446799|9171351|8208298
https://pharos.nih.gov/idg/targets/P20794,P20794,MAK,"Serine/threonine-protein kinase MAK","Essential for the regulation of ciliary length and required for the long-term survival of photoreceptors (By similarity). Phosphorylates FZR1 in a cell cycle-dependent manner. Plays a role in the transcriptional coactivation of AR. Could play an important function in spermatogenesis. May play a role in chromosomal stability in prostate cancer cells.",Tchem,"RCK family","non-receptor serine/threonine protein kinase",-1.2015488720401513,Kinase,13583,266,25,37.02,15.18,21.99,26894652|26558903|25385675|25255364|24244486|23743448|22110072|21986944|21835304|21825139|21697133|21148103|17344846|16954377|16951154|16344560|15342556|14702039|14574404|12477932|12084720|8889548|8359591|8321219|2183027
https://pharos.nih.gov/idg/targets/Q13164,Q13164,MAPK7,"Mitogen-activated protein kinase 7","Plays a role in various cellular processes such as proliferation, differentiation and cell survival. The upstream activator of MAPK7 is the MAPK kinase MAP2K5. Upon activation, it translocates to the nucleus and phosphorylates various downstream targets including MEF2C. EGF activates MAPK7 through a Ras-independent and MAP2K5-dependent pathway. May have a role in muscle cell differentiation. May be important for endothelial function and maintenance of blood vessel integrity. MAP2K5 and MAPK7 interact specifically with one another and not with MEK1/ERK1 or MEK2/ERK2 pathways. Phosphorylates SGK1 at Ser-78 and this is required for growth factor-induced cell cycle progression. Involved in the regulation of p53/TP53 by disrupting the PML-MDM2 interaction.",Tchem,"ERK subfamily","non-receptor serine/threonine protein kinase",-2.487543748329741,Kinase,12902,422,153,50.52,340.00,202.26,28734729|28639275|28336528|28284212|28259934|27735944|27545608|27165781|27139631|27107014|26959608|26871637|26618772|26617753|26460937|26350187|26347473|26307013|26302753|26272601|26177962|26040563|26032256|25965818|25689862|25662172|25477374|25447310|25416956|25388666|25351247|25317798|25187658|25183205|25160664|24975362|24880091|24857985|24505128|24501354|24462874|24264602|24095924|23950888|23804708|23730213|23608189|23532886|23446998|23428871|23382384|23321517|23043106|22869143|22707717|22260700|22213073|22154052|21820407|21767578|21483099|21266977|21187442|21166929|20956558|20832753|20830310|20736311|20736307|20729331|20687930|20643107|20628425|20628086|20551324|20538799|20237496|20232315|19913121|19855844|19823867|19666008|19605361|19440538|19414528|19369195|19304531|19089993|19011954|18973138|18716062|18669648|18588859|18567890|18472963|18322228|18280112|17998143|17692050|17624732|17567985|17452529|17344846|17342168|17322878|17272811|17148583|17131384|17052197|17018293|16950928|16941494|16835228|16735500|16626623|16456541|16344560|16316418|16177794|16166637|15994942|15716121|15692064|15608616|15548525|15489334|15276183|15075238|14718574|14679215|14583600|12637502|12477932|12091247|12048211|12042304|11948414|11739740|11544482|11278431|11254654|11139578|10849446|10781600|10531364|10473620|10072598|9858528|9790194|9753748|9535909|9535905|9461566|9384584|8631994|7759517|7646528
