"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Digestive Tract",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Blood and immune system",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Respiratory system",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Skin and soft tissues",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Cells - EBV-transformed lymphocytes",1.511081,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Caudate (basal ganglia)",1.371437,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Nucleus accumbens (basal ganglia)",1.358791,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Testis,1.328685,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Putamen (basal ganglia)",1.252125,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Cortex",1.22518,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Anterior cingulate cortex (BA24)",1.222976,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Frontal Cortex (BA9)",1.217747,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Hypothalamus",1.213518,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Amygdala",1.210987,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Pituitary,1.16465,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Small Intestine - Terminal Ileum",1.145818,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Cerebellum",1.125156,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Cerebellar Hemisphere",1.11227,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Lung,1.100026,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Esophagus - Muscularis",1.096389,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Hippocampus",1.042772,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Esophagus - Gastroesophageal Junction",1.026533,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Colon - Transverse",1.020982,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Substantia nigra",0.988916,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Spleen,0.98657,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Brain - Spinal cord (cervical c-1)",0.966634,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Colon - Sigmoid",0.964684,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Prostate,0.932702,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Muscle - Skeletal",0.893706,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Thyroid,0.884739,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Artery - Coronary",0.858176,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Artery - Aorta",0.807061,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Uterus,0.795463,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Artery - Tibial",0.792006,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Stomach,0.78476,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Nerve - Tibial",0.6861,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Whole Blood",0.669363,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Adrenal Gland",0.606704,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Heart - Atrial Appendage",0.558769,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Vagina,0.539829,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Esophagus - Mucosa",0.394539,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Breast - Mammary Tissue",0.374748,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Cells - Transformed fibroblasts",0.371899,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Adipose - Visceral (Omentum)",0.371714,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Minor Salivary Gland",0.333548,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Ovary,0.327972,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Adipose - Subcutaneous",0.325105,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Heart - Left Ventricle",0.314604,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Kidney - Cortex",0.296116,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Skin - Not Sun Exposed (Suprapubic)",0.199069,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,"Skin - Sun Exposed (Lower leg)",0.111263,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Liver,0.100198,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,GTEx,Pancreas,-0.017819,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"HPM Protein","Fetal Brain",1.854072,High,0.0,,
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"HPM Protein",Platelets,1.66993,High,0.0,,
