"URL","Uniprot ID","DOID","Name","Description","ZScore","Confidence","Source"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:3910,"lung adenocarcinoma",,0.0,2.78915829746172E-19,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:2394,"ovarian cancer",,0.0,2.96982201382626E-14,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:3347,osteosarcoma,,0.0,6.50460580754673E-4,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:3008,"invasive ductal carcinoma",,0.0,0.00111109126688965,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:9351,"diabetes mellitus",,0.0,0.00198233350186906,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:305,Carcinoma,,0.0,0.9,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:263,"Kidney cancer",,0.0,0.5,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:0014667,"Disease of metabolism",,0.0,3.0,"JensenLab Experiment DistiLD"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:162,Cancer,,3.244,1.6,"JensenLab Knowledge UniProtKB-KW"
https://pharos.nih.gov/idg/targets/P16591,P16591,DOID:0060013,"Gamma chain deficiency",,3.306,1.7,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P17948,P17948,DOID:1612,"Breast Neoplasms",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,DOID:4473,"Carcinoma, Renal Cell",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D2127,"Cerebral Hemorrhage",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D1494,"Chemical and Drug Induced Liver Injury",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D496,"Disease Progression",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D4275,Hemangiosarcoma,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D611,"Liver Cirrhosis",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,DOID:1909,Melanoma,,0.0,0.9,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D1464,"Neoplasm Metastasis",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D1173,Osteochondrodysplasias,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D2241,Pre-Eclampsia,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D532,Recurrence,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D4285,"Skin Neoplasms",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D4367,Uremia,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D1487,"Mammary Neoplasms",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D3628,"Carcinoma of thyroid",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D4368,"Follicular thyroid carcinoma",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P17948,P17948,DOID:9253,"Gastrointestinal stromal tumor",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D4369,"Hamman-Rich syndrome",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P17948,P17948,IDG:D3627,"Liver cell carcinoma",,0.0,0.0,"DrugCentral Indication"
