"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Nerve - Tibial",1.178833,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,Uterus,0.967712,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,Thyroid,0.914079,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Artery - Tibial",0.909556,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Artery - Coronary",0.883093,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,Testis,0.853637,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,Vagina,0.842453,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Adipose - Subcutaneous",0.841672,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Colon - Sigmoid",0.838093,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Artery - Aorta",0.837778,High,0.0,,
https://pharos.nih.gov/idg/targets/P16591,P16591,GTEx,"Cells - Transformed fibroblasts",0.828402,High,0.0,,
