"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P16591,P16591,"Adherens junction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04520
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_6284c9242ef6746036b180f50003bab5,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_aa08251ce1428f76f6f6701ab18144cf,"PathwayCommons: netpath Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://identifiers.org/panther.pathway/P00012,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_041bf16fc93dab068c1590436cba0c92,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_292f7bea30d042ec8738e48cdfb0a798,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_2c46eb484ab44af59f2d898397f519d3,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_a9236ccf6ed2ea927e24d9526190400d,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,http://pathwaycommons.org/pc2/Pathway_c788395e069cedcba7af3572cc52b62e,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P16591,P16591,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P16591,P16591,"Signaling by Receptor Tyrosine Kinases","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-9006934
https://pharos.nih.gov/idg/targets/P16591,P16591,"Signaling by SCF-KIT","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1433557
https://pharos.nih.gov/idg/targets/P16591,P16591,"Integrated Breast Cancer Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP1984_r95143
https://pharos.nih.gov/idg/targets/P17948,P17948,"MAPK signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04010
https://pharos.nih.gov/idg/targets/P17948,P17948,"Cytokine-cytokine receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04060
https://pharos.nih.gov/idg/targets/P17948,P17948,"Rap1 signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04015
https://pharos.nih.gov/idg/targets/P17948,P17948,"HIF-1 signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04066
https://pharos.nih.gov/idg/targets/P17948,P17948,"Focal adhesion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04510
https://pharos.nih.gov/idg/targets/P17948,P17948,"PI3K-Akt signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04151
https://pharos.nih.gov/idg/targets/P17948,P17948,"Rheumatoid arthritis","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05323
https://pharos.nih.gov/idg/targets/P17948,P17948,"Ras signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04014
https://pharos.nih.gov/idg/targets/P17948,P17948,"Transcriptional misregulation in cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05202
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_64899ceeb2cb6ca5a90ec5271a196bff,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_86241533fc884472d7c411dbf8718b42,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_0136871cbdf9a3ecc09529f1878171df,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_35ad767af9c665c77d10839f855f1d41,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_808d5ee9064f49e2ea651198ad4519ec,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_cdd21ba787fc4d878bcab331c05bba22,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_08475a59197bdfc8d116520f2fdd4472,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://pathwaycommons.org/pc2/Pathway_c802330f2d2865a751587cbc1734febf,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,http://identifiers.org/smpdb/SMP00420,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/P17948,P17948,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P17948,P17948,"Signaling by Receptor Tyrosine Kinases","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-9006934
https://pharos.nih.gov/idg/targets/P17948,P17948,"Signaling by VEGF","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-194138
https://pharos.nih.gov/idg/targets/P17948,P17948,"VEGFA-VEGFR2 Signaling Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP3888_r90000
https://pharos.nih.gov/idg/targets/P17948,P17948,"Focal Adhesion","WikiPathways Pathway",http://www.wikipathways.org/instance/WP306_r95135
https://pharos.nih.gov/idg/targets/P17948,P17948,"Focal Adhesion-PI3K-Akt-mTOR-signaling pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP3932_r94216
https://pharos.nih.gov/idg/targets/P17948,P17948,"PI3K-Akt Signaling Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP4172_r96453
https://pharos.nih.gov/idg/targets/P17948,P17948,"Ras Signaling","WikiPathways Pathway",http://www.wikipathways.org/instance/WP4223_r96441
https://pharos.nih.gov/idg/targets/P17948,P17948,"Imatinib and Chronic Myeloid Leukemia","WikiPathways Pathway",http://www.wikipathways.org/instance/WP3640_r89384
https://pharos.nih.gov/idg/targets/P17948,P17948,Angiogenesis,"WikiPathways Pathway",http://www.wikipathways.org/instance/WP1539_r95042
https://pharos.nih.gov/idg/targets/P04629,P04629,"MAPK signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04010
https://pharos.nih.gov/idg/targets/P04629,P04629,"Central carbon metabolism in cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05230
https://pharos.nih.gov/idg/targets/P04629,P04629,"Pathways in cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05200
https://pharos.nih.gov/idg/targets/P04629,P04629,"PI3K-Akt signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04151
https://pharos.nih.gov/idg/targets/P04629,P04629,Apoptosis,"KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04210
https://pharos.nih.gov/idg/targets/P04629,P04629,"Neurotrophin signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04722
https://pharos.nih.gov/idg/targets/P04629,P04629,"Ras signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04014
https://pharos.nih.gov/idg/targets/P04629,P04629,"Inflammatory mediator regulation of TRP channels","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04750
https://pharos.nih.gov/idg/targets/P04629,P04629,"Transcriptional misregulation in cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05202
https://pharos.nih.gov/idg/targets/P04629,P04629,"Thyroid cancer","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa05216
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_33e0b1dfe66b796d1f4b662240ec2a54,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_41362e44a39a2446580e8a2491eb25f7,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_4a1ae5593b2d2d667eac5ff80cdcfff1,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_64899ceeb2cb6ca5a90ec5271a196bff,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_86241533fc884472d7c411dbf8718b42,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P04629,P04629,http://pathwaycommons.org/pc2/Pathway_9cafdf788587a49b31425c608d000bdf,"PathwayCommons: inoh Pathway",null
