"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Liver and Pancreas",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Male tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Skin - Not Sun Exposed (Suprapubic)",1.441224,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Skin - Sun Exposed (Lower leg)",1.392873,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,Uterus,1.176959,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Nerve - Tibial",1.170408,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,Vagina,1.146903,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Adipose - Subcutaneous",1.122544,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Brain - Cerebellar Hemisphere",1.119915,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Brain - Cerebellum",1.053463,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Small Intestine - Terminal Ileum",1.042182,High,0.0,,
https://pharos.nih.gov/idg/targets/P27037,P27037,GTEx,"Minor Salivary Gland",1.016009,High,0.0,,
