"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Liver and Pancreas",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Nervous System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Cells - EBV-transformed lymphocytes",1.592066,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Cells - Transformed fibroblasts",1.539327,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Skin - Not Sun Exposed (Suprapubic)",1.529366,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Skin - Sun Exposed (Lower leg)",1.513484,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Esophagus - Mucosa",1.497966,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Liver,1.480079,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Nerve - Tibial",1.375938,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Vagina,1.366236,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Adipose - Subcutaneous",1.34811,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Thyroid,1.343409,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Lung,1.264818,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Artery - Coronary",1.2398,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Breast - Mammary Tissue",1.232996,High,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Pituitary,1.215638,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Brain - Spinal cord (cervical c-1)",1.2075,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Artery - Tibial",1.205475,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,Testis,1.202761,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P55263,P55263,GTEx,"Brain - Nucleus accumbens (basal ganglia)",1.179839,Medium,0.0,,
