"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Urinary Tract",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Female tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Skin and soft tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Cerebellum",1.573568,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Cortex",1.126781,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Cerebellar Hemisphere",1.033826,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Vagina,1.027207,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Frontal Cortex (BA9)",1.019532,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Hypothalamus",0.914555,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Ovary,0.789299,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Anterior cingulate cortex (BA24)",0.698449,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Substantia nigra",0.623249,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Uterus,0.43329,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Amygdala",0.411956,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Heart - Atrial Appendage",0.409426,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Adipose - Visceral (Omentum)",0.383097,High,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Prostate,0.240549,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Nucleus accumbens (basal ganglia)",0.160769,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Skin - Not Sun Exposed (Suprapubic)",0.160168,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Caudate (basal ganglia)",0.1529,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Spinal cord (cervical c-1)",0.112437,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Skin - Sun Exposed (Lower leg)",0.100371,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Putamen (basal ganglia)",0.09691,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Brain - Hippocampus",0.091667,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Testis,0.073535,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Colon - Sigmoid",0.016616,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Breast - Mammary Tissue",-0.024614,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,"Esophagus - Mucosa",-0.111989,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Thyroid,-0.198116,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O43497,O43497,GTEx,Stomach,-0.243744,Medium,0.0,,
