"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Liver and Pancreas",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Blood and immune system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Respiratory system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Male tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Frontal Cortex (BA9)",0.484869,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Hypothalamus",0.470778,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Anterior cingulate cortex (BA24)",0.434729,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Cortex",0.373647,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Amygdala",0.155336,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Substantia nigra",0.095169,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,Testis,0.005138,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,Spleen,-0.051636,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,Ovary,-0.064795,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Hippocampus",-0.075436,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Brain - Spinal cord (cervical c-1)",-0.28154,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Heart - Left Ventricle",-0.294265,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Nerve - Tibial",-0.342514,High,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,Vagina,-0.368658,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Breast - Mammary Tissue",-0.387852,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Adipose - Subcutaneous",-0.391046,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Small Intestine - Terminal Ileum",-0.396747,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,Prostate,-0.401045,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Minor Salivary Gland",-0.405497,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GTEx,"Artery - Tibial",-0.406825,Medium,0.0,,
