"URL","Uniprot ID","Keyword","Link"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Coiled coil",http://www.uniprot.org/keywords/KW-0175
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Calcium,http://www.uniprot.org/keywords/KW-0106
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Transport,http://www.uniprot.org/keywords/KW-0813
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Ion channel",http://www.uniprot.org/keywords/KW-0407
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Ion transport",http://www.uniprot.org/keywords/KW-0406
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Cell junction",http://www.uniprot.org/keywords/KW-0965
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Ligand-gated ion channel",http://www.uniprot.org/keywords/KW-1071
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,"Postsynaptic cell membrane",http://www.uniprot.org/keywords/KW-0628
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,Synapse,http://www.uniprot.org/keywords/KW-0770
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Disulfide bond",http://www.uniprot.org/keywords/KW-1015
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Transport,http://www.uniprot.org/keywords/KW-0813
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Ion channel",http://www.uniprot.org/keywords/KW-0407
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Ion transport",http://www.uniprot.org/keywords/KW-0406
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Cell junction",http://www.uniprot.org/keywords/KW-0965
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Ligand-gated ion channel",http://www.uniprot.org/keywords/KW-1071
https://pharos.nih.gov/idg/targets/Q16478,Q16478,"Postsynaptic cell membrane",http://www.uniprot.org/keywords/KW-0628
https://pharos.nih.gov/idg/targets/Q16478,Q16478,Synapse,http://www.uniprot.org/keywords/KW-0770
https://pharos.nih.gov/idg/targets/O60391,O60391,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/O60391,O60391,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/O60391,O60391,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/O60391,O60391,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/O60391,O60391,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/O60391,O60391,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/O60391,O60391,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/O60391,O60391,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/O60391,O60391,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/O60391,O60391,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/O60391,O60391,Calcium,http://www.uniprot.org/keywords/KW-0106
https://pharos.nih.gov/idg/targets/O60391,O60391,Transport,http://www.uniprot.org/keywords/KW-0813
https://pharos.nih.gov/idg/targets/O60391,O60391,"Ion channel",http://www.uniprot.org/keywords/KW-0407
https://pharos.nih.gov/idg/targets/O60391,O60391,"Ion transport",http://www.uniprot.org/keywords/KW-0406
https://pharos.nih.gov/idg/targets/O60391,O60391,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/O60391,O60391,"Cell junction",http://www.uniprot.org/keywords/KW-0965
https://pharos.nih.gov/idg/targets/O60391,O60391,"Ligand-gated ion channel",http://www.uniprot.org/keywords/KW-1071
https://pharos.nih.gov/idg/targets/O60391,O60391,"Postsynaptic cell membrane",http://www.uniprot.org/keywords/KW-0628
https://pharos.nih.gov/idg/targets/O60391,O60391,Synapse,http://www.uniprot.org/keywords/KW-0770
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Transport,http://www.uniprot.org/keywords/KW-0813
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Ion channel",http://www.uniprot.org/keywords/KW-0407
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Ion transport",http://www.uniprot.org/keywords/KW-0406
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Cell junction",http://www.uniprot.org/keywords/KW-0965
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Ligand-gated ion channel",http://www.uniprot.org/keywords/KW-1071
https://pharos.nih.gov/idg/targets/Q16099,Q16099,"Postsynaptic cell membrane",http://www.uniprot.org/keywords/KW-0628
https://pharos.nih.gov/idg/targets/Q16099,Q16099,Synapse,http://www.uniprot.org/keywords/KW-0770
https://pharos.nih.gov/idg/targets/P42261,P42261,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/P42261,P42261,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/P42261,P42261,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/P42261,P42261,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/P42261,P42261,"Cell projection",http://www.uniprot.org/keywords/KW-0966
https://pharos.nih.gov/idg/targets/P42261,P42261,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/P42261,P42261,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/P42261,P42261,"Disulfide bond",http://www.uniprot.org/keywords/KW-1015
https://pharos.nih.gov/idg/targets/P42261,P42261,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/P42261,P42261,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/P42261,P42261,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/P42261,P42261,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/P42261,P42261,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/P42261,P42261,"Endoplasmic reticulum",http://www.uniprot.org/keywords/KW-0256
https://pharos.nih.gov/idg/targets/P42261,P42261,Lipoprotein,http://www.uniprot.org/keywords/KW-0449
https://pharos.nih.gov/idg/targets/P42261,P42261,Palmitate,http://www.uniprot.org/keywords/KW-0564
https://pharos.nih.gov/idg/targets/P42261,P42261,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/P42261,P42261,Transport,http://www.uniprot.org/keywords/KW-0813
https://pharos.nih.gov/idg/targets/P42261,P42261,"Ion channel",http://www.uniprot.org/keywords/KW-0407
https://pharos.nih.gov/idg/targets/P42261,P42261,"Ion transport",http://www.uniprot.org/keywords/KW-0406
https://pharos.nih.gov/idg/targets/P42261,P42261,Endosome,http://www.uniprot.org/keywords/KW-0967
https://pharos.nih.gov/idg/targets/P42261,P42261,"Cell junction",http://www.uniprot.org/keywords/KW-0965
https://pharos.nih.gov/idg/targets/P42261,P42261,"Ligand-gated ion channel",http://www.uniprot.org/keywords/KW-1071
https://pharos.nih.gov/idg/targets/P42261,P42261,"Postsynaptic cell membrane",http://www.uniprot.org/keywords/KW-0628
https://pharos.nih.gov/idg/targets/P42261,P42261,Synapse,http://www.uniprot.org/keywords/KW-0770
