"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Blood and immune system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Male tissues",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,Consensus,"Nervous System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,Testis,0.725422,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,Pituitary,0.33666,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,"Brain - Hypothalamus",0.089552,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,Prostate,0.087568,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,"Brain - Cerebellum",0.001734,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,"Brain - Frontal Cortex (BA9)",-0.090872,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,Spleen,-0.148314,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,"Brain - Nucleus accumbens (basal ganglia)",-0.191215,High,0.0,,
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GTEx,"Brain - Cortex",-0.251308,High,0.0,,
