"URL","Uniprot ID","DOID","Name","Description","ZScore","Confidence","Source"
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D5727,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 32",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3827,"Hernia, Diaphragmatic",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:1059,"Intellectual disability",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D2767,"Language Development Disorders",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D322,Seizures,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D316,Epilepsy,,3.812,1.9,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D25,"Cerebellar Ataxia",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D5726,"Diaphragmatic Hernia",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D2768,"Epileptic encephalopathy",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D640,"Infantile onset",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D2368,Myoclonus,,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D1345,Tremor,,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D2969,"Eaton-Lambert syndrome",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P16389,P16389,IDG:D403,"Multiple Sclerosis",,0.0,0.0,"DrugCentral Indication"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:2129,"atypical teratoid / rhabdoid tumor",,0.0,8.94146224035103E-12,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3181,oligodendroglioma,,0.0,9.47943415333924E-12,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:0050902,"group 3 medulloblastoma",,0.0,1.79734021197304E-10,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3070,"adult high grade glioma",,0.0,2.01997911625752E-7,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3857,"medulloblastoma, large-cell",,0.0,7.68034946942306E-7,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3068,glioblastoma,,0.0,9.26484098401667E-7,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3347,osteosarcoma,,0.0,2.4491757635933E-6,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:4851,"Astrocytoma, Pilocytic",,0.0,3.23545598487319E-6,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:171,"primitive neuroectodermal tumor",,0.0,0.00120730837806062,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:3069,"astrocytic glioma",,0.0,0.00160452097482373,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:5077,"subependymal giant cell astrocytoma",,0.0,0.00830129537895053,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:5074,ependymoma,,0.0,0.0184825776030589,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:305,Carcinoma,,0.0,0.9,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P16389,P16389,DOID:263,"Kidney cancer",,0.0,0.5,"JensenLab Experiment COSMIC"
