"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Urinary Tract",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Endocrine System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Blood and immune system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Respiratory system",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Male tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Nervous System",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,Consensus,"Cardiovascular System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Cerebellum",1.361539,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Cerebellar Hemisphere",1.322219,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Frontal Cortex (BA9)",1.208979,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Cortex",1.178257,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Nerve - Tibial",1.047664,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Anterior cingulate cortex (BA24)",0.870345,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Caudate (basal ganglia)",0.795324,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Nucleus accumbens (basal ganglia)",0.771073,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Putamen (basal ganglia)",0.744528,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Hypothalamus",0.660201,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Amygdala",0.654513,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Hippocampus",0.649091,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Substantia nigra",0.63488,High,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Brain - Spinal cord (cervical c-1)",0.288361,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Colon - Sigmoid",0.259833,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,Pituitary,0.141136,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Esophagus - Gastroesophageal Junction",0.068557,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Esophagus - Muscularis",0.043951,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Artery - Tibial",-0.025074,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,Testis,-0.080634,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,Thyroid,-0.096937,Medium,0.0,,
https://pharos.nih.gov/idg/targets/P16389,P16389,GTEx,"Adipose - Visceral (Omentum)",-0.12099,Medium,0.0,,
