"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Liver and Pancreas",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Digestive Tract",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Urinary Tract",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Endocrine System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Blood and immune system",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Respiratory system",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Male tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,Consensus,"Cardiovascular System",0.0,Low,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Cerebellar Hemisphere",1.307068,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Cerebellum",1.301247,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Cortex",1.265643,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Frontal Cortex (BA9)",1.236285,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Nucleus accumbens (basal ganglia)",1.192289,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Caudate (basal ganglia)",1.151063,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,Spleen,1.124178,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Putamen (basal ganglia)",1.044148,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Anterior cingulate cortex (BA24)",1.027757,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Whole Blood",0.978432,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Hypothalamus",0.970138,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Cells - EBV-transformed lymphocytes",0.954918,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Substantia nigra",0.935457,High,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Hippocampus",0.829014,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Spinal cord (cervical c-1)",0.723086,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Small Intestine - Terminal Ileum",0.669875,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Brain - Amygdala",0.65696,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Nerve - Tibial",0.623973,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,Pituitary,0.511683,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Adipose - Visceral (Omentum)",0.510746,Medium,0.0,,
https://pharos.nih.gov/idg/targets/O94759,O94759,GTEx,"Adrenal Gland",0.486855,Medium,0.0,,
