"URL","Uniprot ID","Source","Tissue","NumericValue","QualitativeValue","Confidence","Evidence"
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Liver and Pancreas",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Digestive Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Urinary Tract",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Endocrine System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Blood and immune system",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Female tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Male tissues",0.0,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Skin and soft tissues",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Consensus,"Nervous System",0.0,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Liver,2.042969,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Spleen,-0.283204,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Testis,-0.330497,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Brain - Cerebellum",-0.381638,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Brain - Cerebellar Hemisphere",-0.400991,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Pituitary,-0.645699,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Uterus,-0.718853,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Small Intestine - Terminal Ileum",-0.763463,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Stomach,-0.769807,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Colon - Transverse",-0.782779,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Minor Salivary Gland",-0.788079,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Lung,-0.886725,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Ovary,-0.891773,High,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Whole Blood",-0.898769,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Esophagus - Mucosa",-0.941005,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Thyroid,-0.942905,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,Prostate,-0.990124,Medium,0.0,,
https://pharos.nih.gov/idg/targets/Q14973,Q14973,GTEx,"Adrenal Gland",-1.024936,Medium,0.0,,
