"URL","Uniprot ID","Data Source","Data Source URL","Data Type","Attribute Group","Attribute Type","CDF"
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"GeneSigDB Published Gene Signatures",http://www.genesigdb.org,transcriptomics,"functional term, phrase or reference",PubMedID,0.428027981972266
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Reactome Pathways",http://www.reactome.org,"structural or functional annotations","functional term, phrase or reference",pathway,0.322283686764133
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"GAD High Level Gene-Disease Associations",http://geneticassociationdb.nih.gov/,"disease or phenotype associations","disease, phenotype or trait",disease,0.560544296164926
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"BioGPS Mouse Cell Type and Tissue Gene Expression Profiles",http://biogps.org/,transcriptomics,"cell line, cell type or tissue","cell type or tissue",0.821864447705515
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"GAD Gene-Disease Associations",http://geneticassociationdb.nih.gov/,"disease or phenotype associations","disease, phenotype or trait",disease,0.481925074035384
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"HMDB Metabolites of Enzymes",http://www.hmdb.ca/,"physical interactions",chemical,metabolite,0.477567715261132
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"COSMIC Cell Line Gene CNV Profiles",http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/,genomics,"cell line, cell type or tissue","cell line",0.37517827047244
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles",http://www.brain-map.org/,transcriptomics,"cell line, cell type or tissue",tissue,0.909809804583258
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"GTEx Tissue Gene Expression Profiles",http://www.gtexportal.org/home/,transcriptomics,"cell line, cell type or tissue",tissue,0.892593867358193
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"DISEASES Text-mining Gene-Disease Assocation Evidence Scores",http://diseases.jensenlab.org/Search,"disease or phenotype associations","disease, phenotype or trait",disease,0.694219981184407
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"LOCATE Predicted Protein Localization Annotations",http://locate.imb.uq.edu.au/,proteomics,"functional term, phrase or reference","cellular component",0.114953724135193
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"JASPAR Predicted Transcription Factor Targets",http://jaspar.genereg.net/,genomics,"gene, protein or microRNA","transcription factor",0.642547462377126
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"TISSUES Experimental Tissue Protein Expression Evidence Scores",http://tissues.jensenlab.org/Search,proteomics,"cell line, cell type or tissue",tissue,0.316851433289157
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Wikipathways Pathways",http://www.wikipathways.org,"structural or functional annotations","functional term, phrase or reference",pathway,0.303786421408646
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"CTD Gene-Chemical Interactions",http://ctdbase.org/,"physical interactions",chemical,chemical,0.576954444275961
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray",http://www.brain-map.org/,transcriptomics,"cell line, cell type or tissue","tissue sample",0.777283376247286
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"InterPro Predicted Protein Domain Annotations",http://www.ebi.ac.uk/interpro/,"structural or functional annotations","structural feature","protein domain",0.412079902258364
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"DrugBank Drug Targets",http://www.drugbank.ca/,"physical interactions",chemical,drug,0.747460658218072
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"TargetScan Predicted Conserved microRNA Targets",http://www.targetscan.org/,genomics,"gene, protein or microRNA",microRNA,0.240413876992721
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"TargetScan Predicted Nonconserved microRNA Targets",http://www.targetscan.org/,genomics,"gene, protein or microRNA",microRNA,0.414413142889532
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"LOCATE Curated Protein Localization Annotations",http://locate.imb.uq.edu.au/,proteomics,"functional term, phrase or reference","cellular component",0.581549405449679
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"GO Biological Process Annotations",http://geneontology.org/,"structural or functional annotations","functional term, phrase or reference","biological process",0.359743252060609
