"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Bile secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04976
https://pharos.nih.gov/idg/targets/Q14973,Q14973,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Metabolism of lipids","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-556833
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Bile acid and bile salt metabolism","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-194068
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Metabolism of steroids","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-8957322
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Recycling of bile acids and salts","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-159418
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Drug Induction of Bile Acid Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2289_r88593
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"Farnesoid X Receptor  Pathway","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2879_r94789
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"Transport of small molecules","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-382551
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"SLC-mediated transmembrane transport","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-425407
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"Transport of inorganic cations/anions and amino acids/oligopeptides","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-425393
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"Amino acid and oligopeptide SLC transporters","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-425374
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"Amino acid transport across the plasma membrane","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-352230
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"Proton-coupled neutral amino acid transporters","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-428559
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"cAMP signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04024
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Gastric acid secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04971
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Aldosterone synthesis and secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04925
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Proximal tubule bicarbonate reclamation","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04964
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Protein digestion and absorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04974
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Bile secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04976
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Carbohydrate digestion and absorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04973
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Cardiac muscle contraction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04260
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Thyroid hormone signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04919
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Adrenergic signaling in cardiomyocytes","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04261
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Endocrine and other factor-regulated calcium reabsorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04961
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Aldosterone-regulated sodium reabsorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04960
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Salivary secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04970
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Pancreatic secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04972
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"Mineral absorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04978
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"cGMP-PKG signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04022
