"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q13627,Q13627,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q13627,Q13627,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"nuclear speck",GO Component
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"intracellular ribonucleoprotein complex",GO Component
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"identical protein binding",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"non-membrane spanning protein tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein serine-threonine-tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein self-association",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"tau protein binding",GO Function
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"nervous system development",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"regulation of alternative mRNA splicing, via spliceosome",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"peptidyl-tyrosine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"negative regulation of mRNA splicing, via spliceosome",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"viral process",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"peptidyl-serine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"peptidyl-threonine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"circadian rhythm",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"negative regulation of DNA damage response, signal transduction by p53 class mediator",GO Process
https://pharos.nih.gov/idg/targets/Q13627,Q13627,"positive regulation of protein deacetylation",GO Process
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,chromosome,GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"nuclear speck",GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"fibrillar center",GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"cyclin K-CDK12 complex",GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"cyclin-CDK positive transcription elongation factor complex",GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"nuclear cyclin-dependent protein kinase holoenzyme complex",GO Component
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"transcription regulatory region DNA binding",GO Function
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"protein kinase binding",GO Function
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9NYV4,Q9NYV4,"transcription factor binding",GO Function
