"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P16591,P16591,nucleus,GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,cytosol,GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell cortex",GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell junction",GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell projection",GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,cytoskeleton,GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,"extrinsic component of cytoplasmic side of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P16591,P16591,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"epidermal growth factor receptor binding",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"lipid binding",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"non-membrane spanning protein tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"protein phosphatase 1 binding",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"protein tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell adhesion",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"positive regulation of cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"intracellular signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"response to lipopolysaccharide",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"innate immune response",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"actin cytoskeleton reorganization",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cellular response to reactive oxygen species",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cell-cell adhesion mediated by cadherin",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cellular response to insulin stimulus",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cellular response to macrophage colony-stimulating factor stimulus",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,chemotaxis,GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"cytokine-mediated signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,diapedesis,GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"extracellular matrix-cell signaling",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"Fc-epsilon receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"insulin receptor signaling pathway via phosphatidylinositol 3-kinase",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"interleukin-6-mediated signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"Kit signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"microtubule cytoskeleton organization",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"mitotic cell cycle",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"negative regulation of mast cell activation involved in immune response",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"peptidyl-tyrosine autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"peptidyl-tyrosine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"platelet-derived growth factor receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"positive regulation of actin filament polymerization",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"positive regulation of cell migration",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"positive regulation of NF-kappaB transcription factor activity",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"regulation of epidermal growth factor receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"regulation of fibroblast migration",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"regulation of lamellipodium assembly",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"regulation of mast cell degranulation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"response to platelet-derived growth factor",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"substrate adhesion-dependent cell spreading",GO Process
https://pharos.nih.gov/idg/targets/P16591,P16591,"tyrosine phosphorylation of STAT protein",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"extracellular space",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,endosome,GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"focal adhesion",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"actin cytoskeleton",GO Component
https://pharos.nih.gov/idg/targets/P17948,P17948,"growth factor binding",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"placental growth factor-activated receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"transmembrane receptor protein tyrosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"vascular endothelial growth factor-activated receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"VEGF-A-activated receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"VEGF-B-activated receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P17948,P17948,"cell migration",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"peptidyl-tyrosine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of cell migration",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,angiogenesis,GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of phosphatidylinositol 3-kinase activity",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"vascular endothelial growth factor receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of angiogenesis",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"cellular response to vascular endothelial growth factor stimulus",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of MAP kinase activity",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of phosphatidylinositol 3-kinase signaling",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"transmembrane receptor protein tyrosine kinase signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"monocyte chemotaxis",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of MAPK cascade",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"positive regulation of phospholipase C activity",GO Process
https://pharos.nih.gov/idg/targets/P17948,P17948,"blood vessel morphogenesis",GO Process
