"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/O94759,O94759,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"lysosomal membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"cell projection",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"cytoplasmic vesicle membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,lysosome,GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"specific granule membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"tertiary granule membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,perikaryon,GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"ficolin-1-rich granule membrane",GO Component
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium ion binding",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"cation channel activity",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium-release channel activity",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"ligand-gated calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"sodium channel activity",GO Function
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium ion transport",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"cellular response to calcium ion",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"neutrophil degranulation",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"cellular response to hydrogen peroxide",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"regulation of actin cytoskeleton reorganization",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"zinc II ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"temperature homeostasis",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium ion transmembrane import into cytosol",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium ion import across plasma membrane",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"calcium-mediated signaling using intracellular calcium source",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"cellular response to purine-containing compound",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"cellular response to temperature stimulus",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"dendritic cell chemotaxis",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"dendritic cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"regulation of filopodium assembly",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"release of sequestered calcium ion into cytosol",GO Process
https://pharos.nih.gov/idg/targets/O94759,O94759,"response to purine-containing compound",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"cell surface",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"axonal growth cone",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"cell body",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"growth cone membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,melanosome,GO Component
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"cation channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"ion channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"ion transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"calcium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"positive regulation of axon extension",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"sensory perception",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,transport,GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"positive regulation of calcium ion import",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"response to heat",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"response to temperature stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,ruffle,GO Component
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"actin binding",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"myosin binding",GO Function
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"calcium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"actomyosin structure organization",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"protein tetramerization",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"calcium-dependent cell-matrix adhesion",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"cellular magnesium ion homeostasis",GO Process
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"necroptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"cation channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"calcium activated cation channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"calcium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"cation transport",GO Process
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"protein tetramerization",GO Process
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"sensory perception of temperature stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,"detection of temperature stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"perinuclear region of cytoplasm",GO Component
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"cis-Golgi network",GO Component
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"nuclear envelope",GO Component
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"store-operated calcium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"calcium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"manganese ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"regulation of cytosolic calcium ion concentration",GO Process
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,"platelet activation",GO Process
