"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P30939,P30939,HTR1F,"5-hydroxytryptamine receptor 1F","G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for various alkaloids and psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity.",Tchem,"5-HT1 receptor",receptor,-2.3915895084020895,GPCR,28763,131,21,27.79,244.11,18.08,28009296|21457069|21422162|20945968|19455600|19156168|19086053|18577758|18476671|18240029|16856120|16641997|16254601|15489334|15190056|12627464|12477932|11916537|11888546|9632173|8384716|8380639|2834384|1328180
https://pharos.nih.gov/idg/targets/P41595,P41595,HTR2B,"5-hydroxytryptamine receptor 2B","G-protein coupled receptor for 5-hydroxytryptamine (serotonin) (PubMed:8143856, PubMed:7926008, PubMed:8078486, PubMed:8882600, PubMed:18703043, PubMed:23519210). Also functions as a receptor for various ergot alkaloid derivatives and psychoactive substances (PubMed:8143856, PubMed:7926008, PubMed:8078486, PubMed:12970106, PubMed:18703043, PubMed:23519210, PubMed:23519215, PubMed:24357322, PubMed:28129538). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors (PubMed:8143856, PubMed:8078486, PubMed:8882600, PubMed:23519215, PubMed:28129538). Beta-arrestin family members inhibit signaling via G proteins and mediate activation of alternative signaling pathways (PubMed:23519215, PubMed:28129538). Signaling activates a phosphatidylinositol-calcium second messenger system that modulates the activity of phosphatidylinositol 3-kinase and down-stream signaling cascades and promotes the release of Ca(2+) ions from intracellular stores (PubMed:8143856, PubMed:8078486, PubMed:8882600, PubMed:18703043, PubMed:23519215, PubMed:28129538). Plays a role in the regulation of dopamine and 5-hydroxytryptamine release, 5-hydroxytryptamine uptake and in the regulation of extracellular dopamine and 5-hydroxytryptamine levels, and thereby affects neural activity. May play a role in the perception of pain (By similarity). Plays a role in the regulation of behavior, including impulsive behavior (PubMed:21179162). Required for normal proliferation of embryonic cardiac myocytes and normal heart development. Protects cardiomyocytes against apoptosis. Plays a role in the adaptation of pulmonary arteries to chronic hypoxia. Plays a role in vasoconstriction. Required for normal osteoblast function and proliferation, and for maintaining normal bone density. Required for normal proliferation of the interstitial cells of Cajal in the intestine (By similarity).",Tclin,"5-HT2 receptor",receptor,-2.6664136929144657,GPCR,8933,265,69,32.68,486.27,175.63,29145495|28258217|28129538|27437919|27420381|27301951|27013593|26744351|26733006|26575222|24365264|24357322|24244317|24174497|24089568|23774082|23519215|23519210|23400010|23355731|22917605|22493371|21836641|21179162|20945968|20846463|20628086|20564397|20346360|20099302|19913121|19874574|19455600|19308295|19307114|19156168|19095219|19086053|19057895|19023134|18703043|18566482|18476671|18240029|18079067|17609583|16754659|16517693|15925089|15862800|15831837|15815621|15625277|15608559|15489334|14702039|12970106|12767050|12761501|12477932|11916537|11859080|11150294|10734074|10722792|9186750|8882600|8786115|8621713|8143856|8078486|7926008|7599919|7582481
https://pharos.nih.gov/idg/targets/Q13639,Q13639,HTR4,"5-hydroxytryptamine receptor 4","This is one of the several different receptors for 5-hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. The activity of this receptor is mediated by G proteins that stimulate adenylate cyclase.",Tclin,"5-HT4 receptor",receptor,-2.872354291024614,GPCR,16522,248,87,35.78,796.41,116.62,29089619|28413715|28195088|28103616|27438088|25622143|25522384|25342126|25101859|24951661|23890215|23474291|23307014|23284291|22903372|22842674|22837378|22709820|22699663|22584237|22493371|22226658|22197934|22145929|21965014|21673407|21382128|21364600|20538346|20010835|20010834|19892407|19661922|19455600|19352218|19328558|19156168|19086053|19081678|19053287|19002436|18846035|18577758|18359159|18322379|18270970|18240029|18079067|17603679|17572776|17509016|17418812|17379184|17377064|16563621|16322401|16209130|16102731|15950987|15925089|15919661|15896782|15825078|15710402|15575821|15489334|15372022|15118808|14702039|12898568|12855812|12519861|12477932|12446729|12399948|12036966|11750916|11716477|11406291|11218067|10683202|10646498|10220570|9724925|9603189|9371406|9351641|9349523|9276448|7656980
https://pharos.nih.gov/idg/targets/Q9Y5N1,Q9Y5N1,HRH3,"Histamine H3 receptor","The H3 subclass of histamine receptors could mediate the histamine signals in CNS and peripheral nervous system. Signals through the inhibition of adenylate cyclase and displays high constitutive activity (spontaneous activity in the absence of agonist). Agonist stimulation of isoform 3 neither modified adenylate cyclase activity nor induced intracellular calcium mobilization.",Tclin,"Histamine receptor",receptor,-2.7610686381600393,GPCR,25069,318,49,28.41,570.24,334.43,29253893|26989676|26915454|25098339|24835231|24493592|23713487|23677734|23647606|23535732|22885137|22870296|22860191|22129936|22118942|21749919|21652606|21376262|20864503|20602615|19825989|19824886|19413576|19413572|19193342|19156168|18996102|18802338|18577758|18564330|18345506|18240029|17627982|17561422|16565470|15665857|15597144|15489334|15191551|12971961|12477932|12069903|11956964|11780052|11284713|11118334|10637648|10347254|9670104|9311023
https://pharos.nih.gov/idg/targets/Q01726,Q01726,MC1R,"Melanocyte-stimulating hormone receptor","Receptor for MSH (alpha, beta and gamma) and ACTH. The activity of this receptor is mediated by G proteins which activate adenylate cyclase.",Tclin,"Melanocortin receptor",receptor,-2.900136427569596,GPCR,29505,194,308,46.13,829.15,591.83,28842324|28360400|28024115|28019657|27637409|27555332|27540956|27394708|27196703|27133870|27131830|27084066|27050141|26807515|26681309|26670452|26657157|26628245|26536271|26482799|26381319|26197705|26168232|26103950|26103569|26067307|26030184|25943250|25898835|25860801|25809071|25794181|25790105|25736238|25724930|25705849|25636023|25631192|25385688|25382380|25284244|25219681|25191747|24982914|24980573|24917043|24742402|24730569|24588892|24433185|24335900|24238329|24170137|24134749|24045876|23973372|23970088|23962207|23908401|23749232|23744330|23711066|23647022|23548203|23522749|23489693|23452314|23392000|23360207|23312576|23224873|23165166|23146638|23096702|23000456|22978401|22965007|22961816|22854540|22804906|22622028|22572819|22572817|22561518|22547573|22512708|22512251|22493442|22464597|22464347|22447455|22364200|22336944|22325793|22158557|22095472|21983787|21931793|21898403|21749400|21737053|21733131|21700618|21602033|21570562|21541274|21378282|21199646|21197618|21128237|21097776|21084381|21071418|21052032|20970119|20876876|20831872|20802377|20797666|20721616|20720566|20670983|20629734|20588308|20585627|20539244|20519635|20378664|20374726|20301115|20189796|20129839|20043015|19932942|19924138|19790046|19755124|19743876|19737927|19710684|19679055|19656326|19585506|19578364|19571821|19571053|19558415|19493000|19484507|19452503|19340012|19339902|19338054|19329486|19320745|19269164|19208107|19194882|19077144|19017395|19016241|18987736|18983535|18946769|18839200|18803811|18795926|18761657|18717860|18711112|18683857|18657399|18637131|18636124|18510673|18484624|18483556|18402696|18368129|18292087|18282185|18222116|18094732|18079748|18067130|18029348|18006116|17960564|17960121|17952075|17916200|17616515|17570052|17496785|17487313|17434924|17397031|17371441|17317724|17316231|17279550|17222061|17130136|17072629|16988943|16982779|16914085|16877522|16864968|16809487|16721784|16645598|16601669|16567973|16463023|16420249|16417234|16081629|15998953|15994880|15993512|15979202|15972726|15957185|15889046|15726415|15650023|15582585|15489334|15482480|15470082|15358786|15305821|15221796|15210908|15159314|15105175|15009732|15009725|14757863|14702039|12950734|12930311|12883368|12876664|12859622|12851329|12839583|12817591|12753400|12663858|12653999|12620396|12579416|12477932|12473109|12453185|12439754|12244039|12204775|12177778|12165561|12036966|12006619|11933208|11750130|11720436|11710950|11707265|11689486|11532853|11511307|11500806|11500805|11499678|11487744|11487574|11454772|11442765|11305330|11254446|11179997|11041375|10942578|10885670|10816645|10462496|10403794|10233018|10101176|9861445|9665397|9640562|9571181|9302268|9058374|9017363|8990005|8894704|8706868|8605020|8463333|8458079|8188275|8125298|8098743|7949735|7581459|1516719|1325670
https://pharos.nih.gov/idg/targets/Q01718,Q01718,MC2R,"Adrenocorticotropic hormone receptor","Receptor for corticotropin (ACTH). This receptor is mediated by G proteins (G(s)) which activate adenylate cyclase (cAMP).",Tclin,"Melanocortin receptor",receptor,-2.2264014975006243,GPCR,8967,223,82,28.53,172.43,244.42,28426141|27378695|26223677|26115626|25860801|25605722|25055195|24884994|24224542|23231661|23023242|22842514|22487832|22357529|21920850|21778684|21367968|21211532|21195128|20962024|20734064|20634197|20590821|20403506|20371771|20108423|20042918|20022931|19903795|19723618|19574343|19558534|19453261|19372376|19329486|19095219|19024088|18981183|18840636|18838498|18818285|18551113|18505908|18492762|18359160|18356748|18197087|18077336|17959886|17877367|17712720|17595257|17456795|17223989|16497811|16260430|15982783|15879363|15654338|15489334|15240582|15171714|15062562|14702039|14671214|12620396|12530626|12477932|12456795|12213892|12036966|10971458|9218248|9194567|9175632|9167964|9058374|9020063|8636348|8463333|8390157|8276410|8227361|8094489|1325670
https://pharos.nih.gov/idg/targets/Q9UKP6,Q9UKP6,UTS2R,"Urotensin-2 receptor","High affinity receptor for urotensin-2 and urotensin-2B. The activity of this receptor is mediated by a G-protein that activate a phosphatidylinositol-calcium second messenger system.",Tchem,"Class A rhodopsin like",receptor,-1.9509437045808704,GPCR,10770,182,40,20.61,62.50,85.73,27715446|27600191|27338741|26381851|25514221|24893613|24391740|24372535|24357333|23344731|22563490|22245063|21080343|20870804|20479331|20428787|19788716|19111831|19001524|18423797|18409194|17905478|17686550|17617581|17595527|17537987|16959974|16754659|16597476|15752584|15489334|15476949|15306183|14753294|14550283|12477932|11015293|10828617|10581185|10499587|9861051|8666380
https://pharos.nih.gov/idg/targets/Q96RI0,Q96RI0,F2RL3,"Proteinase-activated receptor 4","Receptor for activated thrombin or trypsin coupled to G proteins that stimulate phosphoinositide hydrolysis. May play a role in platelets activation.",Tchem,"Proteinase-activated receptor",,-1.5004382761581303,GPCR,31178,276,84,25.42,34.12,103.13,28453567|28126849|27784794|27402844|27126938|26966273|26878340|26569550|26020638|25876034|25821117|25664811|25293779|25278289|25239438|25120239|24990072|24776597|24723492|24510982|24216752|24097976|23784669|23307185|22511653|22411985|22318735|22228373|22151913|21649850|21635966|21461878|21391917|21164077|21127289|20930172|20807173|20628086|20561531|20230207|20175118|20155436|19913121|19667088|19528350|19437337|19058300|19053259|18682394|18480058|18427961|18179608|17373694|17323377|16952995|16837456|16102047|15489334|15342556|15203717|15099288|15078882|15045135|14973136|14521606|13678420|12888878|12871418|12732212|12477932|12008957|11907122|11714832|10766244|10702240|10500152|10477691|10079109|9722561|9716134|9618465|8982657|8290554|1851174
https://pharos.nih.gov/idg/targets/Q96RJ0,Q96RJ0,TAAR1,"Trace amine-associated receptor 1","Receptor for trace amines, including beta-phenylethylamine (b-PEA), p-tyramine (p-TYR), octopamine and tryptamine, with highest affinity for b-PEA and p-TYR. Unresponsive to classical biogenic amines, such as epinephrine and histamine and only partially activated by dopamine and serotonin. Trace amines are biogenic amines present in very low levels in mammalian tissues. Although some trace amines have clearly defined roles as neurotransmitters in invertebrates, the extent to which they function as true neurotransmitters in vertebrates has remained speculative. Trace amines are likely to be involved in a variety of physiological functions that have yet to be fully understood. The signal transduced by this receptor is mediated by the G(s)-class of G-proteins which activate adenylate cyclase.",Tclin,"Class A rhodopsin like",,-2.4944417054391943,GPCR,42640,117,23,15.08,308.84,124.37,27031617|24950453|24894156|23315425|22883051|22114263|22079347|22038157|21670104|21073468|19892733|18602830|18577758|18240029|17900709|16878137|15718104|15489334|14574404|12477932|12036966|11723224|11459929
https://pharos.nih.gov/idg/targets/P30872,P30872,SSTR1,"Somatostatin receptor type 1","Receptor for somatostatin with higher affinity for somatostatin-14 than -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and Na(+)/H(+) exchanger via pertussis toxin insensitive G proteins.",Tclin,"Class A rhodopsin like",receptor,-2.142653027327271,GPCR,8420,303,59,35.23,126.20,105.55,26474434|25962406|25734919|24742330|24634938|24512486|24106690|23722468|23466804|23455179|23319000|21419811|20819778|20810604|20739383|20734064|20717067|20634197|20529830|20453000|20182388|19423539|19330452|19318729|19106227|19086053|19070659|18936524|18823376|18577758|18347174|18240029|17848636|17533578|16214911|15489334|15247250|12788890|12477932|12474541|12414882|12376335|12359227|12021920|11753241|11527930|11344221|10734105|10713101|9892225|9886848|9279525|9205124|9125122|8622562|8449518|8405411|7968260|1346068
