"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,28334814,"Here we present the result of a 4-stage genome-wide association study composed of 5,953 adolescent idiopathic scoliosis patients and 8,137 controls. Overall, we identified three novel susceptible loci including rs7593846 at 2p14 near MEIS1 , rs7633294 at 3p14.1 near MAGI1 and rs9810566 at 3q26.2 near TNIK"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,27106596,"Exome sequencing of the index in each family revealed the same homozygous truncating mutation in TNIK that results in complete loss of the protein. TNIK is a kinase with a well-established role in dendrite development and synaptic transmission. The phenotype we observe in human patients who lack TNIK is consistent with the previously published Tnik (-/-) phenotype in the murine model"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,26995282,"results provide new evidence that TNIK may be involved in the proliferation of multiple myeloma IM-9 cells and in the anti-cancer activity of dovitinib via inhibition of the endogenous Wnt signaling pathway."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,26645429,"Endogenous substrates of TNIK were identified in neurons, along with consensus sequences for TNIK."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,26499327,"High expression of TNIK in colorectal cancer was associated with recurrence in stage II and III colorectal cancer patients."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,26269113,"Our results demonstrated that TNIK might play a crucial role in pancreatic carcinogenesis and serve as a novel therapeutic target of pancreatic cancer."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,25160513,"nuclear p-TNIK expression was studied in hepatocellular carcinoma, and p-TNIK nuclear expression was associated with poor prognosis and is a candidate prognostic marker for hepatocellular carcinoma"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,23355318,"Dynamic change of TNIK offers a way to protect cells from outside stimulus."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,22904686,"TNIK mediates proliferation and survival of EBV-transformed B-cells."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,21710359,"TNIK is essential for the activation of both the canonical Wnt pathway and the JNK pathway, and serves as a pro-survival factor."
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,19023125,"Observational study and genome-wide association study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,18519826,"Clinical trial and genome-wide association study of gene-disease association, gene-environment interaction, and pharmacogenomic / toxicogenomic. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,15342639,"TNIK is a specific effector of Rap2 to regulate actin cytoskeleton"
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,23585562,"tau is a good substrate for PSK1 and PSK2 phosphorylation with mass spectrometric analysis of phosphorylated tau revealing more than 40 tau residues as targets of these kinases."
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,22683681,"TAOK2 is essential for dendrite morphogenesis; TAOK2 downregulation impairs basal dendrite formation without affecting apical dendrites."
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,19242545,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,17158878,"PSK1-alpha is a bifunctional kinase that associates with microtubules, and JNK- and caspase-mediated removal of its C-terminal microtubule-binding domain permits nuclear translocation of the N-terminal region of PSK1-alpha and its induction of apoptosis"
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,16893890,"the TAK1-JNK pathway is activated by osmotic stress, while blocking TAK1-mediated NF-kappaB activation; TAO2 regulates TAK1 pathways"
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,12665513,"mediates signaling from carbachol to p38 mitogen-activated protein kinase and ternary complex factors"
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,12639963,"PSK interacts with microtubules and affects their organization and stability independently of PSK kinase activity"
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,26910843,"High MST3 expression is associated with breast cancer."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,25456499,"This study demonistrated that MST3 kinase phosphorylates TAO1/2 to enable Myosin Va function in promoting spine synapse development."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,23889253,"This review notes that in the SOK1 and MST4 germinal center kinase III family of proteins, exon 1 encodes a 5' untranslated region, but this is not the case for MST3."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,23296203,"These data provide molecular understanding of the mechanism by which MO25 isoforms regulates the activity of STE20 family protein kinases."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,22493453,"results show that a STRADalpha-rac1-PAK1 pathway regulates cell polarity and invasion in LKB1-null cells. It also suggests that while the function of LKB1 and STRADalpha undoubtedly overlap, they may also have mutually exclusive roles"
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,22229648,"mechanism of regulation of MST3"
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,21985334,"Striatin orchestrates the regulation of Mst3 by PP2A."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,21277991,"Mst3 is up-regulated and plays an important role in hypoxia-induced apoptosis of human trophoblasts."
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9Y6E0,Q9Y6E0,20174665,"Screening in Jurkat T-cells with a short-hairpin-RNA (shRNA) library identifies serine/threonine kinase 24 STK24 is important for HIV-1 replication"
