"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P55263,P55263,ADK,"Adenosine kinase","ATP dependent phosphorylation of adenosine and other related nucleoside analogs to monophosphate derivatives. Serves as a potential regulator of concentrations of extracellular adenosine and intracellular adenine nucleotides.",Tchem,"Nucleoside kinase",,-2.5374537682508707,Kinase,25369,298,35,50.12,339.97,225.86,28789481|26329539|26040919|25575137|25108383|24275569|24128682|23704328|22814378|22658674|22092111|21963049|21931568|21635241|21269460|20698827|20392501|20379614|19913121|19635462|19413330|18600545|18600536|18309031|16712791|16385451|16344560|15489334|15164054|14702039|12820662|12477932|12112843|11242543|10215863|9843365|9070863|8917457|8577746|2999129|227870|185014
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,PI4KB,"Phosphatidylinositol 4-kinase beta","Phosphorylates phosphatidylinositol (PI) in the first committed step in the production of the second messenger inositol-1,4,5,-trisphosphate (PIP). May regulate Golgi disintegration/reorganization during mitosis, possibly via its phosphorylation. Involved in Golgi-to-plasma membrane trafficking (By similarity).",Tchem,"PI3-PI4 kinase family",kinase,-1.8552365497241436,Kinase,3967,104,51,46.76,71.33,40.85,27989622|27093462|27009356|26756197|25410869|24962317|24876499|24792752|24672044|24527995|24275569|24255178|24008843|23572552|23258225|23186163|22359663|22258260|22253445|22124328|21851817|21810903|21406692|21330372|21269460|21218173|20068231|19690332|19608626|19605471|19204726|18669648|18474610|18220336|17555535|17555516|17353931|17088255|17081983|17003043|16912074|16710414|15634669|15489334|15324660|14702039|14607934|12749687|12477932|12324459|12244129|11923287|11526106|11277933|10559940|9584208|9405938|9405935|9148941|9020160
https://pharos.nih.gov/idg/targets/P27987,P27987,ITPKB,"Inositol-trisphosphate 3-kinase B",,Tchem,"Inositol phosphokinase (IPK) family",kinase,-1.4456918640381105,Kinase,3005,168,27,43.91,29.51,27.37,27582507|27485122|25416956|24401760|24275569|23060452|22589738|22446005|21516116|21148483|20628086|20379614|19913121|19690332|18669648|18088087|16740130|16710414|16354157|16189514|15489334|14702039|12747803|12477932|11846419|11104677|9374536|8889548|2176078|1654894|1330886
https://pharos.nih.gov/idg/targets/P00558,P00558,PGK1,"Phosphoglycerate kinase 1","In addition to its role as a glycolytic enzyme, it seems that PGK-1 acts as a polymerase alpha cofactor protein (primer recognition protein) (PubMed:2324090). May play a role in sperm motility (PubMed:26677959).",Tchem,"Phosphoglycerate kinase family","carbohydrate kinase",-2.79738092386167,Kinase,38416,340,94,51.87,602.54,243.26,28923857|28457968|28238651|27342824|26942675|26677959|26510737|26396085|26356530|25944712|25867275|25204797|25175369|24934115|24838780|24721582|24376734|24284928|24275569|23727790|23684636|23533145|23376485|23336698|23186163|23130662|22814378|22742733|22619369|22348148|21908771|21780947|21549683|21505655|21492153|21406692|21349853|21269460|20458337|20392205|20068231|20068185|19946888|19854185|19778949|19688824|19608861|19199708|19110265|18669648|18603805|18540639|18463139|18453750|18288812|18096512|18039033|17661373|17565005|17081983|16363799|16236267|15952740|15772651|15592455|15489334|15255553|15053920|14764427|14733918|14702039|12869554|12488440|12477932|12174867|12080078|11745195|11487543|11130727|9744480|9075577|9023984|8889548|8673469|8615693|8089148|8075252|8043870|7892275|7440217|7391028|7391027|6941312|6933565|6188151|6099325|5009693|3453121|2995995|2814502|2347494|2324090|2001457|1837552|1602151|1586722|1547346|1533225
https://pharos.nih.gov/idg/targets/P14618,P14618,PKM,"Pyruvate kinase PKM","Glycolytic enzyme that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP. Stimulates POU5F1-mediated transcriptional activation. Plays a general role in caspase independent cell death of tumor cells. The ratio between the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production. The transition between the 2 forms contributes to the control of glycolysis and is important for tumor cell proliferation and survival.",Tchem,"Other small molecule kinase",,-3.1533165802396876,Kinase,72928,749,288,53.29,1424.21,447.47,29277786|29058718|29032577|28994148|28802581|28778925|28746922|28656802|28641694|28630053|28583828|28543190|28436957|28418088|28414323|28394882|28393220|28347237|28346425|28281967|28259998|28235245|28183315|28112733|28086949|28035139|27989750|27894667|27821480|27810895|27683215|27644251|27573352|27467582|27431728|27413251|27385486|27249540|27199445|27197174|27163637|27040384|27014756|27012213|26989901|26981025|26975375|26959741|26926996|26926077|26876154|26874904|26787900|26780311|26739387|26715276|26702927|26639784|26617865|26607846|26576639|26542452|26506517|26500118|26500058|26493994|26493215|26464675|26453405|26410533|26405201|26404132|26385349|26339369|26300261|26290635|26258887|26252736|26252254|26234680|26183399|26172294|26158845|26140362|26092770|26082202|26059508|25970228|25964202|25955657|25944712|25936600|25912843|25893434|25880801|25818238|25808097|25788265|25773278|25768091|25738776|25735978|25732087|25708858|25703326|25661370|25649613|25645022|25644089|25587028|25576919|25541689|25514599|25468996|25444918|25412762|25411978|25344422|25313085|25263439|25260566|25241761|25233397|25114211|25070887|25041845|24982407|24898807|24884829|24859886|24817408|24795025|24769233|24762230|24759699|24747424|24716919|24699725|24686087|24658033|24649481|24626155|24619225|24606918|24508027|24492614|24481450|24471565|24466275|24344305|24316223|24275569|24142698|24129315|24120661|24120138|24100037|24077665|23979707|23880164|23846818|23840737|23814019|23794342|23793810|23752568|23658023|23640882|23576436|23533145|23530218|23515579|23451252|23423437|23376485|23317289|23267074|23212076|23186163|23178880|23155487|23130662|23123196|23086999|23071357|23064226|22901803|22889453|22864959|22824010|22807066|22736014|22658674|22627140|22509023|22465421|22334075|22306293|22271574|22236875|22231432|22140559|22056988|22052977|22044881|21725354|21700219|21630459|21620138|21483450|21406692|21362503|21325052|21269460|21044950|20977946|20962042|20857498|20847263|20833797|20721957|20667897|20602615|20592362|20458337|20332442|20304929|20133837|20082317|20068231|20010808|20005212|19920251|19920249|19820423|19754967|19734428|19690332|19608861|19413330|19401544|19265196|19199708|19190083|19097497|19056867|18996102|18789002|18691976|18669648|18519040|18464261|18394773|18337815|18298799|18191611|18088087|18029348|17620599|17500595|17414054|17406361|17308100|17220478|17081983|17011640|16964243|16572171|16344560|16139798|16132722|15996096|15952740|15862967|15592455|15489334|15294093|15231747|15128873|14702039|12820337|12820320|12820312|12665801|12650930|12620389|12519789|12477932|11960989|11895152|11487543|11256614|11162730|9990017|9657767|9466265|9329624|8895530|8125298|6930359|3102533|2931560|2854097|2838416|2813362|2174328|2169315|2040271|1854723
https://pharos.nih.gov/idg/targets/P23677,P23677,ITPKA,"Inositol-trisphosphate 3-kinase A",,Tchem,"Inositol phosphokinase (IPK) family",kinase,-1.4282434333516025,Kinase,625,156,24,36.21,28.04,28.95,27234602|26249031|25101901|23186163|23128233|21792881|20022963|18498254|16525636|15489334|15350214|12747803|12477932|12202356|11468283|9374536|9155020|2824270|2176078|2175886|2167676|1847047|1660262|1654894|1330886
https://pharos.nih.gov/idg/targets/O00443,O00443,PIK3C2A,"Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha","Generates phosphatidylinositol 3-phosphate (PtdIns3P) and phosphatidylinositol 3,4-bisphosphate (PtdIns(3,4)P2) that act as second messengers. Has a role in several intracellular trafficking events. Functions in insulin signaling and secretion. Required for translocation of the glucose transporter SLC2A4/GLUT4 to the plasma membrane and glucose uptake in response to insulin-mediated RHOQ activation. Regulates insulin secretion through two different mechanisms: involved in glucose-induced insulin secretion downstream of insulin receptor in a pathway that involves AKT1 activation and TBC1D4/AS160 phosphorylation, and participates in the late step of insulin granule exocytosis probably in insulin granule fusion. Synthesizes PtdIns3P in response to insulin signaling. Functions in clathrin-coated endocytic vesicle formation and distribution. Regulates dynamin-independent endocytosis, probably by recruiting EEA1 to internalizing vesicles. In neurosecretory cells synthesizes PtdIns3P on large dense core vesicles. Participates in calcium induced contraction of vascular smooth muscle by regulating myosin light chain (MLC) phosphorylation through a mechanism involving Rho kinase-dependent phosphorylation of the MLCP-regulatory subunit MYPT1. May play a role in the EGF signaling cascade. May be involved in mitosis and UV-induced damage response. Required for maintenance of normal renal structure and function by supporting normal podocyte function.",Tchem,"Phosphoinositide 3-kinase (PI3K) family",kinase,-3.503984160910138,Kinase,24803,525,53,49.29,3128.97,1137.53,28910396|28195573|27412598|27270320|26950487|26387957|26175229|25779105|25667265|25614622|25233418|24280982|24275569|23320105|23192342|23186163|21926974|21406692|21269460|21127054|21081650|20453000|20416519|20379614|20197460|20068231|19946888|19690332|19591801|19413330|19369195|19261849|19056867|18691976|18669648|18403640|17644513|17371240|17110375|17038310|16554811|16215232|15489334|15183893|14729612|14702039|14602571|14563213|12719431|12477932|12237112|12077252|11994280|11606566|11306805|11239472|11156964|11154208|10805725|10766823|10329640|9708406|9603905|9446795|9394803|9337861|8798481
https://pharos.nih.gov/idg/targets/O00142,O00142,TK2,"Thymidine kinase 2, mitochondrial","Phosphorylates thymidine, deoxycytidine, and deoxyuridine in the mitochondrial matrix. In non-replicating cells, where cytosolic dNTP synthesis is down-regulated, mtDNA synthesis depends solely on TK2 and DGUOK. Widely used as target of antiviral and chemotherapeutic agents.",Tchem,"DCK-DGK family","nucleotide kinase",-0.7971190882187823,Kinase,188631,56,41,36.98,5.62,111.05,28729369|25948719|25944712|25446393|25215937|24940680|24455740|24198295|23932787|22661713|21937588|21382338|20877624|20843780|20237496|19878914|19736010|19265691|19154348|18508266|18446447|18265975|18021809|17913703|17468435|17065084|16969512|16344560|15907288|15639197|15616553|14702039|14659972|12873860|12687391|12682338|12493767|12477932|12391347|11687801|9989599|9598140|9079672|1597187|605384
https://pharos.nih.gov/idg/targets/P35790,P35790,CHKA,"Choline kinase alpha","Has a key role in phospholipid biosynthesis and may contribute to tumor cell growth. Catalyzes the first step in phosphatidylcholine biosynthesis. Contributes to phosphatidylethanolamine biosynthesis. Phosphorylates choline and ethanolamine. Has higher activity with choline.",Tchem,"Choline-ethanolamine kinase family",kinase,-2.4722657263508987,Kinase,30263,159,52,43.68,275.14,159.42,28566381|28065789|27489281|26769123|26657335|26503172|26496360|26041862|25796169|25768400|25522435|25267063|25028471|24583375|24556997|24287694|24281000|23775813|23762272|23416529|23071593|22972156|22515519|22038995|21822308|21048031|20662904|20299452|20042122|19915674|19855431|19737740|19448670|19156696|18296102|18172309|17184542|17007874|16820874|16554811|15489334|15003397|14702039|12477932|12176020|12062430|11840339|10363580|9113621|9038210|8069533|1618328|208357|36885
https://pharos.nih.gov/idg/targets/P04183,P04183,TK1,"Thymidine kinase, cytosolic",,Tchem,"Thymidine kinase family","nucleotide kinase",-2.5621258234975555,Kinase,215395,281,82,43.97,363.61,247.79,28651488|28093273|27625087|27079872|27069161|27002755|26231311|25964590|25921119|25881026|25769404|25416956|24455740|23693054|23229746|23186163|23179401|23116493|22814378|22741536|22385435|22263569|22223895|22143937|22027876|21900206|21764789|21545220|21505426|21269460|20849417|20628086|20592392|20560637|20554529|20544519|20544518|20479645|20450760|20372850|20354751|20140744|20068231|20003201|19957115|19913121|19654105|19396699|19369195|19282758|19123476|19087190|18669648|18615770|17407781|17227951|17065087|16969512|16964243|15978330|15809747|15733844|15611477|15489334|15353126|15153115|14719072|14702039|14701726|14697231|14659972|12699056|12477932|12449723|11992400|11474248|11389691|10924519|9575153|8786092|6549046|3785218|3335503|3301530|3128713|2538159|2263164|2026611|1848304|1370831
