"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/O43497,O43497,CACNA1G,"Voltage-dependent T-type calcium channel subunit alpha-1G","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1G gives rise to T-type calcium currents. T-type calcium channels belong to the low-voltage activated (LVA) group and are strongly blocked by mibefradil. A particularity of this type of channel is an opening at quite negative potentials and a voltage-dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes.",Tclin,"CACNA1G subfamily","voltage-gated calcium channel",-2.166682647410236,"Ion Channel",6621,217,51,42.90,140.80,142.55,28972185|28846697|28806761|28655554|28556246|28330839|28165634|27134080|26715324|26488564|26456284|26056284|24722188|24268883|23535033|23488970|22973060|22973059|22574369|22572848|22469755|21788606|21438841|21084288|20435690|20416077|19455149|19211869|18801335|18663132|18663131|18591418|17591929|17446221|17397049|16713569|16671074|16625196|16382099|15774856|15489334|15465033|12752779|12676336|12477932|12168954|11927664|10692398|10648811|10574461|10548410|10493502|9495342
https://pharos.nih.gov/idg/targets/Q9ULQ1,Q9ULQ1,TPCN1,"Two pore calcium channel protein 1","Nicotinic acid adenine dinucleotide phosphate (NAADP) receptor that may function as one of the major voltage-gated Ca(2+) channels (VDCC) across the lysosomal and endosomal membrane.",Tchem,"Two pore calcium channel subfamily",,-1.9082873296015888,"Ion Channel",693,41,23,37.72,66.72,87.66,27353380|26152696|25722412|25665131|25451935|25157141|24847115|24776928|24275569|24188827|23149075|22500018|22270358|22012985|21903581|19620632|19387438|16541075|16382101|16344560|15489334|14702039|12477932|12168954|10753632|10574461
https://pharos.nih.gov/idg/targets/O95180,O95180,CACNA1H,"Voltage-dependent T-type calcium channel subunit alpha-1H","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1H gives rise to T-type calcium currents. T-type calcium channels belong to the low-voltage activated (LVA) group and are strongly blocked by nickel and mibefradil. A particularity of this type of channels is an opening at quite negative potentials, and a voltage-dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes. In the adrenal zona glomerulosa, participates in the signaling pathway leading to aldosterone production in response to either AGT/angiotensin II, or hyperkalemia (PubMed:25907736, PubMed:27729216).",Tclin,"CACNA1H subfamily","voltage-gated calcium channel",-2.104943940918627,"Ion Channel",3547,190,88,40.56,132.80,127.86,28972185|28846697|28655554|28330839|28165634|27864847|27729216|27258646|27149520|26745591|26706850|26637798|26488564|26483470|26220996|26216687|25931121|25907736|24508802|24277868|23970551|23903007|23849427|23671274|23669360|23626738|23503728|23488970|23111027|22574369|22572848|22564432|22469755|22130660|21788606|21438841|21099341|21084288|21059758|20699644|20394732|20201926|19948975|19940152|19903827|19641113|19609347|19342457|19144837|19131331|18708747|18591418|18309285|18230611|18218623|17696120|17215393|17156077|17081983|16973746|16905256|16754686|16565161|16504478|16475676|16443692|16382099|16377633|16303743|16301824|16133267|15852375|15833171|15616553|15498803|15048902|14729682|14602827|14529577|12891677|12853961|12808460|11927664|11799114|11751928|11157797|10861024|10414291|9930755|9670923|9110174|8619474
https://pharos.nih.gov/idg/targets/O00555,O00555,CACNA1A,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1A gives rise to P and/or Q-type calcium currents. P/Q-type calcium channels belong to the 'high-voltage activated' (HVA) group and are blocked by the funnel toxin (Ftx) and by the omega-agatoxin-IVA (omega-Aga-IVA). They are however insensitive to dihydropyridines (DHP), and omega-conotoxin-GVIA (omega-CTx-GVIA).",Tchem,"CACNA1A subfamily",,-3.062256493943285,"Ion Channel",22628,64,213,48.33,1140.06,1044.93,29208674|28900389|28742085|28444220|28377503|28169007|28131213|28096552|27572487|27476654|27250579|26961263|26912519|26814174|26747084|26716990|26566276|26507659|26216687|26063920|26002199|25954029|25869926|25784583|25735478|25706626|25468264|25109669|24907493|24842051|24836863|24658662|24486772|24445160|24329154|24275721|24108129|24046065|23827678|23726906|23505410|23441182|23430985|23407676|23344743|23255606|23103419|22969264|22942164|22549042|22190617|22074995|21965686|21883149|21827920|21827907|21788606|21768184|21696515|21550405|21440913|21183743|21078624|20837964|20682717|20631222|20495360|20484531|20379614|20156848|20129625|20091047|20080591|20071244|20069235|20043243|20043227|19864665|19811514|19633872|19624685|19586927|19527141|19520699|19486177|19438926|19429006|19259763|19242091|19235102|19232643|19189122|19182766|19145126|19007941|18976783|18973067|18940563|18758887|18755274|18670797|18644040|18606230|18602318|18581134|18541804|18513263|18498393|18478327|18437043|18413478|18400181|18400034|18338196|18313928|18285829|18279427|18216187|18162541|18056581|17672918|17654512|17588611|17573560|17438119|17418573|17292920|17289272|17119788|17020933|16866717|16595610|16508934|16389595|16382099|16373336|16325861|16306128|16186543|16043807|15985579|15827025|15826995|15795222|15743764|15728831|15710862|15545010|15504897|15504896|15474358|15452324|15448138|15362569|15293273|15254089|15240985|15223312|15210532|15173248|15057824|15032980|15026782|15026160|15003170|14756671|14718690|14681882|14592859|14570872|14534930|14530926|12756131|12736095|12707077|12676347|12545428|12542511|12527722|12461694|12451115|12420090|12235360|12056940|12049805|11960817|11865310|11843866|11804332|11723274|11439943|11409427|11342703|11320173|11179022|11176968|11061267|10987655|10753886|10737800|10607897|10408532|10212211|10049321|9600739|9442082|9345107|9311738|9303303|9302278|9259275|9238069|9009193|8988170|8898206|8825650|8692999|8525433|8220421|7823133|1370480|1335101|3
https://pharos.nih.gov/idg/targets/Q00975,Q00975,CACNA1B,"Voltage-dependent N-type calcium channel subunit alpha-1B","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1B gives rise to N-type calcium currents. N-type calcium channels belong to the 'high-voltage activated' (HVA) group and are blocked by omega-conotoxin-GVIA (omega-CTx-GVIA) and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to dihydropyridines (DHP), and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing alpha-1B subunit may play a role in directed migration of immature neurons.",Tclin,"CACNA1B subfamily",,-2.244218108534195,"Ion Channel",,75,47,41.84,170.68,224.91,29208674|28330839|28127114|26511252|26507659|26218636|26157024|25296916|25225550|24566975|22613715|22590648|22491326|21166801|21057379|20489179|20379614|20195357|19065143|18958281|17081983|16857708|16627564|16382099|15953418|15728831|15607937|15166237|15164053|14684825|14602720|12665800|12477932|12435810|12414690|12177192|12161429|12018859|11438518|11395521|11353727|11130074|10455105|9030575|8825650|8750830|8684604|1321501
https://pharos.nih.gov/idg/targets/Q9P0X4,Q9P0X4,CACNA1I,"Voltage-dependent T-type calcium channel subunit alpha-1I","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. This channel gives rise to T-type calcium currents. T-type calcium channels belong to the low-voltage activated (LVA) group and are strongly blocked by nickel and mibefradil. A particularity of this type of channels is an opening at quite negative potentials, and a voltage-dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes. Gates in voltage ranges similar to, but higher than alpha 1G or alpha 1H (By similarity).",Tclin,"CACNA1I subfamily","voltage-gated calcium channel",-1.9544607103633358,"Ion Channel",1366,79,24,33.44,85.60,25.78,28972185|28846697|28725167|28330839|28165634|26488564|25454347|24709693|23488970|23382691|22883433|19690332|18591418|17535809|16939858|16740636|16382099|15254077|12477932|12080115|11927664|10749850|10591208|10574461|10454147
https://pharos.nih.gov/idg/targets/Q13936,Q13936,CACNA1C,"Voltage-dependent L-type calcium channel subunit alpha-1C","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin-GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA). Calcium channels containing the alpha-1C subunit play an important role in excitation-contraction coupling in the heart. The various isoforms display marked differences in the sensitivity to DHP compounds. Binding of calmodulin or CABP1 at the same regulatory sites results in an opposit effects on the channel function.",Tclin,"CACNA1C subfamily",,-2.751881992933003,"Ion Channel",8673,330,262,54.97,537.46,422.68,28792954|28552773|28514967|28493952|28481223|28427417|28398341|28119464|27893184|27868338|27790829|27744593|27620326|27529678|27341015|27276213|27260792|27221213|27218670|27124316|26756527|26750869|26637798|26611642|26553695|26541689|26525885|26509803|26507659|26476274|26475575|26406417|26401721|26276307|26253506|26227746|26216687|26204268|26100638|26049408|26049024|26048451|25918994|25843436|25841664|25633834|25588813|25470093|25403839|25341504|25290268|25260352|25184293|25107449|25056061|24996399|24941892|24816216|24728418|24716743|24643163|24642287|24612926|24411473|24365142|24355530|24315451|24280982|24275578|24269271|24262814|24240197|24108394|24026422|23979604|23974872|23973784|23948887|23948586|23900723|23880959|23860750|23804206|23771339|23733657|23728906|23680436|23677916|23575362|23557075|23453885|23437964|23437284|23406546|23404764|23222517|22990809|22985546|22957138|22914618|22705413|22688191|22665259|22647524|22614292|22614287|22590648|22490625|22464935|22261054|22142827|22100296|22085483|22012475|21998324|21931320|21926974|21926972|21810465|21788606|21767209|21712653|21685391|21676128|21665954|21664226|21521762|21519340|21487241|21395576|21352396|21292451|21282112|21248752|21134641|21098446|21078228|21057379|21042317|20953164|20924598|20819988|20817017|20723887|20719785|20679588|20677014|20638048|20636642|20628086|20424473|20379614|20371314|20351721|20351715|20226536|20201926|20169111|20098439|20066046|20031608|19952088|19916019|19913121|19781653|19717733|19687230|19625771|19621016|19620129|19520970|19492014|19388002|19351867|19279214|19265197|19225208|19215628|19205682|19106618|19095005|19065143|18927079|18836301|18711365|18675806|18618671|18603601|18596041|18536931|18535201|18535142|18359894|18317468|18250309|18174367|17950697|17942635|17916557|17593353|17224476|17173968|17110593|17071743|16820363|16648185|16610939|16541075|16382099|16319140|16299511|16285952|16157588|16020652|15980432|15980164|15916803|15863612|15845581|15749491|15671035|15583004|15489334|15454078|15339916|15299022|15141227|15140941|14981074|14722109|14702039|14140941|12962146|12832067|12593842|12477932|12181424|12176756|12166659|12163037|12130699|11741969|11576544|11461190|11438518|11206130|10022083|9668070|9607315|9247274|9110174|9087614|9013606|8619474|8612821|8392192|8099908|7959794|7737988|2173707|1653763|1650913|1335957|1330882|1316612
https://pharos.nih.gov/idg/targets/Q13698,Q13698,CACNA1S,"Voltage-dependent L-type calcium channel subunit alpha-1S","Pore-forming, alpha-1S subunit of the voltage-gated calcium channel that gives rise to L-type calcium currents in skeletal muscle. Calcium channels containing the alpha-1S subunit play an important role in excitation-contraction coupling in skeletal muscle via their interaction with RYR1, which triggers Ca(2+) release from the sarcplasmic reticulum and ultimately results in muscle contraction. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group.",Tclin,"CACNA1S subfamily",,-2.2132130977284517,"Ion Channel",3154,114,62,36.80,163.89,218.75,28978442|28330839|28012042|27129199|26433613|26252573|25735680|25658027|25416956|24013571|23888875|22927026|22140091|21931568|21855088|21845430|21841462|21774221|21262876|21248738|20861472|20424473|20379614|19825159|19779499|19473981|19191329|19187971|19134469|19118277|18229654|18162704|17587224|17418573|17204937|16710414|16382099|15726306|15716625|15711422|15489334|15072700|15001631|14660679|12636044|12496092|12477932|11206130|9852570|9668070|9199552|9175745|8838325|8592342|8188298|8118099|8004673|7987325|7916735|7897626|7847370|7713519|3037387|2844809|1322891
https://pharos.nih.gov/idg/targets/Q01668,Q01668,CACNA1D,"Voltage-dependent L-type calcium channel subunit alpha-1D","Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1D gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omega-agatoxin-IIIA (omega-Aga-IIIA). They are however insensitive to omega-conotoxin-GVIA (omega-CTx-GVIA) and omega-agatoxin-IVA (omega-Aga-IVA).",Tclin,"CACNA1D subfamily",,-2.43447802439434,"Ion Channel",5888,215,75,45.50,273.23,106.13,28978442|28584016|28584012|28472301|28330839|27932504|27915047|27572936|27390944|26606680|26586120|26351028|26285814|26255836|26049024|25966695|25966692|25805831|25620733|25538241|25249183|25055868|24996399|24941892|24866132|24849370|24703308|24144296|24120865|24054868|23973784|23924992|23913004|23913001|23791743|23591884|23396134|23229155|22542183|22495309|21998310|21998309|21901158|21859974|21737448|21352396|21280120|21131953|20424473|20379614|20363327|19885716|19351867|19339512|19240061|19225208|19004828|18482979|17110593|17081983|16973824|16921373|16641997|15939813|14981074|11581302|11441182|11424233|11292657|11285265|11160515|10468580|9894156|8738134|7557998|1849233|1664412|1335101|1324226|1309948|1309651
https://pharos.nih.gov/idg/targets/Q8NHX9,Q8NHX9,TPCN2,"Two pore calcium channel protein 2","Nicotinic acid adenine dinucleotide phosphate (NAADP) receptor that may function as one of the major voltage-gated Ca(2+) channels (VDCC) across the lysosomal membrane. May be involved in smooth muscle contraction.",Tchem,"Two pore calcium channel subfamily",,-1.6704119677347027,"Ion Channel",2158,65,32,33.76,46.03,33.50,27353380|27140606|26918892|26838264|26468524|26202466|26152696|25722412|25451935|25416817|25331892|25236446|25157141|24502975|24188827|23394946|23077736|22012985|21903581|20720007|20585627|20495006|19620632|19387438|18488028|17974005|16554811|16382101|15489334|15342556|15203218|14702039|12477932
