"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P27037,P27037,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"cell surface",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"inhibin-betaglycan-ActRII complex",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"growth factor binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"PDZ domain binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"activin binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"signal transducer, downstream of receptor, with serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"transmembrane receptor protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"protein self-association",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"BMP receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"coreceptor activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"inhibin binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"determination of left-right symmetry",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"embryonic skeletal system development",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"mesoderm development",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of transcription from RNA polymerase II promoter",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,spermatogenesis,GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"activin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"anterior-posterior pattern specification",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"BMP signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"gastrulation with mouth forming second",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of activin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of bone mineralization",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of osteoblast differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"transmembrane receptor protein serine-threonine kinase signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"cellular response to BMP stimulus",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of pathway-restricted SMAD protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"regulation of BMP signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of erythrocyte differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"regulation of nitric-oxide synthase activity",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"penile erection",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"Sertoli cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"sperm ejaculation",GO Process
https://pharos.nih.gov/idg/targets/Q12852,Q12852,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q12852,Q12852,cytosol,GO Component
