"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,mitochondrion,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,nucleolus,GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"fibrillar center",GO Component
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"magnesium ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"protein kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"negative regulation of ERK1 and ERK2 cascade",GO Process
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"central nervous system development",GO Process
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator",GO Process
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"negative regulation of embryonic development",GO Process
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"negative regulation of mesoderm development",GO Process
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"photoreceptor disc membrane",GO Component
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"G-protein coupled receptor kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"rhodopsin kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"visual perception",GO Process
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"regulation of rhodopsin mediated signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,centriole,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"Golgi membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"extracellular region",GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,ruffle,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,cytoskeleton,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"secretory granule lumen",GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,lamellipodium,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,bleb,GO Component
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"protein kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"GTP-Rho binding",GO Function
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"bleb assembly",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"protein localization to plasma membrane",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"leukocyte cell-cell adhesion",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"leukocyte migration",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"leukocyte tethering or rolling",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"execution phase of apoptosis",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"ephrin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"vascular endothelial growth factor receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"neutrophil degranulation",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"actin cytoskeleton organization",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of keratinocyte differentiation",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of cell adhesion",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"positive regulation of focal adhesion assembly",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"Rho protein signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of stress fiber assembly",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"I-kappaB kinase-NF-kappaB signaling",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"negative regulation of angiogenesis",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of establishment of cell polarity",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"cortical actin cytoskeleton organization",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"negative regulation of protein binding",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"membrane to membrane docking",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"smooth muscle contraction",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of cell motility",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"negative regulation of neuron apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of actin cytoskeleton organization",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"apical constriction",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"myoblast migration",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of focal adhesion assembly",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"negative regulation of bicellular tight junction assembly",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"negative regulation of myosin-light-chain-phosphatase activity",GO Process
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"regulation of establishment of endothelial barrier",GO Process
https://pharos.nih.gov/idg/targets/P05771,P05771,nucleus,GO Component
https://pharos.nih.gov/idg/targets/P05771,P05771,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P05771,P05771,cytosol,GO Component
