"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"basolateral plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"virus receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"bile acid:sodium symporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q14973,Q14973,transport,GO Process
https://pharos.nih.gov/idg/targets/Q14973,Q14973,"bile acid and bile salt transport",GO Process
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"vacuolar membrane",GO Component
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"amino acid transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"L-proline transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"hydrogen ion transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"glycine transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"hydrogen:amino acid symporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"L-alanine transmembrane transporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"amino acid transport",GO Process
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,"proline transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"sodium:potassium-exchanging ATPase complex",GO Component
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"sodium:potassium-exchanging ATPase activity",GO Function
https://pharos.nih.gov/idg/targets/Q13733,Q13733,spermatogenesis,GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"ATP hydrolysis coupled proton transport",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,fertilization,GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"flagellated sperm motility",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"potassium ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"regulation of cardiac conduction",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"regulation of cellular pH",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"regulation of membrane potential",GO Process
https://pharos.nih.gov/idg/targets/Q13733,Q13733,"sodium ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q13621,Q13621,membrane,GO Component
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"apical plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"sodium:potassium:chloride symporter activity",GO Function
https://pharos.nih.gov/idg/targets/Q13621,Q13621,transport,GO Process
https://pharos.nih.gov/idg/targets/Q13621,Q13621,"ion transmembrane transport",GO Process
