"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P41594,P41594,GRM5,"Metabotropic glutamate receptor 5","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system and generates a calcium-activated chloride current. Plays an important role in the regulation of synaptic plasticity and the modulation of the neural network activity.",Tchem,"Metabotropic glutamate receptor",receptor,-3.1235281252461635,GPCR,62373,396,81,43.63,1370.27,75.46,28096465|27283933|26936821|26667279|26645628|26311002|26052099|26048293|25778620|25704074|25115540|25003238|24969128|24949866|24925192|24833114|24548786|24532677|24528109|24332449|24040811|24012003|23804486|23705503|23628984|23627706|23524143|23478188|23376485|23227193|23225313|23152621|23149219|22995293|22543119|22340009|22256945|22032949|22012869|21901840|21723923|21103359|20628086|20468064|20398908|20379614|20149785|20041166|20036444|19913121|19694902|19401173|19340012|19156168|19086053|18991960|18606955|18541671|18337251|18182392|17998106|17627080|17311919|16554811|15894802|15184389|15158450|15076751|14561742|12786977|12783878|12736269|12531526|12531512|12477932|12119301|11326300|9110174|8619474|8532169|7908515|7688218
https://pharos.nih.gov/idg/targets/Q14832,Q14832,GRM3,"Metabotropic glutamate receptor 3","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,-2.3096373246579365,GPCR,13501,274,84,34.35,186.87,82.28,28114282|27431857|26187343|26071318|25914064|25209194|25198581|25150943|25096017|25056061|24949866|24682224|24680030|24585043|24498053|24291464|24080311|23575746|23382691|23307741|23175182|22909248|22479309|22022368|21946352|21881873|21344500|21173788|21041608|20957330|20638435|20628086|20379614|20132315|19913121|19482054|19439994|19403271|19386277|19367581|19328558|19156168|19125103|19086053|18853337|18614340|18583979|18541626|18412850|18256595|18197082|18075480|17948896|17684500|17636131|17531207|17006672|16904291|16585454|16417579|16380905|15913960|15892884|15652990|15567072|15489334|15310849|15246118|15178451|15158450|14663150|12853948|12786977|12782962|12690205|12477932|11891216|11850456|11535235|11500049|11342382|8887960|8840013|8824806
https://pharos.nih.gov/idg/targets/Q14831,Q14831,GRM7,"Metabotropic glutamate receptor 7","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,-2.2541471439410903,GPCR,9356,304,55,42.25,190.84,46.27,27312574|26905411|26866891|26856250|26655190|26254163|25360607|24804643|24278217|24146964|23648065|23468962|23382219|23295062|23201551|23102807|22589738|22419666|21813496|21572167|21572164|21368711|21255632|20628086|20398908|20379614|20201926|20078931|20068591|20038947|19913121|19736351|19638256|19351574|19328558|19165232|19156168|19086053|19047183|18821564|18599484|18329248|17167337|14702039|12746871|12477932|12052533|11912074|11163549|10828612|10488094|9630572|9473604|9144652|8840028
https://pharos.nih.gov/idg/targets/Q14833,Q14833,GRM4,"Metabotropic glutamate receptor 4","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,-2.3433480182913176,GPCR,15844,150,39,38.51,217.24,28.00,27792966|26276359|25342125|24984297|24925192|24840839|23727862|20859245|20826542|20338729|20201926|19351574|19328558|19156168|19086053|17884634|16899734|16582932|16380905|16344560|15867225|15217955|15184361|15102938|14702039|14574404|12477932|11943148|11847215|11801738|11525421|10828590|10779504|9473604|8889548|8863838|8824806|8738157|7617140
https://pharos.nih.gov/idg/targets/O00222,O00222,GRM8,"Metabotropic glutamate receptor 8","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity.",Tchem,"Metabotropic glutamate receptor",receptor,-1.9503203970569751,GPCR,7349,286,38,42.24,89.42,22.76,27871913|26655190|25978827|25918841|25588301|25060954|24821406|23420844|21493956|20800221|20560679|20398908|20379614|20237162|20201926|20009918|19268276|19156168|19058789|19023099|18618593|18195715|17975119|17955477|17684544|17167337|16144832|15489334|15211621|12853948|12477932|11943148|11912074|11329013|11166323|10216218|9473604|9299241|8824806
https://pharos.nih.gov/idg/targets/Q5T6X5,Q5T6X5,GPRC6A,"G-protein coupled receptor family C group 6 member A","Receptor activated by amino acids with a preference for basic amino acids such as L-Lys, L-Arg and L-ornithine but also by small and polar amino acids. The L-alpha amino acids respond is augmented by divalent cations Ca(2+) and Mg(2+). Activated by extracellular calcium and osteocalcin. Seems to act through a G(q)/G(11) and G(i)-coupled pathway. Mediates the non-genomic effects of androgens in multiple tissue. May coordinate nutritional and hormonal anabolic signals through the sensing of extracellular amino acids, osteocalcin, divalent ions and its responsiveness to anabolic steroids.",Tchem,"Calcium-sensing receptor","ionotropic glutamate receptor",-1.6524270429244767,GPCR,3247,172,24,18.59,49.60,29.83,27986810|27696500|27673554|26735260|26537068|25164816|24651445|23728177|23271661|23269670|22662242|21681779|21300955|20947496|20676098|20654748|19874200|17478059|16754659|16199532|15576628|15194188|14574404|12044878|11329013
https://pharos.nih.gov/idg/targets/O75899,O75899,GABBR2,"Gamma-aminobutyric acid type B receptor subunit 2","Component of a heterodimeric G-protein coupled receptor for GABA, formed by GABBR1 and GABBR2 (PubMed:9872316, PubMed:9872744, PubMed:15617512, PubMed:18165688, PubMed:22660477, PubMed:24305054). Within the heterodimeric GABA receptor, only GABBR1 seems to bind agonists, while GABBR2 mediates coupling to G proteins (PubMed:18165688). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase (PubMed:10075644, PubMed:10773016, PubMed:24305054). Signaling inhibits adenylate cyclase, stimulates phospholipase A2, activates potassium channels, inactivates voltage-dependent calcium-channels and modulates inositol phospholipid hydrolysis (PubMed:10075644, PubMed:9872744, PubMed:10906333, PubMed:10773016). Plays a critical role in the fine-tuning of inhibitory synaptic transmission (PubMed:9872744, PubMed:22660477). Pre-synaptic GABA receptor inhibits neurotransmitter release by down-regulating high-voltage activated calcium channels, whereas postsynaptic GABA receptor decreases neuronal excitability by activating a prominent inwardly rectifying potassium (Kir) conductance that underlies the late inhibitory postsynaptic potentials (PubMed:9872316, PubMed:10075644, PubMed:9872744, PubMed:22660477). Not only implicated in synaptic inhibition but also in hippocampal long-term potentiation, slow wave sleep, muscle relaxation and antinociception (Probable).",Tclin,"GABA-B receptor",receptor,-1.9736661563323772,GPCR,9588,395,57,42.22,92.45,119.46,28867141|28856709|28323850|27033668|26740508|25450229|24923912|24778228|24682435|24658140|24482233|24305054|23726511|22660477|22613715|22169202|21971078|21724853|21303731|20734064|20634891|20583170|20557420|20424473|20379614|19763258|19744961|19336370|19308021|19086053|19002745|18978678|18577758|18482426|18165688|17185339|17145756|16829628|16724110|15822905|15617512|15489334|15304491|15164053|14978362|14966130|14961561|14625043|12477932|11850456|11087824|10906333|10773016|10727622|10328880|10087195|10075644|9872744|9872317|9872316|7494864|2834384
https://pharos.nih.gov/idg/targets/O15303,O15303,GRM6,"Metabotropic glutamate receptor 6","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity (By similarity). Signaling stimulates TRPM1 channel activity and Ca(2+) uptake. Required for normal vision.",Tchem,"Metabotropic glutamate receptor",receptor,-1.987049789099045,GPCR,5257,263,22,30.91,92.30,22.76,27034204|26628857|23714322|23452348|23449627|22959359|22735794|22008250|20801516|20560679|20379614|19862333|19666700|19156168|19086053|18195715|17405131|16959974|16249515|15781871|15372022|11179672|11124982|9215706
https://pharos.nih.gov/idg/targets/P41180,P41180,CASR,"Extracellular calcium-sensing receptor","G-protein-coupled receptor that senses changes in the extracellular concentration of calcium ions and plays a key role in maintaining calcium homeostasis (PubMed:7759551, PubMed:8702647, PubMed:8636323, PubMed:8878438, PubMed:17555508, PubMed:19789209, PubMed:21566075, PubMed:22114145, PubMed:23966241, PubMed:25292184, PubMed:25104082, PubMed:26386835, PubMed:25766501, PubMed:22789683). Senses fluctuations in the circulating calcium concentration and modulates the production of parathyroid hormone (PTH) in parathyroid glands (By similarity). The activity of this receptor is mediated by a G-protein that activates a phosphatidylinositol-calcium second messenger system (PubMed:7759551). The G-protein-coupled receptor activity is activated by a co-agonist mechanism: aromatic amino acids, such as Trp or Phe, act concertedly with divalent cations, such as calcium or magnesium, to achieve full receptor activation (PubMed:27434672, PubMed:27386547).",Tclin,"Calcium-sensing receptor","ionotropic glutamate receptor",-3.221812559917414,GPCR,,441,412,40.17,1714.87,875.21,28951460|28765616|28764683|28676564|28575322|28506888|28419469|28284837|28284102|28176280|27965733|27926951|27872158|27862333|27770255|27760455|27666534|27663953|27613866|27565442|27510541|27477783|27452962|27434672|27391973|27386547|27115058|27108064|27050483|27002221|26994139|26968768|26911344|26855056|26764418|26710757|26709005|26688334|26665756|26654249|26436544|26431875|26386835|26332755|26317416|26303192|26290606|26252839|26166472|26158657|26153034|26107257|25986659|25977473|25972035|25910996|25904744|25786244|25766501|25758239|25705702|25701780|25701758|25695075|25631355|25420019|25401741|25382680|25365856|25331955|25305020|25292184|25270285|25134967|25124570|25104082|25091521|25080008|25069966|25063217|25039540|25019182|24948534|24947037|24930987|24905090|24854525|24842051|24832896|24770445|24691920|24584713|24559921|24517148|24481145|24455835|24454825|24336654|24297799|24264723|24244430|24238055|24217682|24133354|24120622|24101400|24098349|24068962|24013548|23966241|23946278|23917029|23913941|23864702|23860708|23856265|23817301|23764372|23756480|23740560|23674327|23639611|23569134|23555732|23552627|23533647|23372019|23334987|23300272|23287098|23271661|23269116|23247143|23228129|23169696|23125333|23108190|23103379|23009664|22798347|22789683|22730443|22577108|22449852|22424352|22422767|22403735|22315359|22278364|22210744|22192860|22187299|22158862|22144504|22114145|22107799|22094462|22024717|22010828|21966463|21965686|21843504|21667241|21645025|21643651|21566075|21566074|21532883|21521328|21441391|21414629|21393549|21369680|21340433|21317879|21240254|21209619|21187282|21183554|21130730|21084311|21082232|21048031|20861236|20846291|20826781|20798521|20705733|20697181|20668040|20661308|20654748|20648625|20634891|20631026|20628086|20602573|20595056|20558539|20558521|20457124|20424473|20421307|20364112|20361938|20237496|20164288|20130845|20067903|20034274|19915295|19913121|19912241|19887834|19839774|19789209|19716891|19706842|19695239|19692168|19690432|19640368|19625176|19621386|19580466|19474519|19471101|19453261|19432691|19423559|19397786|19389809|19350667|19328421|19285978|19257819|19237714|19179454|19170196|19157541|19133942|19088423|19073830|19066294|19058262|19038444|19035514|19011996|18980667|18938753|18852253|18843020|18796518|18756473|18751724|18712808|18703641|18680227|18676680|18622738|18621740|18577758|18525093|18497443|18443236|18410554|18393231|18348986|18328986|18322048|18296474|18240029|18065418|17979873|17974568|17962359|17932932|17853337|17698911|17623778|17591780|17555508|17537980|17513419|17482347|17478419|17473068|17463182|17426287|17374709|17374704|17372216|17360426|17332735|17331389|17320849|17310098|17309124|17284438|17138967|17132283|17124506|17122384|17110864|17097611|17062884|17054460|17046587|17018660|16938272|16854379|16754659|16740594|16740430|16738533|16735501|16642557|16622736|16616098|16608894|16598859|16596260|16513638|16509534|16497624|16472767|16278666|16218047|16147994|16117875|16109841|15960151|15888439|15879434|15864123|15837785|15805541|15781005|15718278|15684428|15657061|15637145|15613438|15598778|15591042|15579740|15579475|15572418|15551332|15531522|15501733|15489334|15472173|15219850|15201280|14985373|14976203|14729680|14713274|14660633|14508624|12915654|12914574|12899245|12890593|12783889|12773131|12700051|12656660|12605346|12574201|12574188|12544508|12517779|12477932|12469911|12459170|12409307|12399473|12241879|12239240|12150336|12107202|12095982|12052452|12050233|12040821|12036954|12018449|11984699|11907035|11762699|11589681|11390380|11390379|11248745|11161843|11108243|11095989|11013439|10843194|10487661|10468915|10405337|10023897|9920407|9920108|9852126|9722601|9694886|9677383|9661634|9298824|9253359|9253358|9217223|9168937|8878438|8813042|8756555|8733126|8702647|8698326|8675635|8636323|8613532|8597637|7916660|7874174|7759551|7726161|7677761|7673400
https://pharos.nih.gov/idg/targets/Q13255,Q13255,GRM1,"Metabotropic glutamate receptor 1","G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system. May participate in the central action of glutamate in the CNS, such as long-term potentiation in the hippocampus and long-term depression in the cerebellum.",Tchem,"Metabotropic glutamate receptor",receptor,-3.056619266344886,GPCR,17320,490,107,46.24,1115.63,94.06,28886343|28431287|26748626|26308914|26291396|26154847|25944910|25859923|25299066|25137254|25062106|25057192|25003238|24811382|24658000|24633367|24603153|24491800|24404125|24357660|24334926|24280223|24045944|23922822|23620748|23481697|23303475|23175844|23109136|23085756|22901947|22894836|22798429|22771868|22520513|22460132|22448230|22169210|21962378|21681448|21559497|21558162|20864408|20859245|20705606|20628086|20464528|20379614|20180987|20149785|19924463|19913121|19874574|19843246|19717561|19571223|19295155|19156168|19146831|19084525|18059092|17609672|17430891|17332361|16959974|16847639|16091361|15949941|15945063|15870073|15745950|15660124|15489334|15466247|15383311|15330338|15184389|15155843|14574404|12704387|12477932|12444084|11961143|11905408|11850456|11847215|11672421|11535235|11278325|11076863|10945991|10828618|10823959|10530810|10349865|10202136|9886087|9808459|9808458|9776379|9651375|9582347|9488690|9376535|9076744|9069287|8838462|8824806|7476890
