"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P41594,P41594,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"neuron projection",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"postsynaptic density",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"presynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/P41594,P41594,"G-protein coupled receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"G-protein coupled receptor activity involved in regulation of postsynaptic membrane potential",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"glutamate receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"protein tyrosine kinase activator activity",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"protein tyrosine kinase binding",GO Function
https://pharos.nih.gov/idg/targets/P41594,P41594,"chemical synaptic transmission",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"learning or memory",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of translation",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,cognition,GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"locomotory behavior",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,learning,GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of long-term neuronal synaptic plasticity",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"cellular response to amyloid-beta",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"synapse organization",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"calcium-mediated signaling using intracellular calcium source",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"G-protein coupled glutamate receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"modulation of age-related behavioral decline",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"phospholipase C-activating G-protein coupled glutamate receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"positive regulation of protein tyrosine kinase activity",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of intracellular calcium activated chloride channel activity",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of synaptic transmission, glutamatergic",GO Process
https://pharos.nih.gov/idg/targets/P41594,P41594,"regulation of translational elongation",GO Process
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"postsynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,axon,GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"postsynaptic density",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"presynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"dendritic spine",GO Component
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"G-protein coupled receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"calcium channel regulator activity",GO Function
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"glutamate receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"group II metabotropic glutamate receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"chemical synaptic transmission",GO Process
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"negative regulation of adenylate cyclase activity",GO Process
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"G-protein coupled glutamate receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q14832,Q14832,"regulation of synaptic transmission, glutamatergic",GO Process
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,dendrite,GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"cell cortex",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"postsynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,axon,GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"presynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"asymmetric synapse",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"dendritic shaft",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"presynaptic active zone",GO Component
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"calcium ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"PDZ domain binding",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"calcium channel regulator activity",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"glutamate receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"adenylate cyclase inhibitor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"glutamate binding",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"group III metabotropic glutamate receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"serine binding",GO Function
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"chemical synaptic transmission",GO Process
https://pharos.nih.gov/idg/targets/Q14831,Q14831,"G-protein coupled receptor signaling pathway",GO Process
