"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,GRIN3A,"Glutamate receptor ionotropic, NMDA 3A","NMDA receptor subtype of glutamate-gated ion channels with reduced single-channel conductance, low calcium permeability and low voltage-dependent sensitivity to magnesium. Mediated by glycine. May play a role in the development of dendritic spines. May play a role in PPP2CB-NMDAR mediated signaling mechanism (By similarity).",Tclin,"NR3A-GRIN3A subfamily",,-1.8913812001398222,"Ion Channel",3964,24,61,32.51,80.45,50.09,27840953|27558536|27542340|26265699|25450229|25041634|25017909|24386575|24332987|24278430|23870195|23852340|23400010|23251661|23237318|22914463|22833210|22801082|21429969|21152063|21135540|20628086|20379614|20084518|20016182|19913121|19665356|19488045|19386922|19295509|19156168|19086053|18649358|18445116|18296432|18075478|17997397|17658481|17617428|17502428|17320117|17214563|17047094|15489334|15164053|14760703|14684485|14644469|12775422|12477932|12414113|12391275|11880201|11853319|11735224|11606043|11588171|11483648|11160393|10197777|9651389|9620802|7695237|7569905
https://pharos.nih.gov/idg/targets/Q16478,Q16478,GRIK5,"Glutamate receptor ionotropic, kainate 5","Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists. This receptor binds kainate > quisqualate > domoate > L-glutamate >> AMPA >> NMDA = 1S,3R-ACPD.",Tclin,"GRIK5 subfamily",,-2.1161609094585874,"Ion Channel",6027,179,18,39.19,127.26,53.18,23288040|21771265|19342380|19125103|19086053|18247129|16325263|15254951|14511640|12573530|12477932|11279111|9808460|9466455|9099808|9039653|7527545|1321949
https://pharos.nih.gov/idg/targets/O60391,O60391,GRIN3B,"Glutamate receptor ionotropic, NMDA 3B","NMDA receptor subtype of glutamate-gated ion channels with reduced single-channel conductance, low calcium permeability and low voltage-dependent sensitivity to magnesium. Mediated by glycine.",Tclin,"NR3B-GRIN3B subfamily",,-1.4369625724183317,"Ion Channel",5506,121,18,26.21,28.34,18.05,28132660|26031516|25768306|24814139|23571587|22833210|22195173|20398908|20153313|20016182|19156168|17687115|17543277|15722182|15057824|11735224|11717388|8889548
https://pharos.nih.gov/idg/targets/Q16099,Q16099,GRIK4,"Glutamate receptor ionotropic, kainate 4","Receptor for glutamate. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. The postsynaptic actions of Glu are mediated by a variety of receptors that are named according to their selective agonists.",Tclin,"GRIK4 subfamily",,-2.1949901244614067,"Ion Channel",7489,105,28,34.11,147.32,74.43,28284346|26139080|25303296|23728934|22052594|21215464|20859245|20379614|20201926|20125193|20110084|19924111|19384319|19342380|19328558|19125103|19086053|18824690|18289755|16819533|16344560|16325263|14702039|12954862|12477932|11334999|8288598|8263508|7527545
https://pharos.nih.gov/idg/targets/P42261,P42261,GRIA1,"Glutamate receptor 1","Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. In the presence of CACNG4 or CACNG7 or CACNG8, shows resensitization which is characterized by a delayed accumulation of current flux upon continued application of glutamate.",Tclin,"GRIA1 subfamily",,-3.1707670068519347,"Ion Channel",10090,761,105,47.30,1441.52,446.75,27661418|26862833|26800698|25697915|25533481|25056061|24652293|24452473|24292102|24030684|23974872|23739980|23504989|23475111|23251661|23223299|23110111|23053966|23033978|22122651|22094384|22057216|21856433|21846932|21843653|21782286|21697386|21658281|21172611|21156788|21116212|21037582|20859245|20837486|20805473|20592726|20579352|20468064|20434989|20398908|20379614|20237279|19805317|19773551|19536293|19295509|19260139|19217372|19156168|19086053|18957620|18484081|18444252|18317690|18311135|18305116|17545169|17483093|17409242|17208968|16526023|16055064|15866042|15858065|15673434|15489334|15372022|15145077|15144856|14702039|14614461|14610080|12888558|12609872|12603841|12573530|12477932|12368290|12172541|12125045|11891216|11751897|11567040|11418862|11140673|11050113|10896157|10751563|10575214|10461883|10364548|10358037|10023812|9808458|9677374|9648857|9481670|9466455|9407043|9069287|8663994|8420792|8163463|7919190|7877986|1652753|1320959|1319477|1311100
https://pharos.nih.gov/idg/targets/Q14957,Q14957,GRIN2C,"Glutamate receptor ionotropic, NMDA 2C","Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+) (PubMed:26875626). Sensitivity to glutamate and channel kinetics depend on the subunit composition (Probable). Plays a role in regulating the balance between excitatory and inhibitory activity of pyramidal neurons in the prefrontal cortex. Contributes to the slow phase of excitatory postsynaptic current, long-term synaptic potentiation, and learning (By similarity).",Tclin,"NR2C-GRIN2C subfamily",,-2.2147014922784334,"Ion Channel",5328,208,41,39.49,153.60,57.01,28095420|26919761|26875626|26289945|26229101|25788577|24925192|24102971|23070074|22833210|22343826|22245680|22197913|21919190|21807990|21300787|21152063|20981015|20976280|19874574|19477150|19156168|18444252|18029348|16625196|16606616|15920498|15494561|15489334|15287897|12815021|12477932|12082569|11937501|11854440|10943672|10648872|9798920|9480759|9037519|8889548|8665664|8267632|7695237|1350383
https://pharos.nih.gov/idg/targets/P39086,P39086,GRIK1,"Glutamate receptor ionotropic, kainate 1","Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus.",Tclin,"GRIK1 subfamily",,-2.44486926091999,"Ion Channel",72571,219,60,43.53,279.67,144.09,27447243|26289945|26277340|25941919|25496338|24978347|24786948|24525690|24024966|23685007|23453885|22931243|22807686|22730074|22446040|22191429|20978832|20859245|20848601|20602751|20494980|20453000|20379614|20339536|20201926|19941835|19893199|19874574|19342380|19331489|19320626|19095219|19086053|18821565|18519826|17903305|17698324|16221857|15974569|14527949|12597860|12477932|11943148|11891216|11702055|11418862|10830953|10828597|10580501|10023812|9808458|9335499|9259378|9069287|8589992|8468067|8419920|8260617|8163463|7696618
https://pharos.nih.gov/idg/targets/Q12879,Q12879,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A","Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+) (PubMed:8768735, PubMed:26919761, PubMed:26875626, PubMed:28105280). Sensitivity to glutamate and channel kinetics depend on the subunit composition; channels containing GRIN1 and GRIN2A have higher sensitivity to glutamate and faster kinetics than channels formed by GRIN1 and GRIN2B (PubMed:26919761, PubMed:26875626). Contributes to the slow phase of excitatory postsynaptic current, long-term synaptic potentiation, and learning (By similarity).",Tclin,"NR2A-GRIN2A subfamily",,-3.0982801998050182,"Ion Channel",14768,555,161,51.94,1158.10,401.02,28320167|28262924|28182669|28126851|28109652|28105280|28095420|27876530|27864847|27839871|27659111|27230353|26919761|26875626|26637798|26584860|26502998|26220384|25958346|25788577|25596506|25412286|25366762|25261450|25194280|25056061|24915238|24903190|24739903|24504326|24455489|24372385|24227730|24156266|24125812|23940648|23933820|23933819|23933818|23847085|23693003|23509962|23453885|23400010|23271275|23033978|22851457|22833210|22486492|22004137|21883175|21883149|21876681|21507155|21499247|21371516|21152063|20890276|20848605|20677014|20468064|20448061|20398908|20379614|20148871|20070378|20041166|19874574|19834457|19352218|19268276|19156168|19088076|19086053|19058789|18991843|18990687|18606955|18570704|18445116|18178157|18029348|17997397|17942280|17922030|17569088|17519952|17433503|17360663|17255096|17105731|17081983|17018562|17011703|16637659|16476413|16266783|15888440|15830322|15774266|15742215|15616553|15489334|14966475|14732708|14702039|14699423|14644469|14622581|12956718|12933808|12932824|12893641|12890763|12815021|12775422|12724619|12697264|12531901|12477932|12419528|12414113|12391275|12191494|12147342|12127670|12082569|12070168|12068077|12008020|11985816|11937501|11854440|11803122|11675505|11606043|11483648|11478920|11222640|11104776|10884433|10862698|10846184|10748123|10648730|10480938|10479680|10458595|10373510|10336672|10197777|10195142|9651389|9647694|9481670|9480759|9286858|9231720|8768735|8665664|8615909|8601796|8267632|8163463|8139656|8061049|7816096|7695237|7569905|7524031|1350383
https://pharos.nih.gov/idg/targets/P48058,P48058,GRIA4,"Glutamate receptor 4","Receptor for glutamate that functions as ligand-gated ion channel in the central nervous system and plays an important role in excitatory synaptic transmission. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. In the presence of CACNG4 or CACNG7 or CACNG8, shows resensitization which is characterized by a delayed accumulation of current flux upon continued application of glutamate.",Tclin,"GRIA4 subfamily",,-2.4341757849288634,"Ion Channel",5598,326,55,41.63,256.09,107.05,29220673|27443784|26744192|25433904|24962026|24769233|24652293|24512576|24324551|24292102|23613500|23396134|22122651|22094384|22057216|21984433|21172611|20859245|19573479|19217372|19156168|19125103|19086053|18521090|18311135|18163426|17409242|17233759|16554811|16344560|16190873|16055064|15823042|15489334|15450689|15306133|12603841|12574408|12497607|12477932|12471040|12393905|12172541|12125045|11891216|11140673|10688364|10366608|9648857|9481670|9466455|8889548|8589990|8163463|7992055|7518497|1319477
https://pharos.nih.gov/idg/targets/O15399,O15399,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D","Component of NMDA receptor complexes that function as heterotetrameric, ligand-gated ion channels with high calcium permeability and voltage-dependent sensitivity to magnesium. Channel activation requires binding of the neurotransmitter glutamate to the epsilon subunit, glycine binding to the zeta subunit, plus membrane depolarization to eliminate channel inhibition by Mg(2+) (PubMed:9489750, PubMed:27616483, PubMed:26875626, PubMed:28126851). Sensitivity to glutamate and channel kinetics depend on the subunit composition (PubMed:9489750).",Tclin,"NR2D-GRIN2D subfamily",,-2.1111171032060203,"Ion Channel",5248,110,42,37.93,128.45,48.19,28284346|28126851|28095420|27616483|26943033|26919761|26875626|22833210|22486492|21915661|19156168|19125103|18444252|17474147|16959974|16328341|16094258|15057824|14644469|14622581|12815021|12775422|12414113|12191494|12082569|11937501|11606043|11483648|10862698|10777567|10479680|10373510|10216082|10197777|9651389|9647694|9489750|9481670|9480759|9418891|9258910|8665664|8615909|8613785|7695237|7569905
