"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P55263,P55263,nucleus,GO Component
https://pharos.nih.gov/idg/targets/P55263,P55263,cytosol,GO Component
https://pharos.nih.gov/idg/targets/P55263,P55263,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/P55263,P55263,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/P55263,P55263,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P55263,P55263,"RNA binding",GO Function
https://pharos.nih.gov/idg/targets/P55263,P55263,"adenosine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P55263,P55263,"purine-containing compound salvage",GO Process
https://pharos.nih.gov/idg/targets/P55263,P55263,"ribonucleoside monophosphate biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/P55263,P55263,"adenosine salvage",GO Process
https://pharos.nih.gov/idg/targets/P55263,P55263,"AMP salvage",GO Process
https://pharos.nih.gov/idg/targets/P55263,P55263,"dATP biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,membrane,GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"Golgi membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,endosome,GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"perinuclear region of cytoplasm",GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"mitochondrial outer membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"rough endoplasmic reticulum membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"1-phosphatidylinositol 4-kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"14-3-3 protein binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"phosphatidylinositol biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"receptor-mediated endocytosis",GO Process
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"phosphatidylinositol-mediated signaling",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,nucleus,GO Component
https://pharos.nih.gov/idg/targets/P27987,P27987,cytosol,GO Component
https://pharos.nih.gov/idg/targets/P27987,P27987,membrane,GO Component
https://pharos.nih.gov/idg/targets/P27987,P27987,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P27987,P27987,"calmodulin binding",GO Function
https://pharos.nih.gov/idg/targets/P27987,P27987,"inositol-1,4,5-trisphosphate 3-kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27987,P27987,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"cellular response to calcium ion",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"MAPK cascade",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"common myeloid progenitor cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"inositol phosphate metabolic process",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"positive regulation of Ras protein signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"negative regulation of myeloid cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"inositol trisphosphate metabolic process",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"myeloid cell homeostasis",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"negative regulation of neutrophil apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"positive regulation of alpha-beta T cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27987,P27987,"positive thymic T cell selection",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,cytosol,GO Component
https://pharos.nih.gov/idg/targets/P00558,P00558,membrane,GO Component
https://pharos.nih.gov/idg/targets/P00558,P00558,"membrane raft",GO Component
https://pharos.nih.gov/idg/targets/P00558,P00558,"extracellular space",GO Component
https://pharos.nih.gov/idg/targets/P00558,P00558,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/P00558,P00558,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P00558,P00558,"protein-disulfide reductase activity",GO Function
https://pharos.nih.gov/idg/targets/P00558,P00558,"phosphoglycerate kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P00558,P00558,"canonical glycolysis",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,gluconeogenesis,GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,"glycolytic process",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,"epithelial cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,"cellular response to hypoxia",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,"negative regulation of angiogenesis",GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,phosphorylation,GO Process
https://pharos.nih.gov/idg/targets/P00558,P00558,"plasminogen activation",GO Process
https://pharos.nih.gov/idg/targets/P14618,P14618,nucleus,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,cytosol,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,"extracellular region",GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,mitochondrion,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,vesicle,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,cilium,GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,"extracellular matrix",GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,"secretory granule lumen",GO Component
https://pharos.nih.gov/idg/targets/P14618,P14618,"ficolin-1-rich granule lumen",GO Component
