"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,SCN10A,"Sodium channel protein type 10 subunit alpha","Tetrodotoxin-resistant channel that mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which sodium ions may pass in accordance with their electrochemical gradient. Plays a role in neuropathic pain mechanisms.",Tclin,"Nav1.8-SCN10A subfamily","voltage-gated calcium channel",-3.1768976234540327,"Ion Channel",28400,126,58,31.12,1469.29,258.12,27729462|27598514|27590072|27272739|26740675|26733327|26104176|25998140|25842276|25787950|25691686|25691538|25055868|25053638|25035420|24998131|24952745|24850809|24763188|24642470|24360055|24144460|24086692|24072447|24006052|23986244|23872634|23463857|23273568|23139255|23115331|23047628|22618805|21646736|21347284|21248752|21076409|21041692|20720009|20379614|20237269|20062063|20062061|20062060|20018876|19953341|19877286|19699781|19563686|19233853|19164297|19056867|16641997|16598065|16506887|16382098|12591166|10198179|9839820
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,SCN3A,"Sodium channel protein type 3 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.",Tclin,"Nav1.3-SCN3A subfamily","voltage-gated calcium channel",-1.9816049460282585,"Ion Channel",10209,76,27,36.43,87.02,50.71,27153334|27072680|26566883|24497506|24337656|24157691|23965409|23859570|23016767|22494998|20379614|20346423|19699781|18784617|17544618|16382098|16344560|16052353|16029190|15815621|15548568|15317864|12610651|11566500|11245985|11122339|10827173|10718198|9589372|8889548|8159690
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,SCN11A,"Sodium channel protein type 11 subunit alpha","This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which sodium ions may pass in accordance with their electrochemical gradient. It is a tetrodotoxin-resistant sodium channel isoform. Also involved, with the contribution of the receptor tyrosine kinase NTRK2, in rapid BDNF-evoked neuronal depolarization.",Tclin,"Nav1.9-SCN11A subfamily","voltage-gated calcium channel",-2.4656793847023715,"Ion Channel",11281,60,22,30.92,276.27,153.93,28953656|28530638|28298626|27297039|27224030|26746779|26645915|25791876|24776970|24564958|24207120|24144460|24036948|21857998|19056867|16641997|16382098|15302875|12536125|12384689|11144347|10623608|10580103|10444332
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,SCN8A,"Sodium channel protein type 8 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. In macrophages and melanoma cells, isoform 5 may participate in the control of podosome and invadopodia formation.",Tclin,"Nav1.6-SCN8A subfamily","voltage-gated calcium channel",-2.5486741915104805,"Ion Channel",17384,156,54,43.19,340.66,115.06,28923014|28518218|28428547|27875746|27864847|27375106|27267376|27210545|26994141|26993267|26974309|26900580|26677014|26182346|25818041|25804238|25785782|25725044|25659151|25568300|25239001|24888894|24874546|24497506|24352161|23708187|23640885|22365152|21630263|21562192|21156207|21078353|20632842|20600647|20483028|20421839|20379614|20351042|20204400|19352218|19136557|18812204|18718804|17881658|17805013|16775201|16702217|16541075|16382098|16236810|16014723|15676283|15302875|15282281|14702039|10779552|10066808|9828131|9295353|8635876|7670495
https://pharos.nih.gov/idg/targets/P35499,P35499,SCN4A,"Sodium channel protein type 4 subunit alpha","This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. This sodium channel may be present in both denervated and innervated skeletal muscle.",Tclin,"Nav1.4-SCN4A subfamily","voltage-gated calcium channel",-2.5781148598147836,"Ion Channel",8777,57,114,36.66,366.40,342.59,28330959|28012096|27714768|27653901|27535533|27415035|27060299|26700687|26659129|26494408|26427606|26252573|26036855|25839108|25755818|25735906|25724373|25707578|25660391|25450184|25348630|25311598|24943082|24682880|24607901|24549961|24497506|24324661|23771340|23420899|23417379|23381896|22914841|22653516|22617007|22250216|21841462|21665479|21664816|21606664|21521764|21317558|21099342|21043388|20713951|20522878|20076800|20038812|19882638|19881885|19840739|19773279|19347921|19290024|19211598|19118277|19077043|19015483|18726720|18690054|18337730|18337100|18281721|18270170|18203179|18166706|18162704|18079277|18046642|17998485|17898326|17823953|17804458|17334961|17212350|17151947|16890191|16870577|16832098|16786525|16625196|16506889|16392038|16382098|15790667|15596759|15482957|15459238|15318338|15072700|14527681|12766226|12210802|11591859|11558801|10944223|10851391|10727489|10599760|10369308|10366610|10218481|9521881|9392583|9266738|9164815|8580427|8575757|8388676|8385647|8308722|8242056|8058156|8044656|7695243|2173143|1851726|1659948|1659668|1654742|1339144|1338909|1316765|1315496|1310898|1310531|1310396
https://pharos.nih.gov/idg/targets/P35498,P35498,SCN1A,"Sodium channel protein type 1 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. Plays a key role in brain, probably by regulating the moment when neurotransmitters are released in neurons. Involved in sensory perception of mechanical pain: activation in somatosensory neurons induces pain without neurogenic inflammation and produces hypersensitivity to mechanical, but not thermal stimuli.",Tclin,"Nav1.1-SCN1A subfamily","voltage-gated calcium channel",-2.740614001551048,"Ion Channel",18169,131,277,37.89,554.61,636.77,28794249|28686619|28544625|28525652|28518218|28428547|28373025|28262406|28202706|28084635|28012175|27864847|27777328|27498208|27473590|27458797|27316242|27264139|27245092|27207958|27113213|27066534|27045673|26993267|26990884|26969601|26841829|26763045|26747084|26731440|26716362|26637798|26614543|26555147|26311622|26252084|26183863|26182346|25885068|25874779|25823783|25818041|25795284|25778844|25766678|25725421|25668517|25590135|25576396|25569746|25344690|25338670|25281316|25268096|25155934|25087078|24990319|24953032|24902755|24842605|24776920|24707016|24646837|24623842|24497506|24436055|24434335|24372310|24357141|24342961|24337656|24328833|24315024|24277604|24257433|24125961|24107939|24101488|24076350|24014518|23965409|23916143|23884151|23859570|23786015|23762420|23752739|23708187|23662938|23647072|23485646|23466530|23398611|23398550|23291792|23225037|23195492|23158734|23093055|23086956|23066759|23057548|22992729|22952603|22949513|22944210|22848613|22780858|22719002|22612257|22578703|22534457|22532537|22430156|22386634|22341965|22309220|22292851|22206733|22188362|22151702|22150645|22147323|22092154|22071555|22020285|22014581|22011963|22000312|21940124|21906962|21890636|21881118|21868258|21864321|21843600|21762453|21753172|21726526|21713554|21566136|21561445|21555645|21531204|21504426|21504425|21426328|21396429|21377452|21371021|21248271|21156207|20879882|20729507|20682179|20675100|20630778|20602612|20600615|20550552|20522430|20519669|20506560|20484682|20477842|20452746|20447868|20431604|20410126|20392657|20194124|20117752|20110217|20064729|20038948|20037572|19949041|19783390|19782004|19694741|19673951|19589774|19586930|19585586|19563458|19522081|19469841|19464834|19464195|19402159|19400878|19350499|19339291|19332696|19292758|19289736|19270815|19236456|19220312|19214208|19200853|19099883|19070316|19007941|18930999|18784617|18680191|18655196|18639757|18632931|18621678|18566737|18554361|18554360|18554359|18489610|18479393|18451712|18413471|18342948|18330841|18294202|18275929|18251839|18175077|18093548|18076640|18056581|18031552|18021921|17928445|17927801|17679682|17621480|17565594|17561957|17544618|17537961|17507202|17436242|17397047|17347258|17129991|17065438|17054685|17054684|17030758|17001291|16713920|16541393|16525050|16505326|16458823|16430863|16382098|16380441|16326807|16210358|16122630|16054936|15944908|15880351|15815621|15715999|15694566|15525788|15508916|15277629|15263074|15249644|15101391|15087100|14738421|14702039|14672992|14504318|13129592|12919402|12837571|12821740|12773292|12754708|12742596|12610651|12576172|12566275|12535936|12086636|12083760|11823106|11779698|11756608|11579435|11524484|11359211|11295230|11254445|11254444|10742094|10514109|8062593|2429308|1317301
https://pharos.nih.gov/idg/targets/Q15858,Q15858,SCN9A,"Sodium channel protein type 9 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient (PubMed:7720699, PubMed:17167479, PubMed:25240195, PubMed:26680203, PubMed:15385606, PubMed:16988069, PubMed:17145499, PubMed:19369487, PubMed:24311784). It is a tetrodotoxin-sensitive Na(+) channel isoform (PubMed:7720699). Plays a role in pain mechanisms, especially in the development of inflammatory pain (PubMed:17167479, PubMed:17145499, PubMed:19369487, PubMed:24311784).",Tclin,"Nav1.7-SCN9A subfamily","voltage-gated calcium channel",-2.5799385805387294,"Ion Channel",40955,327,133,41.21,379.25,313.92,28428547|28381558|28162808|28103821|27821467|27747863|27529686|27503742|27413160|27311819|27162340|27129258|26920677|26861708|26752484|26680203|26634308|26486037|26168879|25995458|25957174|25585270|25575597|25285947|25240195|25209274|25008557|24866741|24820863|24497506|24401712|24311784|24202110|24082113|23986482|23895530|23874707|23850641|23836888|23596073|23536180|23450472|23383113|23364568|23292638|23280954|23259602|23232607|23149731|23129781|23102778|23006801|22911851|22875917|22539570|22348792|22286749|22136189|22033523|21984269|21939494|21887265|21715690|21705421|21698661|21659528|21441906|21232038|21115638|21094958|21031562|20959280|20855463|20692858|20635406|20628234|20529324|20478850|20429905|20379614|20212137|20146699|20074229|20038812|20033988|19800314|19763161|19699781|19633428|19557861|19369487|19304393|18978189|18945915|18803825|18676988|18599537|18518989|18439623|18426592|18347287|18337362|18171466|18079277|18070140|18070139|18060017|18036246|17985268|17950472|17928139|17597096|17470132|17430993|17410110|17404832|17294067|17167479|17145499|17135418|17008310|16988069|16702558|16392115|16382098|16216943|16088330|15958509|15955112|15929046|15815621|15385606|15302875|15178348|14985375|11283792|10198179|9169448|8889548|7720699
https://pharos.nih.gov/idg/targets/Q99250,Q99250,SCN2A,"Sodium channel protein type 2 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.",Tclin,"Nav1.2-SCN2A subfamily","voltage-gated calcium channel",-3.1157995794964184,"Ion Channel",38770,107,91,44.29,1268.81,284.73,28518218|28428547|28379373|28256214|27864847|27538648|27153334|26993267|26645390|26637798|26555645|26311622|26291284|26138355|25998125|25982755|25969726|25961639|25818041|25459969|25457084|25344690|25155934|24718902|24710820|24659627|24579881|24497506|24463883|24337656|24297919|24220630|24024966|23988467|23935176|23859570|23827426|23758435|23708187|23662938|23550958|23360469|23195492|23033978|23016767|22677033|22612257|22591750|22525008|22495306|22029951|21762452|21439835|21377452|21156207|20956790|20602612|20379614|20371507|20346423|19786696|19783390|19743470|19738391|19694741|19465131|19401682|19270815|19129176|18784617|18479388|17805013|17715289|17641256|17544618|17467289|17386050|17021166|16914293|16847056|16652168|16464983|16417554|16382098|16344560|16122630|16052353|15815621|15342556|15316014|15249644|15048894|15028761|12930796|12610651|12477932|12243921|12165424|11738931|11371648|11326335|11245985|11000491|10486327|10344788|8889548|2571571|1846440|1325650|1317301
https://pharos.nih.gov/idg/targets/Q14524,Q14524,SCN5A,"Sodium channel protein type 5 subunit alpha","This protein mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient. It is a tetrodotoxin-resistant Na(+) channel isoform. This channel is responsible for the initial upstroke of the action potential. Channel inactivation is regulated by intracellular calcium levels.",Tclin,"Nav1.5-SCN5A subfamily","voltage-gated calcium channel",-3.1498072849131944,"Ion Channel",69825,237,529,51.36,1375.65,1244.80,28882890|28552773|28341781|28262340|28191886|28085969|28069705|28018021|28011106|27988371|27919765|27861438|27810048|27784737|27736720|27733495|27666479|27625342|27577874|27554632|27465321|27381756|27364017|27287068|27281089|27160185|27108952|27063795|27000037|26965448|26961874|26921764|26916278|26861708|26820605|26801742|26786162|26776555|26746457|26729167|26721415|26718772|26639179|26636939|26496715|26467377|26452220|26392562|26382759|26361848|26304136|26282245|26279430|26255078|26209461|26154754|26146998|26129877|26118593|26111534|26109178|26031372|26009199|25998140|25923670|25904541|25871451|25829473|25815641|25757662|25721215|25692452|25624448|25558681|25501501|25496128|25443231|25422141|25401102|25370050|25368329|25341504|25210054|25177937|25172307|25171853|25102755|25065297|25051102|25035420|25010007|24998131|24956219|24952745|24951663|24903439|24898004|24871449|24850809|24815523|24795344|24768612|24762805|24756536|24721456|24717670|24703920|24642470|24613995|24599044|24582607|24581105|24573164|24529773|24476701|24463578|24445991|24363796|24360055|24317018|24300601|24295898|24269159|24227891|24167619|24140416|24112685|23995044|23963187|23955615|23936059|23912080|23902689|23893162|23872634|23853484|23840796|23823228|23791817|23714088|23692053|23661717|23656992|23631430|23612926|23571586|23558814|23541953|23538271|23503384|23465283|23463857|23424222|23420830|23414114|23376825|23359282|23321620|23308164|23283979|23277474|23257389|23237912|23200271|23168001|23139255|23133651|23123192|23092124|23085483|23036686|23008441|22999724|22984773|22980924|22952230|22951351|22899775|22882672|22876298|22842345|22826127|22802584|22795782|22766342|22739120|22722661|22721569|22710484|22705208|22685113|22682427|22633666|22562703|22560601|22529811|22514276|22486578|22461438|22460359|22426227|22400069|22370247|22331908|22277643|22247482|22117993|22101522|22092558|22090166|22067152|22064211|22028457|21996251|21937582|21895525|21859973|21840964|21824921|21817159|21726068|21705349|21609529|21596231|21552533|21498565|21454796|21397042|21393430|21385947|21347284|21325150|21321465|21288276|21273195|21185499|21170089|21167176|21167004|21164104|21126620|21109022|21076409|21076026|21070882|21063070|21051419|21048329|20920651|20875080|20812931|20724705|20651255|20628086|20618077|20609320|20586826|20539757|20470418|20403459|20400777|20398673|20395683|20386770|20384651|20379614|20372843|20339117|20219395|20201937|20174578|20147455|20129283|20116193|20110800|20108749|20102920|20090423|20062063|20062060|20042427|20038812|20031634|20025708|20009079|20004937|19948241|19943616|19913121|19861310|19845816|19843921|19843919|19841300|19822451|19808664|19808477|19808432|19808398|19745168|19719504|19716085|19706159|19698999|19666841|19661462|19632628|19551538|19549036|19419784|19412328|19406494|19389651|19377070|19376164|19345130|19340536|19324308|19322600|19318916|19305639|19305409|19305408|19302788|19279232|19272188|19255801|19251209|19224165|19171938|19167345|19149796|19121811|19083750|19075524|19074138|19056759|19027780|19026623|18977767|18929331|18929244|18848812|18803136|18752142|18708744|18690024|18676988|18674739|18657562|18616619|18599870|18596570|18591664|18503232|18456723|18452875|18452871|18451998|18436145|18426444|18408010|18393272|18378609|18368697|18362431|18355654|18341814|18252757|18245395|18184654|18156160|18088563|18071069|18065446|18060054|18048769|18040022|17967977|17928536|17905336|17901361|17897635|17854786|17697823|17675083|17605181|17592081|17556197|17548620|17544529|17534376|17510181|17496023|17363383|17331104|17275752|17227473|17210841|17210839|17205354|17198989|17185997|17161064|17141278|17081365|17075016|17070808|17060380|16980337|16930557|16922724|16880338|16877553|16873405|16864729|16857961|16847056|16818214|16771953|16731473|16728661|16674915|16643374|16641997|16637659|16632547|16616735|16505387|16469732|16453024|16426410|16415376|16414944|16382098|16344400|16325048|16301357|16266370|16254012|16207794|16188595|16132053|16115203|16061851|16061744|16054936|15996170|15910881|15863661|15851320|15851227|15851119|15840476|15828879|15808832|15805167|15746172|15671429|15665061|15579534|15548568|15534720|15504354|15489334|15466643|15367556|15338453|15316014|15306732|15277732|15217910|15176425|15161528|15057319|15051636|15023552|14985827|14961552|14760488|14720472|14654377|14523039|14500339|12820704|12673799|12639704|12574983|12574143|12569159|12522116|12477932|12471205|12454206|12431447|12429735|12401812|12358675|12209021|12208804|12193783|12106943|12051963|11997281|11960580|11901046|11889015|11823453|11807557|11804990|11786529|11748104|11743032|11710892|11410597|11304498|11289718|11234013|11136691|10973849|10940383|10911008|10690282|10627139|10618304|10590249|10532948|10508990|10471492|10377081|10200053|9686753|9521325|9506831|9412493|8917568|8621719|8567977|8541846|7956363|7889574|7842012|7651517|1309946
https://pharos.nih.gov/idg/targets/Q01118,Q01118,SCN7A,"Sodium channel protein type 7 subunit alpha","Mediates the voltage-dependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodium-selective channel through which Na(+) ions may pass in accordance with their electrochemical gradient.",Tclin,"SCN7A subfamily","voltage-gated calcium channel",-0.9942042724031954,"Ion Channel",7907,83,14,27.67,8.52,30.64,26537257|25393565|24275569|19451621|18029348|17339538|15815621|14669210|12477932|11144347|10198179|8889548|8188276|7874451|1846440|1317577
