"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,20583128,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,20468064,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,20436377,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,20398908,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19874574,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19736351,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19727025,"suggestive evidence was found for association between rs8036270 in the GABRG3 gene and exercise participation"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19727025,"Observational study and genome-wide association study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19598235,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19086053,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19078961,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19058789,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,19019179,"results of the present study suggest that hippocampal neurons expressing GABAAgamma receptor subunits resist the progression of neurofibrillary degeneration in Alzheimer disease hippocampus"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,18516948,"Genetic polymorphism of the gene is substantially involving in individual variation of susceptibility to alcohol dependence."
https://pharos.nih.gov/idg/targets/Q99928,Q99928,18334916,"Observational study of gene-disease association. (HuGE Navigator)"
