"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P16389,P16389,KCNA2,"Potassium voltage-gated channel subfamily A member 2","Voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes, primarily in the brain and the central nervous system, but also in the cardiovascular system. Prevents aberrant action potential firing and regulates neuronal output. Forms tetrameric potassium-selective channels through which potassium ions pass in accordance with their electrochemical gradient. The channel alternates between opened and closed conformations in response to the voltage difference across the membrane (PubMed:19912772, PubMed:8495559, PubMed:11211111, PubMed:23769686). Can form functional homotetrameric channels and heterotetrameric channels that contain variable proportions of KCNA1, KCNA2, KCNA4, KCNA5, KCNA6, KCNA7, and possibly other family members as well; channel properties depend on the type of alpha subunits that are part of the channel (PubMed:8495559, PubMed:20220134). Channel properties are modulated by cytoplasmic beta subunits that regulate the subcellular location of the alpha subunits and promote rapid inactivation of delayed rectifier potassium channels. In vivo, membranes probably contain a mixture of heteromeric potassium channel complexes, making it difficult to assign currents observed in intact tissues to any particular potassium channel family member. Homotetrameric KCNA2 forms a delayed-rectifier potassium channel that opens in response to membrane depolarization, followed by slow spontaneous channel closure (PubMed:19912772, PubMed:23769686). In contrast, a heteromultimer formed by KCNA2 and KCNA4 shows rapid inactivation (PubMed:8495559). Regulates neuronal excitability and plays a role as pacemaker in the regulation of neuronal action potentials (By similarity). KCNA2-containing channels play a presynaptic role and prevent hyperexcitability and aberrant action potential firing (By similarity). Response to toxins that are selective for KCNA2-containing potassium channels suggests that in Purkinje cells, dendritic subthreshold KCNA2-containing potassium channels prevent random spontaneous calcium spikes, suppressing dendritic hyperexcitability without hindering the generation of somatic action potentials, and thereby play an important role in motor coordination (By similarity). Plays a role in the induction of long-term potentiation of neuron excitability in the CA3 layer of the hippocampus (By similarity). May function as down-stream effector for G protein-coupled receptors and inhibit GABAergic inputs to basolateral amygdala neurons (By similarity). May contribute to the regulation of neurotransmitter release, such as gamma-aminobutyric acid (GABA) (By similarity). Contributes to the regulation of the axonal release of the neurotransmitter dopamine (By similarity). Reduced KCNA2 expression plays a role in the perception of neuropathic pain after peripheral nerve injury, but not acute pain (By similarity). Plays a role in the regulation of the time spent in non-rapid eye movement (NREM) sleep (By similarity).",Tclin,"Kv1.2-KCNA2 sub-subfamily",,-2.5555023992097845,"Ion Channel",41091,205,62,34.71,343.28,203.28,29050392|28658141|27864847|27733563|27619418|27543892|27062609|26646078|26503718|25751627|25477152|25416956|25300013|24782544|24682423|23769686|22649228|21906595|21044565|20842544|20584892|20220134|19912772|19883299|19713757|19435843|19403695|18474843|18053989|18042681|18003609|17959782|17917103|17576778|17234891|16710414|16473933|16382104|15588985|15489334|15215309|14702039|14592966|12944270|12911333|12815189|12477932|12435606|12395204|12151401|11739373|11401852|11211111|11086297|10896669|10624965|10516156|10428758|10428084|9878055|9635436|8938729|8889548|8662756|8636142|8495559|8002006|7905852|7477295|2722779|2251283|1715584
https://pharos.nih.gov/idg/targets/Q96PR1,Q96PR1,KCNC2,"Potassium voltage-gated channel subfamily C member 2","Voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes, primarily in the brain. Contributes to the regulation of the fast action potential repolarization and in sustained high-frequency firing in neurons of the central nervous system. Homotetramer channels mediate delayed-rectifier voltage-dependent potassium currents that activate rapidly at high-threshold voltages and inactivate slowly. Forms tetrameric channels through which potassium ions pass in accordance with their electrochemical gradient. The channel alternates between opened and closed conformations in response to the voltage difference across the membrane (PubMed:15709110). Can form functional homotetrameric and heterotetrameric channels that contain variable proportions of KCNC1, and possibly other family members as well; channel properties depend on the type of alpha subunits that are part of the channel. Channel properties may be modulated either by the association with ancillary subunits, such as KCNE1, KCNE2 or KCNE3 or indirectly by nitric oxide (NO) through a cGMP- and PKG-mediated signaling cascade, slowing channel activation and deactivation of delayed rectifier potassium channels (By similarity). Contributes to fire sustained trains of very brief action potentials at high frequency in retinal ganglion cells, thalamocortical and suprachiasmatic nucleus (SCN) neurons and in hippocampal and neocortical interneurons (PubMed:15709110). Sustained maximal action potential firing frequency in inhibitory hippocampal interneurons is negatively modulated by histamine H2 receptor activation in a cAMP- and protein kinase (PKA) phosphorylation-dependent manner. Plays a role in maintaining the fidelity of synaptic transmission in neocortical GABAergic interneurons by generating action potential (AP) repolarization at nerve terminals, thus reducing spike-evoked calcium influx and GABA neurotransmitter release. Required for long-range synchronization of gamma oscillations over distance in the neocortex. Contributes to the modulation of the circadian rhythm of spontaneous action potential firing in suprachiasmatic nucleus (SCN) neurons in a light-dependent manner (By similarity).",Tclin,"Kv3.2-KCNC2 sub-subfamily",,-1.4527204017668185,"Ion Channel",2940,178,9,27.97,28.67,10.84,23628987|23475819|21912965|19332619|16541075|16382104|16344560|15709110|15489334|14702039|12477932|11506885|10414303|8111118
https://pharos.nih.gov/idg/targets/Q9ULD8,Q9ULD8,KCNH3,"Potassium voltage-gated channel subfamily H member 3","Pore-forming (alpha) subunit of voltage-gated potassium channel. Elicits an outward current with fast inactivation. Channel properties may be modulated by cAMP and subunit assembly.",Tclin,"Kv12.2-KCNH3 sub-subfamily",,-1.0786639100191235,"Ion Channel",1949,67,8,27.80,11.84,4.88,26503718|20638388|19923296|16382104|12890647|12477932|10574462|10455180
https://pharos.nih.gov/idg/targets/Q9UK17,Q9UK17,KCND3,"Potassium voltage-gated channel subfamily D member 3","Pore-forming (alpha) subunit of voltage-gated rapidly inactivating A-type potassium channels. May contribute to I(To) current in heart and I(Sa) current in neurons. Channel properties are modulated by interactions with other alpha subunits and with regulatory subunits.",Tclin,"Kv4.3-KCND3 sub-subfamily",,-2.3461018424592996,"Ion Channel",4378,162,60,39.77,217.90,208.07,28895081|26216464|26016905|25854634|25600224|24963029|24850809|24845726|24785509|24762397|23963749|23400760|23291429|23280838|23280837|23036686|22683750|22610502|22589738|22457051|22198508|22023388|21493962|21422811|21349352|21129448|20649599|20550899|20379614|20354865|19927631|19213956|18678642|18620005|18052691|17725712|17506992|17187064|16959974|16782062|16710414|16382104|15890703|15578212|15563876|15498806|15489334|15148151|14980207|14645239|12928444|12764052|12477932|12384780|12297301|11284128|10942109|10729221|10200233|9843794|8734615
https://pharos.nih.gov/idg/targets/Q9UIX4,Q9UIX4,KCNG1,"Potassium voltage-gated channel subfamily G member 1","Potassium channel subunit that does not form functional channels by itself. Can form functional heterotetrameric channels with KCNB1; modulates the delayed rectifier voltage-gated potassium channel activation and deactivation rates of KCNB1 (PubMed:19074135).",Tclin,"Kv6.1-KCNG1 sub-subfamily",,-1.8366188488880313,"Ion Channel",6549,87,11,26.44,59.29,27.91,23918034|19074135|18029348|16382104|16344560|15489334|15146197|14702039|12477932|11780052|9434767|8980147
https://pharos.nih.gov/idg/targets/Q14721,Q14721,KCNB1,"Potassium voltage-gated channel subfamily B member 1","Voltage-gated potassium channel that mediates transmembrane potassium transport in excitable membranes, primarily in the brain, but also in the pancreas and cardiovascular system. Contributes to the regulation of the action potential (AP) repolarization, duration and frequency of repetitive AP firing in neurons, muscle cells and endocrine cells and plays a role in homeostatic attenuation of electrical excitability throughout the brain (PubMed:23161216). Plays also a role in the regulation of exocytosis independently of its electrical function (By similarity). Forms tetrameric potassium-selective channels through which potassium ions pass in accordance with their electrochemical gradient. The channel alternates between opened and closed conformations in response to the voltage difference across the membrane. Homotetrameric channels mediate a delayed-rectifier voltage-dependent outward potassium current that display rapid activation and slow inactivation in response to membrane depolarization (PubMed:8081723, PubMed:1283219, PubMed:10484328, PubMed:12560340, PubMed:19074135, PubMed:19717558, PubMed:24901643). Can form functional homotetrameric and heterotetrameric channels that contain variable proportions of KCNB2; channel properties depend on the type of alpha subunits that are part of the channel (By similarity). Can also form functional heterotetrameric channels with other alpha subunits that are non-conducting when expressed alone, such as KCNF1, KCNG1, KCNG3, KCNG4, KCNH1, KCNH2, KCNS1, KCNS2, KCNS3 and KCNV1, creating a functionally diverse range of channel complexes (PubMed:10484328, PubMed:11852086, PubMed:12060745, PubMed:19074135, PubMed:19717558, PubMed:24901643). Heterotetrameric channel activity formed with KCNS3 show increased current amplitude with the threshold for action potential activation shifted towards more negative values in hypoxic-treated pulmonary artery smooth muscle cells (By similarity). Channel properties are also modulated by cytoplasmic ancillary beta subunits such as AMIGO1, KCNE1, KCNE2 and KCNE3, slowing activation and inactivation rate of the delayed rectifier potassium channels (By similarity). In vivo, membranes probably contain a mixture of heteromeric potassium channel complexes, making it difficult to assign currents observed in intact tissues to any particular potassium channel family member. Major contributor to the slowly inactivating delayed-rectifier voltage-gated potassium current in neurons of the central nervous system, sympathetic ganglion neurons, neuroendocrine cells, pancreatic beta cells, cardiomyocytes and smooth muscle cells. Mediates the major part of the somatodendritic delayed-rectifier potassium current in hippocampal and cortical pyramidal neurons and sympathetic superior cervical ganglion (CGC) neurons that acts to slow down periods of firing, especially during high frequency stimulation. Plays a role in the induction of long-term potentiation (LTP) of neuron excitability in the CA3 layer of the hippocampus (By similarity). Contributes to the regulation of glucose-induced action potential amplitude and duration in pancreatic beta cells, hence limiting calcium influx and insulin secretion (PubMed:23161216). Plays a role in the regulation of resting membrane potential and contraction in hypoxia-treated pulmonary artery smooth muscle cells. May contribute to the regulation of the duration of both the action potential of cardiomyocytes and the heart ventricular repolarization QT interval. Contributes to the pronounced pro-apoptotic potassium current surge during neuronal apoptotic cell death in response to oxidative injury. May confer neuroprotection in response to hypoxia/ischemic insults by suppressing pyramidal neurons hyperexcitability in hippocampal and cortical regions (By similarity). Promotes trafficking of KCNG3, KCNH1 and KCNH2 to the cell surface membrane, presumably by forming heterotetrameric channels with these subunits (PubMed:12060745). Plays a role in the calcium-dependent recruitment and release of fusion-competent vesicles from the soma of neurons, neuroendocrine and glucose-induced pancreatic beta cells by binding key components of the fusion machinery in a pore-independent manner (By similarity).",Tclin,"Kv2.1-KCNB1 sub-subfamily",,-2.574839263760118,"Ion Channel",4428,303,59,41.73,386.04,214.58,28806457|28768770|28607108|28373283|26922553|26505474|26503721|26487174|26477325|26377690|26303499|26242757|26240432|25908859|25164438|25056061|24901643|24597762|24477962|23431371|23251661|23161216|22560931|22442077|22411134|22106938|21455829|21095721|20709754|20566856|20547671|20379614|19717558|19717445|19454037|19357235|19265782|19223394|19074135|18690023|18212012|16880266|16382104|16008572|15858231|15827117|15353504|15024041|14988243|14702039|14565763|12615930|12560340|12477932|12403834|12060745|12021261|11852086|11780052|10921884|10551266|10484328|10414301|9362476|8980147|8670833|8081723|7774931|1283219
https://pharos.nih.gov/idg/targets/O43525,O43525,KCNQ3,"Potassium voltage-gated channel subfamily KQT member 3","Associates with KCNQ2 or KCNQ5 to form a potassium channel with essentially identical properties to the channel underlying the native M-current, a slowly activating and deactivating potassium conductance which plays a critical role in determining the subthreshold electrical excitability of neurons as well as the responsiveness to synaptic inputs. Therefore, it is important in the regulation of neuronal excitability.",Tclin,"Kv7.3-KCNQ3 sub-subfamily",,-2.0880810453632677,"Ion Channel",10723,111,81,40.94,103.94,105.97,27607834|27564677|27445338|26969140|26692086|26627826|25998125|25982755|25740509|25524373|25278462|25041603|24843134|24646441|24375629|24333508|23870195|23596459|23360469|23271449|23209695|23146207|23087646|23002961|22612257|22447848|22334706|21980481|21976501|21730298|20628086|20610766|20379614|19913121|19464834|18790849|18786918|18676988|18625963|18425618|18249525|18166285|18089837|16990515|16735477|16721610|16525039|16421571|16382104|16319223|16235065|15489334|15483133|15304482|14702039|14534157|12928862|12890507|12832524|12640002|12524525|12477932|12223552|12147327|12032157|11159685|11034315|10953053|10908292|10852552|10788442|10781098|10713961|10713399|10684873|10479678|10025409|9872318|9836639|9677360|9425900|8102508|1859177
https://pharos.nih.gov/idg/targets/Q12791,Q12791,KCNMA1,"Calcium-activated potassium channel subunit alpha-1","Potassium channel activated by both membrane depolarization or increase in cytosolic Ca(2+) that mediates export of K(+). It is also activated by the concentration of cytosolic Mg(2+). Its activation dampens the excitatory events that elevate the cytosolic Ca(2+) concentration and/or depolarize the cell membrane. It therefore contributes to repolarization of the membrane potential. Plays a key role in controlling excitability in a number of systems, such as regulation of the contraction of smooth muscle, the tuning of hair cells in the cochlea, regulation of transmitter release, and innate immunity. In smooth muscles, its activation by high level of Ca(2+), caused by ryanodine receptors in the sarcoplasmic reticulum, regulates the membrane potential. In cochlea cells, its number and kinetic properties partly determine the characteristic frequency of each hair cell and thereby helps to establish a tonotopic map. Kinetics of KCNMA1 channels are determined by alternative splicing, phosphorylation status and its combination with modulating beta subunits. Highly sensitive to both iberiotoxin (IbTx) and charybdotoxin (CTX).",Tclin,"KCa1.1-KCNMA1 sub-subfamily",,-3.096486782179718,"Ion Channel",36302,222,180,49.00,1238.47,306.08,28750098|28474046|28428266|28246116|28075010|28028617|27763639|27758860|27729549|27592226|27567911|27537208|27245839|27233075|27217576|26893360|26390131|26386726|26247146|26195193|26009545|25796627|25511389|25345746|25201988|25108383|25070892|24954895|24759175|24705869|24696148|24602615|24569989|24476761|24414257|24375290|24260325|24137539|24127525|24067659|23992640|23831469|23626738|23508624|23376485|23267835|23237801|23232643|22899999|22896041|22710124|22547800|22538239|22504420|22474334|22446331|22399288|22331907|22194818|22140451|22074915|21757754|21724437|21708048|21670298|21613417|21413024|21301863|21078868|21072171|20959415|20808839|20693285|20677014|20630939|20624858|20613726|20574420|20508092|20479001|20457834|20430843|20427280|20424473|20400778|20379614|20051533|20037152|20012488|19738431|19718020|19640305|19617704|19552602|19482008|19456106|19430934|19344525|19204046|19168436|19118164|19096717|19052171|18854754|18719396|18559348|18480178|18458941|18414909|18404672|18385281|18367663|18345016|18316727|18287010|18227273|18180950|18162557|18084004|17989352|17901123|17706472|17591990|17591987|17586600|17521822|17483867|17468961|17166942|17150299|17146446|16951373|16895996|16790810|16396928|16385451|16382103|16100257|16042390|15937479|15849354|15703204|15528406|15489334|15280542|15194822|15164054|14715246|14702039|14631046|14584897|14523450|14522958|12566537|12477932|12438308|12434576|12391293|12388065|12223479|12161564|12009018|11986367|11880513|11880485|11641143|11604135|11401860|11245614|10840032|10692449|10489376|10097176|9829973|9391153|8962157|8821792|8612769|8006036|7993625|7987297|7877450|7687074|7573516
https://pharos.nih.gov/idg/targets/Q12809,Q12809,KCNH2,"Potassium voltage-gated channel subfamily H member 2","Isoform B-USO: Has no channel activity by itself, but modulates channel characteristics by forming heterotetramers with other isoforms which are retained intracellularly and undergo ubiquitin-dependent degradation.",Tclin,"Kv11.1-KCNH2 sub-subfamily",,-3.2257531837523574,"Ion Channel",63697,243,544,50.56,1653.89,1373.24,29117522|29066300|28784631|28743763|28552773|28431243|28314880|28280240|28235848|28212739|28122216|27997898|27916661|27816319|27803431|27558843|27502273|27490970|27333947|27317659|27078096|27077769|27067105|27025590|26859003|26847485|26829745|26746457|26659724|26543354|26519040|26503718|26496715|26481172|26403377|26363003|26334569|26173150|26152716|26129877|26118593|26109178|26066992|26063740|25987402|25947924|25866772|25820318|25819988|25809256|25719829|25656388|25653065|25648353|25596745|25453103|25418316|25417810|25417227|25355491|25281747|25266722|25247487|25224286|25218469|25128783|25071021|25028483|24993425|24952745|24937480|24931372|24875677|24695734|24679481|24623279|24606995|24606930|24587194|24569898|24530480|24516604|24462143|24460807|24449824|24429499|24417241|24403225|24400717|24392021|24386440|24386436|24366185|24325597|24307198|24284363|24213244|24204727|24154981|24152733|24112685|24074973|24057343|24036083|24021552|24015048|23997099|23995044|23981618|23963841|23936059|23899126|23890619|23864605|23793622|23792956|23761630|23744352|23721480|23718892|23714088|23672495|23651034|23608144|23603386|23589291|23571586|23571109|23546015|23524483|23473737|23471968|23470493|23465283|23459091|23440458|23300672|23277474|23241319|23237912|23186163|23166209|23139156|23136156|23134353|23133669|23103500|23090949|23041462|23033485|23029143|23022675|23010577|22988594|22964610|22905262|22891279|22882672|22879586|22876326|22848423|22764740|22727609|22653970|22613764|22580281|22560601|22554505|22517356|22508050|22465688|22460808|22396785|22314138|22292854|22242185|22173492|22161019|22124116|22107967|22100990|22052838|21996251|21936766|21935437|21920426|21908602|21844197|21832094|21806934|21777565|21680736|21669058|21573751|21536683|21536673|21525004|21496174|21490315|21489024|21483829|21474444|21463633|21440677|21376840|21357734|21320466|21315844|21234558|21219869|21185499|21177251|21170050|21164565|21135701|21135103|21130771|21109023|21070882|21063774|21063088|21063070|21057041|21055387|21048156|21044581|20947828|20931094|20920651|20876384|20875080|20860824|20855658|20851114|20833965|20831043|20712994|20699637|20693282|20662825|20660661|20628086|20605793|20574821|20549940|20547678|20544339|20541041|20507645|20479154|20470906|20465523|20400777|20386770|20375276|20363888|20226272|20215044|20144677|20140874|20133899|20126398|20116193|20108749|20097192|20071715|20062063|20062061|20004623|19956635|19955179|19949665|19940115|19926013|19913121|19892732|19878047|19859662|19843919|19821083|19765650|19726881|19720020|19716085|19690348|19690332|19671703|19668779|19654002|19617705|19577877|19551538|19501051|19495974|19490382|19490267|19479660|19439805|19424205|19413965|19412172|19409379|19406877|19324319|19322600|19305991|19305409|19305408|19244476|19234087|19215240|19187913|19174314|19172259|19160088|19157587|19149796|19136169|19088443|19088442|19070294|19065538|19034806|19034039|19034038|19032804|19029296|19027781|19019189|19002712|18987434|18984536|18948620|18923542|18848812|18808722|18791070|18785031|18781376|18776039|18774102|18752142|18708743|18690032|18680509|18675227|18634834|18617000|18616963|18599551|18596570|18593567|18590565|18570888|18559421|18551196|18504605|18441445|18426444|18414380|18386051|18362022|18345496|18272172|18222980|18209470|18192214|18191158|18162604|18096051|18048364|18042732|17976575|17938585|17905336|17895974|17852802|17823114|17763876|17762170|17709632|17693551|17624316|17576861|17569659|17560885|17534376|17531263|17516459|17444521|17429906|17420287|17363390|17293393|17275752|17272276|17239714|17227789|17210839|17192395|17171344|17120019|17056009|17042915|16923798|16922724|16914520|16883575|16880338|16818214|16771953|16769794|16723117|16556651|16550488|16524878|16506891|16487842|16487223|16474003|16472284|16467651|16432067|16414944|16407206|16399053|16382104|16361248|16265378|16263765|16253915|16244363|16166152|16155735|16132053|16011830|15973763|15961404|15851119|15840476|15828882|15800067|15790807|15778703|15760896|15746444|15699249|15572050|15534720|15528201|15522280|15489334|15475579|15367556|15365637|15365094|15364333|15304481|15231497|15211519|15202000|15181157|15176425|15120823|15051636|14998624|14975928|14973143|14760488|14744775|14714110|14676148|14674677|14661677|14525949|12902341|12885765|12853948|12849668|12829173|12804575|12736144|12695533|12690509|12690205|12634931|12626667|12621127|12593854|12560090|12527373|12477932|12442276|12431979|12427763|12402336|12354768|12270925|12209010|12151390|12142119|12063277|12062363|11997281|11953308|11743032|11374908|11289718|11278781|11170080|11136691|10996323|10973849|10862104|10862094|10837251|10790218|10753933|10735633|10517660|10220144|10219239|10187793|10086971|9845367|9765245|9714291|9693036|9600240|9544837|9511785|9509262|9452080|9351462|9351446|9230439|9024139|8995352|8914737|8889548|8877771|8635257|8587608|8159766|7889573|7842012|7736582|7604285
https://pharos.nih.gov/idg/targets/P51787,P51787,KCNQ1,"Potassium voltage-gated channel subfamily KQT member 1","Isoform 2: Non-functional alone but modulatory when coexpressed with the full-length isoform 1.",Tclin,"Kv7.1-KCNQ1 sub-subfamily",,-2.9067464613773515,"Ion Channel",28227,365,500,52.38,800.22,891.02,29020060|28882596|28624668|28406950|28254843|28249770|28246294|28188958|28003625|27988371|27855440|27834678|27818172|27809696|27736720|27626070|27531917|27451284|27323013|27281273|27194473|27175665|27041150|26970180|26802629|26718405|26678516|26669661|26668384|26540651|26503718|26496715|26385840|26370830|26366551|26344792|26334569|26318259|26238466|26184980|26168993|26129877|26118593|26115082|26109524|26066992|26063740|26039078|26019114|25854863|25825456|25786344|25749274|25705178|25653179|25645639|25616976|25501231|25479336|25476662|25475720|25441029|25429064|25429063|25344363|25230101|25139741|25102180|25055868|25037568|24996904|24986528|24952745|24947509|24920132|24912595|24861553|24855057|24827085|24713462|24606221|24552659|24535457|24509480|24486580|24460807|24457979|24411289|24390345|24373870|24373634|24372464|24366043|24284363|24269949|24214981|24206879|24190995|24184248|24165912|24142691|24101674|24096004|24070608|24052033|23995044|23989646|23975432|23945395|23890619|23861489|23856471|23853484|23844633|23786590|23718892|23714088|23710137|23692438|23650380|23631430|23630301|23571586|23542581|23529131|23447643|23400408|23392653|23364967|23359697|23350853|23324056|23291057|23271129|23241319|23166209|23144361|23139357|23133642|23107108|23092362|23000022|22961080|22923468|22908235|22905262|22882672|22805606|22790062|22727609|22708720|22696034|22613981|22560601|22539601|22509038|22508963|22479571|22456477|22406554|22403629|22377714|22309168|22293141|22250012|22206064|22199116|22151254|22095730|22024150|22020285|22016621|21957902|21854832|21844197|21810471|21799836|21767287|21730298|21709633|21691061|21573907|21459285|21451124|21416855|21355884|21320432|21261977|21241800|21231794|21228319|21212535|21185499|21164565|21149716|21129503|21118809|21118729|21084694|21084310|21070882|21063774|21063070|21059661|20981542|20962273|20940310|20920651|20890437|20889853|20881960|20879858|20875080|20855658|20851114|20850564|20833965|20816152|20802253|20701788|20682687|20662986|20628086|20606385|20581827|20553101|20541041|20533308|20526338|20512086|20509872|20490451|20479109|20470906|20424473|20421371|20400777|20386770|20379614|20368164|20226272|20203524|20196769|20186784|20174558|20139709|20138589|20108749|20085748|20071715|20062063|20056949|20044973|20040519|20031635|19959132|19956635|19940153|19934648|19933996|19913547|19913121|19907016|19892838|19880070|19850681|19843919|19841300|19825999|19817925|19808498|19798621|19741467|19716085|19714318|19693805|19687231|19646991|19632626|19617707|19590188|19584308|19575309|19556355|19551538|19540844|19523148|19521339|19516902|19502414|19490272|19448982|19401414|19372218|19366866|19348785|19340287|19322600|19308350|19305409|19305408|19289549|19261104|19252135|19247372|19218243|19202166|19198868|19167356|19160088|19156197|19149796|19139916|19131515|19114714|19077539|19056345|19029186|19027783|19006182|18991055|18931301|18808722|18803136|18774102|18757482|18752142|18713323|18711367|18711366|18651418|18611041|18599533|18596570|18590565|18580685|18567635|18504315|18464913|18441444|18426444|18400097|18390900|18308161|18279388|18266681|18192214|18174212|18165683|18093912|18079560|17999538|17997361|17984373|17980676|17932138|17916649|17905336|17853647|17698596|17676362|17646758|17626898|17596298|17544529|17534376|17482572|17474147|17470695|17467630|17384445|17310097|17292394|17289006|17227916|17210839|17161064|17130521|17016049|17010804|16987820|16922724|16880338|16823764|16818214|16723781|16631607|16610241|16563243|16556866|16556865|16554811|16540748|16487842|16487223|16414944|16382104|16308347|16253915|16246960|16155735|16132053|16129795|16002409|15924777|15904893|15851119|15840476|15746444|15707997|15696484|15649981|15534720|15511625|15489334|15459184|15389592|15367556|15340049|15242738|15234419|15226366|15176425|15159330|15051636|15028050|14998624|14761891|14760488|14756674|14743216|14731347|14702039|14678125|14661677|14576198|14510661|12849668|12820704|12690509|12670483|12612194|12524525|12522251|12511562|12482884|12477932|12442276|12402336|12324418|12080180|12051962|11997281|11799244|11743032|11334835|11299204|11289718|11136691|11104781|11101505|11076863|10973849|10970817|10843888|10728423|10713961|10704188|10654932|10646604|10482963|10409658|10400998|10367071|10220146|10220144|10090886|10024302|9927399|9799083|9781056|9702906|9693036|9641694|9570196|9482580|9386136|9354802|9323054|9312006|9305853|9302275|9272155|9164812|9108097|9024139|9020846|9020845|8900283|8872472|8818942|8528244
