"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/O94759,O94759,"NOD-like receptor signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04621
https://pharos.nih.gov/idg/targets/O94759,O94759,"Oxytocin signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04921
https://pharos.nih.gov/idg/targets/O94759,O94759,"Immune System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-168256
https://pharos.nih.gov/idg/targets/O94759,O94759,"Transport of small molecules","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-382551
https://pharos.nih.gov/idg/targets/O94759,O94759,"Ion channel transport","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-983712
https://pharos.nih.gov/idg/targets/O94759,O94759,"Stimuli-sensing channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-2672351
https://pharos.nih.gov/idg/targets/O94759,O94759,"TRP channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-3295583
https://pharos.nih.gov/idg/targets/O94759,O94759,"Innate Immune System","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-168249
https://pharos.nih.gov/idg/targets/O94759,O94759,"Neutrophil degranulation","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-6798695
https://pharos.nih.gov/idg/targets/O94759,O94759,"Ectoderm Differentiation","WikiPathways Pathway",http://www.wikipathways.org/instance/WP2858_r94911
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"NOD-like receptor signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04621
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"Inflammatory mediator regulation of TRP channels","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04750
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"Transport of small molecules","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-382551
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"Ion channel transport","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-983712
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"Stimuli-sensing channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-2672351
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,"TRP channels","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-3295583
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"NOD-like receptor signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04621
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,Necroptosis,"KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04217
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,"Mineral absorption","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04978
