"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P55263,P55263,"Metabolic pathways","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa01100
https://pharos.nih.gov/idg/targets/P55263,P55263,"Purine metabolism","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa00230
https://pharos.nih.gov/idg/targets/P55263,P55263,http://pathwaycommons.org/pc2/Pathway_97f49a211f72c17b5648124239d8bd50,"PathwayCommons: humancyc Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,http://pathwaycommons.org/pc2/Pathway_dd2c6d294cdd9391a9865fd95d0cd828,"PathwayCommons: inoh Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,http://identifiers.org/smpdb/SMP00427,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,http://identifiers.org/smpdb/SMP00428,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,http://identifiers.org/smpdb/SMP00430,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,http://identifiers.org/smpdb/SMP00609,"PathwayCommons: smpdb Pathway",null
https://pharos.nih.gov/idg/targets/P55263,P55263,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
https://pharos.nih.gov/idg/targets/P55263,P55263,"Metabolism of nucleotides","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-15869
https://pharos.nih.gov/idg/targets/P55263,P55263,"Nucleotide salvage","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-8956321
https://pharos.nih.gov/idg/targets/P55263,P55263,"Purine salvage","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-74217
https://pharos.nih.gov/idg/targets/P55263,P55263,"Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenosine: step 1/1.","UniProt Pathway",null
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"Metabolic pathways","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa01100
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"Inositol phosphate metabolism","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa00562
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,"Phosphatidylinositol signaling system","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04070
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,http://pathwaycommons.org/pc2/Pathway_8bcc17414d3bc11e78c22d3fb8c06e7e,"PathwayCommons: humancyc Pathway",null
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,http://pathwaycommons.org/pc2/Pathway_c294794f5a13656ccf1e04d4f357cb8b,"PathwayCommons: humancyc Pathway",null
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,http://pathwaycommons.org/pc2/Pathway_d68fc4b05c034d0dab0505b400791eac,"PathwayCommons: humancyc Pathway",null
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,http://pathwaycommons.org/pc2/Pathway_a1fad3aea6bed5c73670bb81501e3294,"PathwayCommons: pid Pathway",null
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
