"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"negative regulation of apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"cell cycle",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"regulation of mitotic cell cycle",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"negative regulation of insulin secretion involved in cellular response to glucose stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"calmodulin binding",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"calcium-dependent protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"calmodulin-dependent protein kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"intracellular signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"peptidyl-serine phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"regulation of translation",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"phosphatidylinositol binding",GO Function
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"positive regulation of translation",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"negative regulation of glycogen biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"regulation of energy homeostasis",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"regulation of glucagon secretion",GO Process
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"regulation of respiratory gaseous exchange",GO Process
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,membrane,GO Component
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,nucleoplasm,GO Component
