"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P43220,P43220,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P43220,P43220,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P43220,P43220,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/P43220,P43220,intracellular,GO Component
https://pharos.nih.gov/idg/targets/P43220,P43220,"transmembrane signaling receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P43220,P43220,"glucagon receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P43220,P43220,"glucagon-like peptide 1 receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P43220,P43220,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"positive regulation of cytosolic calcium ion concentration",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"learning or memory",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"positive regulation of blood pressure",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"response to stress",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"adenylate cyclase-activating G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"regulation of insulin secretion",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"activation of adenylate cyclase activity",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"cAMP-mediated signaling",GO Process
https://pharos.nih.gov/idg/targets/P43220,P43220,"regulation of heart contraction",GO Process
https://pharos.nih.gov/idg/targets/P47872,P47872,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P47872,P47872,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P47872,P47872,"cytoplasmic microtubule",GO Component
https://pharos.nih.gov/idg/targets/P47872,P47872,"secretin receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P47872,P47872,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P47872,P47872,digestion,GO Process
https://pharos.nih.gov/idg/targets/P47872,P47872,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P47872,P47872,excretion,GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cell surface",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"nuclear matrix",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"secretory granule",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,sarcolemma,GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"nuclear outer membrane",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"nuclear inner membrane",GO Component
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"G-protein coupled receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"growth factor binding",GO Function
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"peptide hormone binding",GO Function
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"growth hormone-releasing hormone receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"response to glucocorticoid",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cellular response to insulin stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cellular response to glucose stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"adenylate cyclase-activating G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of cAMP biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"response to insulin",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"hormone metabolic process",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of multicellular organism growth",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"response to estrogen",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,lactation,GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"activation of adenylate cyclase activity",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"regulation of protein metabolic process",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cAMP-mediated signaling",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"determination of adult lifespan",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of insulin-like growth factor receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"water homeostasis",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"cell maturation",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of circadian sleep-wake cycle, non-REM sleep",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"positive regulation of growth hormone secretion",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"growth hormone secretion",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"multicellular organismal reproductive process",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"regulation of intracellular steroid hormone receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"somatotropin secreting cell development",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41587,P41587,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41587,P41587,"G-protein coupled receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41587,P41587,"vasoactive intestinal polypeptide receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41587,P41587,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"cell-cell signaling",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"activation of adenylate cyclase activity",GO Process
https://pharos.nih.gov/idg/targets/P41587,P41587,"negative regulation of smooth muscle cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"cell surface",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,endosome,GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,caveola,GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"neuron projection",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"bicellular tight junction",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"rough endoplasmic reticulum",GO Component
https://pharos.nih.gov/idg/targets/P41586,P41586,"neuropeptide binding",GO Function
https://pharos.nih.gov/idg/targets/P41586,P41586,"receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41586,P41586,"adenylate cyclase binding",GO Function
https://pharos.nih.gov/idg/targets/P41586,P41586,"vasoactive intestinal polypeptide receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41586,P41586,"ADP-ribosylation factor binding",GO Function
https://pharos.nih.gov/idg/targets/P41586,P41586,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"response to estradiol",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"activation of phospholipase C activity",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,spermatogenesis,GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"response to drug",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"positive regulation of cAMP biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"negative regulation of cell death",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"positive regulation of inositol phosphate biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"response to ethanol",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"cAMP-mediated signaling",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"multicellular organismal response to stress",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"development of primary female sexual characteristics",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"positive regulation of calcium ion transport into cytosol",GO Process
https://pharos.nih.gov/idg/targets/P41586,P41586,"positive regulation of small GTPase mediated signal transduction",GO Process
https://pharos.nih.gov/idg/targets/O95838,O95838,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/O95838,O95838,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/O95838,O95838,"G-protein coupled receptor activity",GO Function
https://pharos.nih.gov/idg/targets/O95838,O95838,"glucagon receptor activity",GO Function
https://pharos.nih.gov/idg/targets/O95838,O95838,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/O95838,O95838,"positive regulation of cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/O95838,O95838,"cell surface receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/O95838,O95838,"adenylate cyclase-modulating G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P30988,P30988,"plasma membrane",GO Component
