"URL","Uniprot ID","Keyword","Link"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Metal-binding,http://www.uniprot.org/keywords/KW-0479
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Nucleus,http://www.uniprot.org/keywords/KW-0539
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Repeat,http://www.uniprot.org/keywords/KW-0677
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Lipoprotein,http://www.uniprot.org/keywords/KW-0449
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Methylation,http://www.uniprot.org/keywords/KW-0488
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Prenylation,http://www.uniprot.org/keywords/KW-0636
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,"Sensory transduction",http://www.uniprot.org/keywords/KW-0716
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,Vision,http://www.uniprot.org/keywords/KW-0844
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q13464,Q13464,Metal-binding,http://www.uniprot.org/keywords/KW-0479
https://pharos.nih.gov/idg/targets/Q13464,Q13464,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q13464,Q13464,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q13464,Q13464,Zinc,http://www.uniprot.org/keywords/KW-0862
https://pharos.nih.gov/idg/targets/Q13464,Q13464,Zinc-finger,http://www.uniprot.org/keywords/KW-0863
