"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/Q14973,Q14973,SLC10A1,"Sodium/bile acid cotransporter","(Microbial infection) Acts as a receptor for hepatitis B virus.",Tchem,,"cation transporter",-2.691497480480334,Transporter,,163,52,31.04,476.10,257.44,28125961|27783949|27491457|27384660|27051045|26968990|26865711|26642861|26592202|26019035|25985569|25929767|25765005|25550158|25409679|25220493|25168282|25010264|24735529|24390325|24361467|24342612|23930675|23886862|23815591|23150796|22744337|22098322|22029531|21341987|21109590|20857261|20679960|20424473|20346360|20031551|19815625|19343046|17635184|17207965|16541252|16123152|16027164|15922475|15604201|15489334|14701722|14660639|12663868|12477932|11031103|8132774
https://pharos.nih.gov/idg/targets/Q495M3,Q495M3,SLC36A2,"Proton-coupled amino acid transporter 2","Involved in a pH-dependent electrogenic neuronal transport and sequestration of small amino acids. Transports glycine and proline. Inhibited by sarcosine (By similarity).",Tchem,,"amino acid transporter",-1.7850669189003832,Transporter,,88,13,22.45,61.54,20.54,25080478|23506890|23376485|19845895|19240061|19056867|19033659|18195088|15489334|15058382|14702039|14600155|12809675|12477932|11959859
https://pharos.nih.gov/idg/targets/Q13733,Q13733,ATP1A4,"Sodium/potassium-transporting ATPase subunit alpha-4","This is the catalytic component of the active enzyme, which catalyzes the hydrolysis of ATP coupled with the exchange of sodium and potassium ions across the plasma membrane. This action creates the electrochemical gradient of sodium and potassium ions, providing the energy for active transport of various nutrients. Plays a role in sperm motility.",Tclin,,"ion channel",-1.7356644170938944,Transporter,,5,20,31.00,51.27,5.02,25640246|16894555|16710414|16344560|16175638|15489334|15071553|14702039|12763850|12477932|12119109|12112599|10764792|10227850|7809153|3036582|3035563|2887455|2158121|1981991
https://pharos.nih.gov/idg/targets/Q13621,Q13621,SLC12A1,"Solute carrier family 12 member 1","Electrically silent transporter system. Mediates sodium and chloride reabsorption. Plays a vital role in the regulation of ionic balance and cell volume.",Tclin,,,-2.371247436731154,Transporter,,178,55,34.29,226.30,293.89,28095294|27748541|25741940|25422309|25165391|24970686|24251329|23934736|23533145|23376485|23325410|22989884|22388656|22211456|21867980|21631963|21613606|21321328|21209010|21082674|20819979|20628086|20424473|20219833|20196086|20146722|19913121|19513753|19096086|19058262|19056867|18830715|18495801|18391953|17998760|17460608|16832045|16807401|16572171|16344560|15326289|15167446|14967834|14528028|12761241|12477932|12471046|11564973|11509477|9672238|9655365|9585600|9355073|8640224|8589530|7929272
https://pharos.nih.gov/idg/targets/Q99884,Q99884,SLC6A7,"Sodium-dependent proline transporter","Terminates the action of proline by its high affinity sodium-dependent reuptake into presynaptic terminals.",Tchem,,"cation transporter",-2.102603860844554,Transporter,,45,10,28.21,134.11,675.14,20431603|20424473|20379614|19874574|15489334|15372022|14702039|12477932|8889548|7797577|7651355
https://pharos.nih.gov/idg/targets/Q96NT5,Q96NT5,SLC46A1,"Proton-coupled folate transporter","Has been shown to act both as an intestinal proton-coupled high-affinity folate transporter and as an intestinal heme transporter which mediates heme uptake from the gut lumen into duodenal epithelial cells. The iron is then released from heme and may be transported into the bloodstream. Dietary heme iron is an important nutritional source of iron. Shows a higher affinity for folate than heme.",Tchem,,,-2.2318208508460615,Transporter,,76,65,34.85,177.13,144.72,28802835|27251438|26884338|26789141|26193446|25877470|25801697|25697897|25608532|25124723|25080503|25053408|24597986|24396145|23656756|23609145|23601781|23552283|23313509|23186163|22954694|22843796|22814378|22785121|22496243|22345511|22179615|21602279|21489556|21338559|21333572|21256110|20805364|20795774|20724482|20686069|20628086|20225891|20068231|20036773|20005757|19913121|19762432|19643086|19581412|19508863|19403800|19389703|19371039|19176287|19159218|19074442|18842806|18817749|18718264|18691976|18669648|18650265|18559978|18003745|17974005|17947394|17475902|17446347|17335806|17156779|17129779|16344560|16143108|15489334|14702039|12477932
https://pharos.nih.gov/idg/targets/Q9UHI7,Q9UHI7,SLC23A1,"Solute carrier family 23 member 1","Sodium/ascorbate cotransporter. Mediates electrogenic uptake of vitamin C, with a stoichiometry of 2 Na(+) for each ascorbate.",Tchem,,transporter,-1.82531349201872,Transporter,,71,62,29.24,64.01,61.99,27932501|25933589|25527764|25416956|24815519|24708273|24284447|23837633|23613229|23599041|23014846|22990596|22348976|21733302|20588054|20519558|20471816|20453000|19741195|19692168|19625176|19527514|19379732|19243932|19216494|19170196|19056867|19019335|18845575|18818748|18791929|18676680|18636124|18619416|18417304|18247577|18094143|17664139|17575980|17474147|17258485|17008880|16357110|16344560|15993839|15489334|15372022|15084584|14702039|12477932|12388072|12381735|11984580|11895172|11584081|11396616|10631088|10556521|10556483|10471399|10395795|10331392|9804989
https://pharos.nih.gov/idg/targets/Q86VL8,Q86VL8,SLC47A2,"Multidrug and toxin extrusion protein 2","Solute transporter for tetraethylammonium (TEA), 1-methyl-4-phenylpyridinium (MPP), cimetidine, N-methylnicotinamide, metformin, creatinine, guanidine, procainamide, topotecan, estrone sulfate, acyclovir, and ganciclovir. Responsible for the secretion of cationic drugs across the brush border membranes.",Tchem,,transporter,-1.7130661586029317,Transporter,,133,22,20.03,47.13,32.67,28131833|27959931|27271370|27178732|24985703|23630107|23267855|22558177|20379614|20067714|20047987|20016398|19158817|17974005|17509534|16996621|16807400|16344560|16330770|15489334|14702039|12477932|11181995|8889548
https://pharos.nih.gov/idg/targets/P41440,P41440,SLC19A1,"Folate transporter 1","Transporter for the intake of folate. Uptake of folate in human placental choriocarcinoma cells occurs by a novel mechanism called potocytosis which functionally couples three components, namely the folate receptor, the folate transporter, and a V-type H(+)-pump.",Tchem,,transporter,-2.0036297592571795,Transporter,,67,166,41.92,97.75,217.80,27936032|27783031|27213354|26959650|26193446|25860940|25659099|25124723|25078587|25074866|24995314|24927955|24917213|24782176|24749799|24554143|24396145|24367687|24350725|24237708|24100087|23986219|23838799|23669721|23656756|23385809|23186163|23148635|23144806|22975209|22890010|22814378|22475273|22344739|21811990|21760912|21507721|21274745|20890936|20852008|20824655|20737570|20718043|20683905|20651609|20647221|20628086|20557288|20544798|20494980|20468076|20458436|20424473|20371868|20335220|20310006|20235210|20233025|20068231|20056620|20037791|20036773|20018840|19913121|19841321|19729796|19706844|19692168|19651439|19650776|19625176|19571232|19413330|19340000|19336437|19336370|19324355|19274320|19172696|19170196|19161160|19105199|19048631|19020309|19019821|18988749|18830263|18797703|18776693|18676680|18669648|18650265|18635682|18629538|18528741|18499665|18427977|18414976|18322994|18182479|18053808|18028428|17983788|17891500|17436311|17404734|17334909|17325736|17323057|17311260|17311259|17306382|17264302|17113562|17035141|16962770|16923800|16917939|16875718|16750224|16471213|16365025|16225938|16122883|16115875|15964598|15937947|15922487|15797993|15652157|15564880|15489334|15469899|15457444|15337749|15297414|15214842|15068242|14702039|14609557|14602046|14584080|14551190|12855225|12753319|12749765|12707400|12673279|12576457|12519783|12477932|12454742|12411325|12228234|12227830|12175915|12144527|12139489|12087110|11857541|10830953|10787414|10347183|9804996|9602167|9570943|9041240|8276792|7852378|7826387|7763259|7641195|7615551
https://pharos.nih.gov/idg/targets/P53985,P53985,SLC16A1,"Monocarboxylate transporter 1","Proton-coupled monocarboxylate transporter. Catalyzes the rapid transport across the plasma membrane of many monocarboxylates such as lactate, pyruvate, branched-chain oxo acids derived from leucine, valine and isoleucine, and the ketone bodies acetoacetate, beta-hydroxybutyrate and acetate. Depending on the tissue and on cicumstances, mediates the import or export of lactic acid and ketone bodies. Required for normal nutrient assimilation, increase of white adipose tissue and body weight gain when on a high-fat diet. Plays a role in cellular responses to a high-fat diet by modulating the cellular levels of lactate and pyruvate, small molecules that contribute to the regulation of central metabolic pathways and insulin secretion, with concomitant effects on plasma insulin levels and blood glucose homeostasis.",Tchem,,transporter,-2.460593912592388,Transporter,,236,134,53.08,294.18,285.18,29248133|29248132|28923861|28827372|28762551|28559188|28260082|28235486|28099149|27957817|27813046|27634412|27373212|27240355|27144334|27127175|27105345|27026015|26944480|26876179|26854723|26779534|26765963|26615136|26595136|26563366|26539827|26340466|26045776|26024713|25957999|25944712|25755717|25656974|25578492|25492048|25456395|25447800|25390740|25371203|25263481|25241983|25225794|25068893|24858043|24797797|24708341|24486553|24485392|24390345|24338019|24277449|24275569|24166504|24013424|24012639|23816619|23628675|23574725|23187830|23186163|23073708|22516692|22428047|22281667|22184616|22162139|21987487|21930917|21870331|21787388|21646425|21406692|21306479|21269460|21081165|20877624|20636790|20628086|20501436|20458337|20454640|20068231|20035863|19946888|19913121|19905008|19898482|19881260|19876643|19850519|19427019|19413330|19369195|19033663|19033536|18832090|18691976|18669648|18539591|18188595|18079261|18029348|17974005|17701893|17353931|17182800|17127621|17082373|17081983|17016429|16710414|16441976|16408234|16403470|16370372|16150873|16136905|15917240|15901598|15804185|15765403|15505343|15489334|15342556|15135232|14724187|14702039|12949353|12759536|12739169|12657613|12479094|12477932|11953883|11944921|11882670|11820324|10921872|10590411|10562613|10471310|9824713|8889548|8124722|7835905|7273846|1429658
https://pharos.nih.gov/idg/targets/Q9BYT1,Q9BYT1,SLC17A9,"Solute carrier family 17 member 9","Involved in vesicular storage and exocytosis of ATP. May accumulate ATP and other nucleotides in secretory vesicles such as adrenal chromaffin granules and synaptic vesicles.",Tchem,,"cation transporter",-1.5627133021003343,Transporter,,11,14,27.66,40.37,19.36,25180256|24962569|24912190|24292772|23467297|21613220|20382737|18375752|16344560|15489334|14702039|12693554|12477932|11780052
