"URL","Uniprot ID","DOID","Name","Description","ZScore","Confidence","Source"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:1094,"Attention Deficit Disorder with Hyperactivity",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D518,"Cocaine-Related Disorders",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D5321,"Diabetic Neuropathies",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D5322,"Epilepsy, Temporal Lobe",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D1080,Neuralgia,,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D460,"Status Epilepticus",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D524,"Substance-Related Disorders",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D190,Schizophrenia,,5.583,2.8,DisGeNET
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D478,"Major Depressive Disorder",,3.555,1.8,DisGeNET
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D224,"Bipolar Disorder",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D473,"Unipolar Depression",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:2129,"atypical teratoid / rhabdoid tumor",,0.0,4.61039242273853E-6,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3068,glioblastoma,,0.0,7.95647775045111E-6,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3070,"adult high grade glioma",,0.0,5.87841814078215E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:0050902,"group 3 medulloblastoma",,0.0,2.8753115273018E-4,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:5074,ependymoma,,0.0,0.00104944425701592,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3069,"astrocytic glioma",,0.0,0.002975741861109,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3857,"medulloblastoma, large-cell",,0.0,0.00772700749700685,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3181,oligodendroglioma,,0.0,0.0161798942048447,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:1785,"pituitary cancer",,0.0,0.0256724155204612,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:8893,psoriasis,,0.0,0.0342927549544113,"Expression Atlas"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:305,Carcinoma,,0.0,1.3,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:263,"Kidney cancer",,0.0,0.7,"JensenLab Experiment COSMIC"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:635,"Acquired immunodeficiency syndrome",,0.0,2.2,"JensenLab Experiment DistiLD"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:1094,"Attention deficit hyperactivity disorder",,0.0,1.7,"JensenLab Experiment DistiLD"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:303,"substance-related disorder",,0.0,1.0,"JensenLab Experiment DistiLD"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:14261,"Fragile X syndrome",,6.08,3.0,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D717,"Autistic Disorder",,5.051,2.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:14330,"Parkinson's disease",,5.051,2.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:1059,"Intellectual disability",,4.573,2.3,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D316,Epilepsy,,4.215,2.1,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D1734,"Hypotrichosis 1",,3.885,1.9,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:3602,"Toxic encephalopathy",,3.783,1.9,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,IDG:D719,"Gastroesophageal reflux disease",,3.667,1.8,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:10652,"Alzheimer's disease",,3.489,1.7,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:0050741,"Alcohol dependence",,3.274,1.6,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:332,"Amyotrophic lateral sclerosis",,3.159,1.6,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:10933,"obsessive-compulsive disorder",,3.095,1.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:12858,"Huntington's disease",,3.092,1.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:0060145,"Pain agnosia",,3.039,1.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/P41594,P41594,DOID:302,"Substance abuse",,3.021,1.5,"JensenLab Text Mining"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D190,Schizophrenia,,6.065,3.0,CTD
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D5322,"Epilepsy, Temporal Lobe",,0.0,0.0,CTD
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:1909,Melanoma,,0.0,0.9,CTD
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D224,"Bipolar Disorder",,3.891,1.9,DisGeNET
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D711,"Alcoholic Intoxication, Chronic",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D519,"Mood Disorders",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q14832,Q14832,IDG:D5875,"addicted to cocaine",,0.0,0.0,DisGeNET
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:4851,"Astrocytoma, Pilocytic",,0.0,1.24602491009021E-13,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3905,"lung carcinoma",,0.0,1.48573364087648E-12,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:8893,psoriasis,,0.0,9.25101119787539E-11,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3068,glioblastoma,,0.0,1.16000413161529E-9,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3857,"medulloblastoma, large-cell",,0.0,4.28267679728584E-8,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:2394,"ovarian cancer",,0.0,7.33553272642607E-8,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3070,"adult high grade glioma",,0.0,9.88705936497332E-8,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:0050902,"group 3 medulloblastoma",,0.0,4.93302696135636E-7,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3347,osteosarcoma,,0.0,4.27972339844986E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:2129,"atypical teratoid / rhabdoid tumor",,0.0,4.50654839674529E-5,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:5074,ependymoma,,0.0,0.00400231001540206,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3069,"astrocytic glioma",,0.0,0.00630855148984806,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:171,"primitive neuroectodermal tumor",,0.0,0.00806122852328198,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:5077,"subependymal giant cell astrocytoma",,0.0,0.0082701648274316,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:3181,oligodendroglioma,,0.0,0.0284681192583534,"Expression Atlas"
https://pharos.nih.gov/idg/targets/Q14832,Q14832,DOID:1612,"Breast cancer",,0.0,0.7,"JensenLab Experiment COSMIC"
