"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/P55263,P55263,28789481,"The results of this study showed that over-expression of the major adenosine removing enzyme ADK in reactive astrocytes and subpopulation of remaining neurons in Rasmussen Encephalitis patients plays an important role in the epileptogensis of Rasmussen Encephalitis."
https://pharos.nih.gov/idg/targets/P55263,P55263,26329539,"ADA and ADK are involved in glioma progression; increased ADA and ADK levels in peritumoral tissues may be associated with epilepsy in glioma patients."
https://pharos.nih.gov/idg/targets/P55263,P55263,26040919,"rs11001109 rare allele homozygosity is associated with increased risk of post-traumatic epilepsy development after brain injury."
https://pharos.nih.gov/idg/targets/P55263,P55263,25575137,"The results of this study suggest that upregulation of ADK is a common pathologic component of FCDIIB."
https://pharos.nih.gov/idg/targets/P55263,P55263,24128682,"These results suggest that upregulation of ADK is a common pathologic hallmark of Rasmussen encephalitis and that ADK might be a target in the treatment of epilepsy associated with Rasmussen encephalitis."
https://pharos.nih.gov/idg/targets/P55263,P55263,22092111,"Data show that we a significantly higher expression of ADK in the peritumoral infiltrated tissue of patients with epilepsy than in patients without epilepsy."
https://pharos.nih.gov/idg/targets/P55263,P55263,21635241,"The results of this study suggested that dysregulation of ADK in astrocytes is a common pathologic hallmark of temporal lobe epilepsy."
https://pharos.nih.gov/idg/targets/P55263,P55263,20881134,"The cytoplasmic isoform of adenosine kinase is sufficient to alter sleep physiology. ADK might orchestrate neurotransmitter pathways involved in the generation of electroencephlogram oscillations and regulation of sleep."
https://pharos.nih.gov/idg/targets/P55263,P55263,20698827,"The catalytic properties, gene expression and protein levels of certain proteins involved in mitochondrial ATP synthesis, such as F1F0-ATPase, ANT and AK, in human skin fibroblasts with trisomic karyotype, compared them with euploid fibroblasts."
https://pharos.nih.gov/idg/targets/P55263,P55263,20392501,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/P55263,P55263,19913121,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/P55263,P55263,19635462,"This study reports for the first time subcellular localization of the enzyme AdK in mammalian cells."
https://pharos.nih.gov/idg/targets/P55263,P55263,18600545,"both deoxycytidine kinase and adenosine kinase are involved in this model of ADA deficiency"
https://pharos.nih.gov/idg/targets/P55263,P55263,18600536,"adenosine kinase gene expression was significantly higher in cancer than in normal-appearing tissue, in line with our previous measurements of adenosine kinase enzyme activities in colorectal tumor samples"
https://pharos.nih.gov/idg/targets/P55263,P55263,18309031,"role for HIF-1alpha in transcriptional repression of AK in hypoxia"
https://pharos.nih.gov/idg/targets/P55263,P55263,16385451,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/P55263,P55263,12820662,"Equilibrative nucleoside transporters (hENT1, hENT2) together with adenosine kinase and 5'-nucleotidase play a crucial role in the regulation of CFTR through an adenosine-dependent pathway in human airway epithelia."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,27989622,"esults show that Aichi virus 3A protein activates the lipid kinase activity of PI4KIIIb,which activation is sensitized by the protein ACBD3. The interfaces between PI4KIIIbeta-ACBD3 and ACBD3-3A were mapped with hydrogen-deuterium exchange mass spectrometry."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,27093462,"The results showed that, in contrast to the enteroviruses and the cardioviruses, foot-and-mouth disease virus replication does not require PI4KIII (PI4KIIIalpha and PI4KIIIbeta), and phosphatidylinositol 4-phosphate levels do not increase in foot-and-mouth disease virus-infected cells and phosphatidylinositol 4-phosphate is not seen at replication organelles."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,27009356,"Data show that ACBD3 can recruit PI4KB to model membranes as well as redirect PI4KB to cellular membranes where it is not naturally found. Also, results show that ACBD3 regulates the enzymatic activity of PI4KB kinase through membrane recruitment rather than allostery."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,26756197,"Analysis reveals novel aspects of the PI4KIIIb-Rab11 complex and determines binding and catalytic sites of the kinase."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,25410869,"Although human rhinovirus 3A protein was previously shown to interact with ACBD3, these data suggest that PI4KIIIbeta recruitment occurred independently of both GBF1 and ACBD3."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,24962317,"PI4KIIIbeta likely plays a role in breast oncogenesis and that cooperation between Rab11a and PI4KIIIbeta represents a novel Akt activation pathway."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,24876499,"these data provide a mechanism for how PI4KIIIbeta coordinates Rab11 and its effectors on PI4P-enriched membranes and also provide strategies for the design of specific inhibitors that could potentially target plasmodial PI4KIIIbeta to combat malaria."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,24792752,"Authors found that NS5A and PI4KB competed for association of acyl-coenzyme A binding domain containing protein 3 (ACBD3), which inhibited hepatitis C virus replication."
https://pharos.nih.gov/idg/targets/Q9UBF8,Q9UBF8,24672044,"Host ACBD3, PI4KIIIBETA and Aichi virus proteins complexes enhances phosphatidylinositol 4-phosphate synthesis and is critical for viral replication."
