"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"postsynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"cell junction",GO Component
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"chloride channel complex",GO Component
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"chloride channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"extracellular ligand-gated ion channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"GABA-A receptor activity",GO Function
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"response to drug",GO Process
https://pharos.nih.gov/idg/targets/Q99928,Q99928,"gamma-aminobutyric acid signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"postsynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"cell junction",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"cytoplasmic vesicle membrane",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"chloride channel complex",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"GABA-A receptor complex",GO Component
https://pharos.nih.gov/idg/targets/P28472,P28472,"identical protein binding",GO Function
https://pharos.nih.gov/idg/targets/P28472,P28472,"GABA-A receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P28472,P28472,"GABA-gated chloride ion channel activity",GO Function
https://pharos.nih.gov/idg/targets/P28472,P28472,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"palate development",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,transport,GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"sensory perception of sound",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"chloride transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"inner ear receptor cell development",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"cochlea development",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"negative regulation of neuron apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"gamma-aminobutyric acid signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,innervation,GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"cellular response to histamine",GO Process
https://pharos.nih.gov/idg/targets/P28472,P28472,"inhibitory postsynaptic potential",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"postsynaptic membrane",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"cell junction",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"external side of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"acetylcholine-gated channel complex",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"plasma membrane raft",GO Component
https://pharos.nih.gov/idg/targets/P17787,P17787,"protein heterodimerization activity",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"drug binding",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"acetylcholine binding",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"acetylcholine receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"acetylcholine-gated cation-selective channel activity",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"ligand-gated ion channel activity",GO Function
https://pharos.nih.gov/idg/targets/P17787,P17787,"B cell activation",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"calcium ion transport",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"signal transduction",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"positive regulation of B cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"synaptic transmission, cholinergic",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"sensory perception of pain",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"nervous system process",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"sensory perception of sound",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"visual perception",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"response to hypoxia",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,cognition,GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"ion transport",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"action potential",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"locomotory behavior",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"membrane depolarization",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"visual learning",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"social behavior",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,learning,GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,memory,GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"response to cocaine",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"protein heterooligomerization",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"response to ethanol",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"regulation of dendrite morphogenesis",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"behavioral response to nicotine",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"response to nicotine",GO Process
https://pharos.nih.gov/idg/targets/P17787,P17787,"smooth muscle contraction",GO Process
