"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,27840953,"Increased expression levels of MAPT and GRIN3A may lead to the abnormal pathologic condition of nerve tissue in macrodactyly and, to a certain extent, may have potential applications in nerve regeneration."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,27558536,"discuss current evidence for emerging roles for GluN3NMDARs in the physiology and pathology of the CNS."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,27542340,"Results suggest that GRIN3A rs17189632 and GRIN3B rs2240158 may contribute to the susceptibility of heroin addiction."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,26265699,"Single nucleotide polymorphism in GRIN3A is associated with osteonecrosis in children with acute lymphoblastic leukemia."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,25450229,"The rare variants in GRIN3A were significantly associated with smoking status."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,25041634,"the genetic variations of NR3A subunit of NMDA receptor may be a predisposing factor to delirium among the Polish population of cardiac surgery patients"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,25017909,"Isolated GluN1/GluN3A receptors integrated into lipid bilayers responded to addition of either glycine or d-serine, but not glutamate, with a approximately 1 nm reduction in height of the extracellular domain"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,24739951,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,24386575,"This review highlights GluN3A properties and addresses its role in neurophysiology and associated pathologies--{REVIEW}"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,24332987,"It modulates episodic memory."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,24278430,"Our results suggest that a polymorphism of the GRIN3A gene may play a role in KD pathogenesis."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,24086760,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,23852340,"These findings reveal an early pathogenic role of GluN3A dysregulation in Huntington's disease."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,23237318,"the GRIN3A R480G variant showed the strongest association with schizophrenia."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,22940423,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,22914463,"Vasoactive intestinal polypeptipe and GRIN3A SNPs may be associated with cerebral palsy at age 2 in children born preterm."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,22801082,"reductions of toxic calpain activation might be linked to inhibition by GluN3A of pathological extrasynaptic NMDAR activity."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,22552781,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,22114277,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,21948112,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,21491143,"HIV-1 Tat upregulates the expression of NMDARs for the apoptosis of retinal pigmen epithelium (RPE) cells. Silencing of NMDARs by siRNA abolishes Tat-induced RPE apoptosis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,21429969,"NR3a, by maintaining low intracellular calcium levels, protects the function of the principal cells to reabsorb water and thereby increase medullary osmolality"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,21152063,"Data show that that all seven currently known NMDAR subunits (NR1, NR2A, NR2B, NR2C, NR2D, NR3A and NR3B) are expressed in astrocytes, but at different levels."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,21135540,"In a human embryonic brain cDNA library mTOR-activating GTPase Rheb is screened as an interacting protein of the NMDAR subunit NR3A."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20628086,"Observational study of gene-disease association, gene-environment interaction, and pharmacogenomic / toxicogenomic. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20084518,"Results indicate that GRIN3A is significantly associated with nicotine dependence."
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20084518,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20016182,"These observations suggest that the genetic variation of the NR3A subunit of the NMDA receptor may be a risk factor for Alzheimer's dis pathogenesis"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,20016182,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8TCU5,Q8TCU5,19913121,"Observational study of gene-disease association. (HuGE Navigator)"
