"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"clathrin complex",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"voltage-gated sodium channel complex",GO Component
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"ion channel binding",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"voltage-gated sodium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"odontogenesis of dentin-containing tooth",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"AV node cell action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"bundle of His cell action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"membrane depolarization during action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"neuronal action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"regulation of atrial cardiac muscle cell membrane depolarization",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"regulation of cardiac muscle contraction",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"regulation of heart rate",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"regulation of ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"sensory perception",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"sensory perception of pain",GO Process
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"sodium ion transmembrane transport",GO Process
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"voltage-gated sodium channel complex",GO Component
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"voltage-gated sodium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"membrane depolarization during action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"neuronal action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9NY46,Q9NY46,"sodium ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"voltage-gated sodium channel complex",GO Component
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,C-fiber,GO Component
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"voltage-gated sodium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"response to drug",GO Process
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"membrane depolarization during action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"neuronal action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"sodium ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q9UI33,Q9UI33,"regulation of sensory perception of pain",GO Process
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"cytoplasmic vesicle",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"voltage-gated sodium channel complex",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"Z disc",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"node of Ranvier",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"axon initial segment",GO Component
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"voltage-gated sodium channel activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"nervous system development",GO Process
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"membrane depolarization during action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"neuronal action potential",GO Process
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,"sodium ion transport",GO Process
https://pharos.nih.gov/idg/targets/Q9UQD0,Q9UQD0,myelination,GO Process
