"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P16591,P16591,FER,"Tyrosine-protein kinase Fer","Tyrosine-protein kinase that acts downstream of cell surface receptors for growth factors and plays a role in the regulation of the actin cytoskeleton, microtubule assembly, lamellipodia formation, cell adhesion, cell migration and chemotaxis. Acts downstream of EGFR, KIT, PDGFRA and PDGFRB. Acts downstream of EGFR to promote activation of NF-kappa-B and cell proliferation. May play a role in the regulation of the mitotic cell cycle. Plays a role in the insulin receptor signaling pathway and in activation of phosphatidylinositol 3-kinase. Acts downstream of the activated FCER1 receptor and plays a role in FCER1 (high affinity immunoglobulin epsilon receptor)-mediated signaling in mast cells. Plays a role in the regulation of mast cell degranulation. Plays a role in leukocyte recruitment and diapedesis in response to bacterial lipopolysaccharide (LPS). Plays a role in synapse organization, trafficking of synaptic vesicles, the generation of excitatory postsynaptic currents and neuron-neuron synaptic transmission. Plays a role in neuronal cell death after brain damage. Phosphorylates CTTN, CTNND1, PTK2/FAK1, GAB1, PECAM1 and PTPN11. May phosphorylate JUP and PTPN1. Can phosphorylate STAT3, but the biological relevance of this depends on cell type and stimulus.",Tchem,"FER family",,-1.863074063289008,Kinase,46693,414,70,50.15,55.45,40.75,29208465|28245430|25867068|25540073|25533491|25391905|25381564|25347743|25237066|25184253|25036637|24939585|23931849|23906537|23873028|23699534|23589302|23573306|23445469|23186163|22434045|22238358|22223638|22201778|21700879|21518868|21122136|20881960|20628086|20111072|19913121|19835603|19738202|19379847|19369195|19339212|19159681|19147545|18985748|18691976|18029348|17344846|17192257|16732323|16418535|15372022|15324660|15226396|14702039|14517306|12972546|12871378|12738762|12640114|12477932|12118379|11994747|11006284|10998246|10921917|10878010|10411641|9748248|9742951|9742093|9722593|8247543|7623846|3472906|3350007|2725517|2685575|2209086|2156206|1990274|1663488|1651563
https://pharos.nih.gov/idg/targets/P17948,P17948,FLT1,"Vascular endothelial growth factor receptor 1","Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFB and PGF, and plays an essential role in the development of embryonic vasculature, the regulation of angiogenesis, cell survival, cell migration, macrophage function, chemotaxis, and cancer cell invasion. May play an essential role as a negative regulator of embryonic angiogenesis by inhibiting excessive proliferation of endothelial cells. Can promote endothelial cell proliferation, survival and angiogenesis in adulthood. Its function in promoting cell proliferation seems to be cell-type specific. Promotes PGF-mediated proliferation of endothelial cells, proliferation of some types of cancer cells, but does not promote proliferation of normal fibroblasts (in vitro). Has very high affinity for VEGFA and relatively low protein kinase activity; may function as a negative regulator of VEGFA signaling by limiting the amount of free VEGFA and preventing its binding to KDR. Likewise, isoforms lacking a transmembrane domain, such as isoform 2, isoform 3 and isoform 4, may function as decoy receptors for VEGFA. Modulates KDR signaling by forming heterodimers with KDR. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate and the activation of protein kinase C. Mediates phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, leading to activation of phosphatidylinositol kinase and the downstream signaling pathway. Mediates activation of MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. Phosphorylates SRC and YES1, and may also phosphorylate CBL. Isoform 1 phosphorylates PLCG. Promotes phosphorylation of AKT1 at 'Ser-473'. Promotes phosphorylation of PTK2/FAK1. Isoform 7 has a truncated kinase domain; it increases phosphorylation of SRC at 'Tyr-418' by unknown means and promotes tumor cell invasion.",Tclin,"VEGFR family",,-3.3891269996199482,Kinase,185267,953,606,58.07,2189.42,1335.07,29149180|28991928|28817576|28718364|28652462|28628106|28468595|28368336|28358369|28323906|28246215|28145862|28121958|28111021|28029641|27983995|27859593|27834501|27833959|27793555|27736948|27668980|27664209|27629739|27599390|27590851|27503620|27464822|27431361|27424135|27417418|27357606|27315098|27287686|27178307|27169826|27167339|27151212|27140908|27103202|27067718|27049304|26988336|26914796|26910493|26819475|26791355|26783205|26728997|26699385|26666815|26642248|26627848|26623725|26551737|26526582|26450920|26434493|26416849|26394830|26352069|26261265|26238275|26228018|26204137|26203176|26191229|26159901|26134224|26124351|26116870|26083681|26082458|26058077|26041938|26014353|26007312|25979720|25979342|25970161|25965397|25948043|25895461|25894226|25880726|25862844|25797229|25756047|25647613|25604142|25544745|25491486|25434840|25388629|25387128|25340839|25329693|25329517|25257525|25256553|25202119|25141961|25128974|25053574|25007257|24908415|24903995|24903330|24891316|24885632|24880209|24812550|24763231|24724970|24719187|24714697|24713547|24708917|24675699|24664213|24636199|24595913|24583918|24535301|24485669|24484391|24482236|24440566|24423299|24419917|24400721|24398900|24380505|24354578|24341227|24340742|24304210|24303885|24260556|24217170|24166749|24127643|24098721|24048373|24041258|24035323|23966056|23957293|23939615|23925400|23912175|23905610|23902770|23831629|23806447|23801279|23799978|23799140|23795287|23794399|23774235|23772669|23749886|23748230|23737988|23725155|23716179|23711375|23704979|23701307|23645757|23645683|23624620|23620752|23612628|23580180|23567329|23503608|23475388|23437230|23421954|23420665|23415672|23400753|23397142|23382219|23364394|23339636|23250775|23239021|23195033|23190621|23172303|23140147|23113927|23113309|23059888|23038639|23030842|22988942|22962618|22955733|22902831|22872542|22836649|22828632|22819145|22734007|22729710|22718299|22690749|22609636|22581286|22558992|22555639|22541785|22528855|22487430|22484977|22438952|22427682|22386962|22385323|22357551|22348624|22315135|22294840|22264588|22246525|22230112|22203933|22203927|22178822|22177802|22173504|22153185|22147121|22082645|22034638|22016416|22016384|22003089|22000672|21978169|21962138|21939291|21867402|21827221|21752276|21751212|21715541|21711246|21709213|21652578|21642504|21596751|21585639|21568945|21558755|21555675|21544626|21534854|21532145|21524919|21518965|21496870|21487788|21448460|21447646|21423176|21415391|21389833|21389678|21382012|21381877|21376261|21371321|21349629|21345006|21343372|21336717|21334711|21300889|21286681|21219538|21212411|21212275|21209384|21168388|21139021|21115742|21097568|21062661|21050477|20948996|20873967|20854187|20842453|20828367|20805333|20706192|20695190|20674013|20673868|20666936|20660291|20635108|20628086|20615131|20602615|20571438|20551949|20515481|20512933|20501651|20491879|20488538|20484670|20453000|20452482|20428821|20422012|20395257|20350647|20223440|20222950|20199197|20179233|20169144|20164029|20158393|20149032|20127948|20124108|20103604|20103598|20030917|20026801|20015944|20007583|19948974|19936766|19919522|19913121|19895348|19860625|19850021|19834490|19816604|19816083|19811263|19761875|19741061|19734545|19720604|19718025|19716155|19707156|19701853|19658040|19633424|19631980|19608702|19564559|19528353|19501525|19453261|19452502|19412349|19409555|19385972|19352513|19351908|19350449|19336504|19330612|19324337|19302266|19287991|19269632|19261502|19230644|19200976|19180491|19165674|19162007|19147226|19135290|19103251|19082506|19068081|19066962|19064815|19039203|19020728|19003637|18996083|18992679|18975312|18974372|18936439|18931684|18829111|18789115|18779584|18771978|18694994|18691902|18680722|18665074|18656381|18639520|18636124|18631405|18627789|18625704|18609713|18604718|18598002|18593464|18583712|18566591|18566400|18515749|18451223|18421240|18379030|18374411|18356031|18343373|18332870|18330824|18317954|18315732|18304425|18295763|18287964|18284215|18273061|18264952|18175242|18175241|18097592|18079407|18053608|18037256|18029348|18006819|17982238|17975225|17964871|17956955|17956952|17891484|17722983|17696935|17661207|17633783|17615362|17599955|17570036|17562275|17550303|17507435|17486129|17409768|17379761|17344846|17336974|17287067|17259514|17242190|17210583|17197602|17189520|17118734|17109193|17088944|17071533|17013089|17002866|16968555|16959214|16893970|16835828|16786116|16685275|16671089|16616080|16530326|16496302|16488907|16432214|16375118|16344560|16341007|16286478|16251410|16249383|16248895|16169405|16109918|16095053|16021077|16021053|16005848|15952180|15886253|15817662|15817508|15735759|15711751|15705187|15665766|15649874|15610528|15610240|15589171|15503825|15492987|15489334|15472115|15329326|15284201|15272021|15183893|15166498|15160911|15135240|15057823|15001553|14996703|14967383|14760936|14702039|14687619|14684734|14674128|14654077|14633857|14607815|14602804|14585871|14512169|12949011|12920240|12865438|12824880|12796773|12771128|12727995|12670505|12651930|12607599|12543719|12509223|12477932|12439912|12426207|12406876|12366396|12133473|12107410|12091880|12023386|11986954|11953105|11908876|11877075|11852061|11839635|11824379|11811792|11807987|11806246|11751905|11741094|11693202|11513746|11312102|11289156|11278319|11157498|11141500|11134362|11056124|10865839|10842181|10749680|10748050|10738243|10737800|10642585|10585578|10579917|10543948|10471394|10194760|9973224|9931493|9751730|9722576|9600074|9472937|9452434|9398617|9393862|9299537|9269752|9256359|8621427|8605350|8248162|8126087|8111406|7824266|7707437|7657594|3115921|3040650|2158038|1312256
https://pharos.nih.gov/idg/targets/P04629,P04629,NTRK1,"High affinity nerve growth factor receptor","Isoform TrkA-III: Resistant to NGF, it constitutively activates AKT1 and NF-kappa-B and is unable to activate the Ras-MAPK signaling cascade. Antagonizes the anti-proliferative NGF-NTRK1 signaling that promotes neuronal precursors differentiation. Isoform TrkA-III promotes angiogenesis and has oncogenic activity when overexpressed.",Tclin,"TRK family",,-3.058409069931382,Kinase,130834,1092,282,48.26,1050.91,875.59,29037860|28719467|28356268|28345382|28328124|28215291|28213521|28192073|28177573|28097808|27912827|27776007|27676246|27551041|27445338|27264679|27259011|27184211|26962689|26863915|26716414|26569118|26564979|26546295|26496938|26472021|26459250|26446845|26408608|26001971|25948268|25921289|25840418|25619719|25512530|25491371|25389033|25361003|24965840|24840578|24825909|24801982|24736663|24722188|24603864|24585880|24557415|24369899|24162815|23948750|23869086|23841091|23746174|23589303|23569426|23489213|23471969|23400852|23382219|23266087|22992069|22954667|22932111|22902478|22782892|22653642|22635104|22561027|22539856|22454143|22445970|22410777|22343487|22302274|22272270|22138126|22128158|21990266|21849536|21728718|21645891|21570973|21503896|21429417|21419569|21397006|21364532|21321391|21317683|21295543|21236475|21184737|21154590|21150695|21139137|21137076|21123453|21102451|20977883|20943663|20854189|20680486|20663926|20628086|20600627|20542022|20424473|20219210|20209132|20186105|20003389|19957796|19945432|19913121|19883730|19816090|19758420|19749791|19734938|19730683|19651702|19635108|19598235|19564412|19453261|19435634|19417027|19399531|19386345|19330021|19250380|19177265|19169037|19167335|19120874|19115484|19086053|19036963|18780967|18727839|18719857|18678285|18427551|18419753|18322713|18319596|18305571|18270328|18221326|18203754|18077166|18072090|18005706|17971243|17850422|17673289|17671718|17667845|17635673|17619016|17617666|17531524|17447019|17389358|17344846|17196528|17143529|16996570|16939974|16935282|16919030|16862449|16860569|16805430|16786155|16710414|16704535|16701206|16586073|16546643|16483615|16373086|16284401|16275928|16181609|16138253|16091303|15961390|15950763|15870692|15753086|15637590|15523689|15489334|15488758|15362372|15273715|15167895|15159601|15024033|14988025|14985763|14702039|14691455|14642435|12536040|12477932|12446789|12406349|12237455|12210794|12208732|12150951|12102460|11927634|11850535|11733534|11705863|11668614|11520933|11466412|11310631|11251075|11244088|11159935|11157096|11150334|11147812|11071380|10982191|10861667|10748052|10712923|10708759|10679771|10629055|10567924|10490030|10443680|10391209|10388563|10330344|10329710|10233776|10103137|10092678|10090906|9927421|9867838|9856458|9507002|9341772|9290260|9282923|9182757|9099755|9069267|8957089|8889548|8696348|8524391|8384556|8325889|8226808|8155326|7823156|7806500|7657647|7601468|7565764|7541035|7510697|7509449|2966065|2927393|2869410|1850821|1849459|1715690|1706478|1695324|1656363|1532241|1463607|1281417
https://pharos.nih.gov/idg/targets/P54762,P54762,EPHB1,"Ephrin type-B receptor 1","Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Cognate/functional ephrin ligands for this receptor include EFNB1, EFNB2 and EFNB3. During nervous system development, regulates retinal axon guidance redirecting ipsilaterally ventrotemporal retinal ganglion cells axons at the optic chiasm midline. This probably requires repulsive interaction with EFNB2. In the adult nervous system together with EFNB3, regulates chemotaxis, proliferation and polarity of the hippocampus neural progenitors. In addition to its role in axon guidance plays also an important redundant role with other ephrin-B receptors in development and maturation of dendritic spines and synapse formation. May also regulate angiogenesis. More generally, may play a role in targeted cell migration and adhesion. Upon activation by EFNB1 and probably other ephrin-B ligands activates the MAPK/ERK and the JNK signaling cascades to regulate cell migration and adhesion respectively. Involved in the maintenance of the pool of satellite cells (muscle stem cells) by promoting their self-renewal and reducing their activation and differentiation (By similarity).",Tchem,"EPH family",,-1.7001337341354477,Kinase,156871,389,62,41.54,51.97,36.69,28108514|27541794|27028544|25944917|25879388|25120806|24716914|24677421|24606480|24427352|24121831|23118026|22589738|21804545|21763378|21124932|21085126|21041834|20458337|20379614|19736353|18931529|18649358|18628988|18593464|18424888|18057206|18034775|17344846|16641997|16344560|15951569|15722342|15489334|15340161|15107421|14702039|14576067|12925710|12477932|12223469|12118063|12084815|11713248|11256076|11140838|11128993|10730216|10669731|10207129|10066262|9736245|9576626|9530499|9499402|9430661|9267020|9245480|8889548|8798570|8755474|8666391|8559144|8070404|7973638
https://pharos.nih.gov/idg/targets/P54760,P54760,EPHB4,"Ephrin type-B receptor 4","Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Together with its cognate ligand/functional ligand EFNB2 plays a central role in heart morphogenesis and angiogenesis through regulation of cell adhesion and cell migration. EPHB4-mediated forward signaling controls cellular repulsion and segregation form EFNB2-expressing cells. Plays also a role in postnatal blood vessel remodeling, morphogenesis and permeability and is thus important in the context of tumor angiogenesis.",Tchem,"EPH family",,-2.266222725127153,Kinase,57679,514,120,43.53,206.32,156.00,29096333|28817624|28739744|28687708|28292467|28165374|27827952|27553867|27400125|27226777|27072235|27072105|26481148|26414866|26220827|26191333|26132739|26073592|26033476|25886373|25724901|25581780|25446283|25391996|25274141|25191151|25148033|25051915|24771266|24764074|24733895|24677421|24634162|24517927|24427781|24275569|24121831|23844053|23725356|23721559|23579861|23533145|23376485|23314808|23295955|23211050|23186163|23138393|23100466|23079712|23063927|22990020|22684742|22684558|22528941|22374425|22024229|21935409|21575518|21269460|21047731|20686847|20133814|20061560|20031623|20002159|19664212|19597185|19552627|19413330|19369195|19366806|19356789|19272799|19035475|18957513|18691976|18669648|18593464|18340006|18231102|17611172|17510705|17353927|17344846|17234965|17196593|16982731|16867992|16840724|16615113|16472751|16424904|16343615|16322467|16205642|16171530|16107476|15951569|15930280|15722342|15489334|15358160|15193868|15126321|14764452|12734395|12690205|12493773|12477932|12235151|12051776|11920461|11466354|11256076|11239002|11136979|11128993|10730216|10518221|10207129|10037197|9718367|9576626|9530499|9267020|8831703|8188704|8152808
https://pharos.nih.gov/idg/targets/P54756,P54756,EPHA5,"Ephrin type-A receptor 5","Receptor tyrosine kinase which binds promiscuously GPI-anchored ephrin-A family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Among GPI-anchored ephrin-A ligands, EFNA5 most probably constitutes the cognate/functional ligand for EPHA5. Functions as an axon guidance molecule during development and may be involved in the development of the retinotectal, entorhino-hippocampal and hippocamposeptal pathways. Together with EFNA5 plays also a role in synaptic plasticity in adult brain through regulation of synaptogenesis. In addition to its function in the nervous system, the interaction of EPHA5 with EFNA5 mediates communication between pancreatic islet cells to regulate glucose-stimulated insulin secretion (By similarity).",Tchem,"EPH family",,-2.2829381019083135,Kinase,13013,407,39,39.39,191.70,30.54,28421649|27988259|27887627|27651378|25623065|25609195|24086308|24029132|23824631|22174851|22079638|20379614|19949912|19733895|19036963|17974005|17344846|16737551|16381901|15815621|15489336|12477932|11256076|11230166|11128993|11076863|10730216|10531456|10516308|10375373|10207129|10064801|9576626|9530499|9321687|9321686|9267020|9191074|8889548|8755474|7898931|7748564|7528718
https://pharos.nih.gov/idg/targets/P54753,P54753,EPHB3,"Ephrin type-B receptor 3","Receptor tyrosine kinase which binds promiscuously transmembrane ephrin-B family ligands residing on adjacent cells, leading to contact-dependent bidirectional signaling into neighboring cells. The signaling pathway downstream of the receptor is referred to as forward signaling while the signaling pathway downstream of the ephrin ligand is referred to as reverse signaling. Generally has an overlapping and redundant function with EPHB2. Like EPHB2, functions in axon guidance during development regulating for instance the neurons forming the corpus callosum and the anterior commissure, 2 major interhemispheric connections between the temporal lobes of the cerebral cortex. In addition to its role in axon guidance plays also an important redundant role with other ephrin-B receptors in development and maturation of dendritic spines and the formation of excitatory synapses. Controls other aspects of development through regulation of cell migration and positioning. This includes angiogenesis, palate development and thymic epithelium development for instance. Forward and reverse signaling through the EFNB2/EPHB3 complex also regulate migration and adhesion of cells that tubularize the urethra and septate the cloaca. Finally, plays an important role in intestinal epithelium differentiation segregating progenitor from differentiated cells in the crypt.",Tchem,"EPH family",,-1.689682530893695,Kinase,48280,409,34,41.07,47.71,39.13,28370854|28120491|27986811|26930615|25277775|24707046|22314363|22039307|21804545|21266352|21106840|20634891|20068231|19607727|19483190|18978678|17344846|15951569|15536074|15489334|12477932|11956217|11256076|11128993|10730216|10207129|9990854|9751130|9707552|9674711|9576626|9530499|9484836|9267020|8798744|8397371
https://pharos.nih.gov/idg/targets/Q13470,Q13470,TNK1,"Non-receptor tyrosine-protein kinase TNK1","Involved in negative regulation of cell growth. Has tumor suppressor properties. Plays a negative regulatory role in the Ras-MAPK pathway. May function in signaling pathways utilized broadly during fetal development and more selectively in adult tissues and in cells of the lymphohematopoietic system. Could specifically be involved in phospholipid signal transduction.",Tchem,"ACK family",,-0.7904689275817298,Kinase,2749,293,16,33.81,7.71,8.18,25852190|24449862|24275569|23186163|21536687|21406692|20574532|20534741|20413850|20090780|20068231|19369195|18974114|18830724|18691976|18669648|17471239|17344846|17081983|16344560|15778465|15489334|12477932|10873601|8632913|8125298
https://pharos.nih.gov/idg/targets/Q12866,Q12866,MERTK,"Tyrosine-protein kinase Mer","Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to several ligands including LGALS3, TUB, TULP1 or GAS6. Regulates many physiological processes including cell survival, migration, differentiation, and phagocytosis of apoptotic cells (efferocytosis). Ligand binding at the cell surface induces autophosphorylation of MERTK on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with GRB2 or PLCG2 and induces phosphorylation of MAPK1, MAPK2, FAK/PTK2 or RAC1. MERTK signaling plays a role in various processes such as macrophage clearance of apoptotic cells, platelet aggregation, cytoskeleton reorganization and engulfment. Functions in the retinal pigment epithelium (RPE) as a regulator of rod outer segments fragments phagocytosis. Plays also an important role in inhibition of Toll-like receptors (TLRs)-mediated innate immune response by activating STAT1, which selectively induces production of suppressors of cytokine signaling SOCS1 and SOCS3.",Tchem,"AXL family",,-2.272762204476896,Kinase,31823,609,109,46.46,199.07,118.52,28916522|28851810|28668213|28462455|28334911|28324114|28251492|28127639|28067670|27801848|27753136|27486820|27122965|27081701|27028863|26990204|26962228|26819373|26596542|26427488|26427450|26427420|26316303|26263531|25881761|25878564|25826078|25762638|25695599|25624460|25479139|25450174|25428221|25102945|25074939|25074926|24939420|24741600|23835724|23662598|23617806|23585477|23474756|23390493|23353780|23065156|22997156|22942426|22890323|22841784|22469987|22363695|22180149|21833088|21792939|21677792|21602930|21542987|21496228|21384080|21347448|20978472|20959443|20801516|20664904|20654219|20637106|20591486|20546121|20538656|20379614|20300561|20130272|20103767|19922767|19541935|19403518|19369195|19204785|18922854|18815424|18620092|18587056|18421305|18395422|18250462|18246816|18174230|18039660|17626743|17344846|17047157|17005688|16837475|16737840|16710167|16675557|16335952|16288044|15815621|15733062|15479819|15146197|15130911|15111602|12920122|12768229|12477932|11727200|11062461|10343112|9160883|8889548|8702477|8621659|8086340|7688222
https://pharos.nih.gov/idg/targets/P42679,P42679,MATK,"Megakaryocyte-associated tyrosine-protein kinase","Could play a significant role in the signal transduction of hematopoietic cells. May regulate tyrosine kinase activity of SRC-family members in brain by specifically phosphorylating their C-terminal regulatory tyrosine residue which acts as a negative regulatory site. It may play an inhibitory role in the control of T-cell proliferation.",Tbio,"CSK family",,-2.985962746149765,Kinase,43586,265,43,33.40,792.26,576.60,24947832|24728074|24510904|23251661|23186163|22939624|21799000|21697133|19690332|19413330|19369195|18691976|18669648|18292939|18029348|17974005|17934522|17492661|17344846|16707123|16574955|16344560|16273093|16189514|16168623|16129412|15890649|15748901|15489334|15329911|15302935|15057824|14702039|12782282|12477932|12429987|12122014|12063569|10329710|10080957|9255603|9171348|9038210|8999872|8288563|8134117|8125298|7936664|7536744|7530249|7516063|1722201
