"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/P30939,P30939,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P30939,P30939,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P30939,P30939,"G-protein coupled serotonin receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P30939,P30939,"neurotransmitter receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P30939,P30939,"serotonin binding",GO Function
https://pharos.nih.gov/idg/targets/P30939,P30939,"adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P30939,P30939,"chemical synaptic transmission",GO Process
https://pharos.nih.gov/idg/targets/P30939,P30939,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P30939,P30939,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,"neuron projection",GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,"cell junction",GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,synapse,GO Component
https://pharos.nih.gov/idg/targets/P41595,P41595,"G-protein coupled serotonin receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"neurotransmitter receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"serotonin binding",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"GTPase activator activity",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"drug binding",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"G-protein alpha-subunit binding",GO Function
https://pharos.nih.gov/idg/targets/P41595,P41595,"G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"negative regulation of apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"activation of phospholipase C activity",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"calcium-mediated signaling",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"response to drug",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"phospholipase C-activating G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of ERK1 and ERK2 cascade",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of MAP kinase activity",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of I-kappaB kinase-NF-kappaB signaling",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"neural crest cell migration",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"negative regulation of cell death",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"protein kinase C signaling",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"phosphatidylinositol 3-kinase signaling",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"cellular calcium ion homeostasis",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of cytokine secretion",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"cGMP biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"protein kinase C-activating G-protein coupled receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"ERK1 and ERK2 cascade",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,phosphorylation,GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of nitric-oxide synthase activity",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of endothelial cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"heart morphogenesis",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"embryonic morphogenesis",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"negative regulation of autophagy",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of cytokine production",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"cellular response to temperature stimulus",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"release of sequestered calcium ion into cytosol",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,behavior,GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"cardiac muscle hypertrophy",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"G-protein coupled receptor internalization",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"intestine smooth muscle contraction",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"neural crest cell differentiation",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of cell division",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"positive regulation of phosphatidylinositol biosynthetic process",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"regulation of behavior",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,"serotonin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P41595,P41595,vasoconstriction,GO Process
https://pharos.nih.gov/idg/targets/Q13639,Q13639,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q13639,Q13639,membrane,GO Component
https://pharos.nih.gov/idg/targets/Q13639,Q13639,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13639,Q13639,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q13639,Q13639,endosome,GO Component
https://pharos.nih.gov/idg/targets/Q13639,Q13639,"G-protein coupled serotonin receptor activity",GO Function
