"URL","Uniprot ID","Keyword","Link"
https://pharos.nih.gov/idg/targets/P43220,P43220,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/P43220,P43220,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/P43220,P43220,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/P43220,P43220,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/P43220,P43220,"Disulfide bond",http://www.uniprot.org/keywords/KW-1015
https://pharos.nih.gov/idg/targets/P43220,P43220,"G-protein coupled receptor",http://www.uniprot.org/keywords/KW-0297
https://pharos.nih.gov/idg/targets/P43220,P43220,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/P43220,P43220,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/P43220,P43220,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/P43220,P43220,Transducer,http://www.uniprot.org/keywords/KW-0807
https://pharos.nih.gov/idg/targets/P43220,P43220,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/P43220,P43220,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/P43220,P43220,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/P43220,P43220,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/P43220,P43220,ADP-ribosylation,http://www.uniprot.org/keywords/KW-0013
https://pharos.nih.gov/idg/targets/P47872,P47872,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/P47872,P47872,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/P47872,P47872,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/P47872,P47872,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/P47872,P47872,"G-protein coupled receptor",http://www.uniprot.org/keywords/KW-0297
https://pharos.nih.gov/idg/targets/P47872,P47872,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/P47872,P47872,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/P47872,P47872,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/P47872,P47872,Transducer,http://www.uniprot.org/keywords/KW-0807
https://pharos.nih.gov/idg/targets/P47872,P47872,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/P47872,P47872,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/P47872,P47872,Signal,http://www.uniprot.org/keywords/KW-0732
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Disease mutation",http://www.uniprot.org/keywords/KW-0225
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Disulfide bond",http://www.uniprot.org/keywords/KW-1015
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"G-protein coupled receptor",http://www.uniprot.org/keywords/KW-0297
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Glycoprotein,http://www.uniprot.org/keywords/KW-0325
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Receptor,http://www.uniprot.org/keywords/KW-0675
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Transducer,http://www.uniprot.org/keywords/KW-0807
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Transmembrane,http://www.uniprot.org/keywords/KW-0812
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Transmembrane helix",http://www.uniprot.org/keywords/KW-1133
https://pharos.nih.gov/idg/targets/Q02643,Q02643,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q02643,Q02643,Signal,http://www.uniprot.org/keywords/KW-0732
