"URL","Uniprot ID","GOTerm","GOType"
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,nucleoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"apical plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"extracellular exosome",GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"recycling endosome",GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,cytoskeleton,GO Component
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"protein kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"MAP kinase kinase kinase kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"regulation of apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"protein localization to plasma membrane",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"intracellular signal transduction",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"actin cytoskeleton reorganization",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"positive regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"regulation of mitotic cell cycle",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"Wnt signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"cytoskeleton organization",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"regulation of dendrite morphogenesis",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"microvillus assembly",GO Process
https://pharos.nih.gov/idg/targets/Q9UKE5,Q9UKE5,"activation of JNKK activity",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"negative regulation of apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein autophosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"cell cycle",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"regulation of mitotic cell cycle",GO Process
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"negative regulation of insulin secretion involved in cellular response to glucose stimulus",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,cytoplasm,GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"integral component of plasma membrane",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"cell surface",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"inhibin-betaglycan-ActRII complex",GO Component
https://pharos.nih.gov/idg/targets/P27037,P27037,"metal ion binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"growth factor binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"PDZ domain binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"activin binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"signal transducer, downstream of receptor, with serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"transmembrane receptor protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"protein self-association",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"BMP receptor activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"coreceptor activity",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"inhibin binding",GO Function
https://pharos.nih.gov/idg/targets/P27037,P27037,"determination of left-right symmetry",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"embryonic skeletal system development",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"mesoderm development",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of transcription from RNA polymerase II promoter",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,spermatogenesis,GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"activin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"anterior-posterior pattern specification",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"BMP signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"gastrulation with mouth forming second",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of activin receptor signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of bone mineralization",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of osteoblast differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"transmembrane receptor protein serine-threonine kinase signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"cellular response to BMP stimulus",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of pathway-restricted SMAD protein phosphorylation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"regulation of BMP signaling pathway",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"positive regulation of erythrocyte differentiation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"regulation of nitric-oxide synthase activity",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"penile erection",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"Sertoli cell proliferation",GO Process
https://pharos.nih.gov/idg/targets/P27037,P27037,"sperm ejaculation",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,nucleus,GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,cytosol,GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"integral component of membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"cytoplasmic vesicle",GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,dendrite,GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"cytoplasmic vesicle membrane",GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,cytoskeleton,GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,nucleolus,GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"receptor complex",GO Component
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"ATP binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"protein serine-threonine kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"MAP kinase kinase kinase activity",GO Function
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"mitogen-activated protein kinase kinase binding",GO Function
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"regulation of apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"cell migration",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"nervous system development",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"regulation of cell shape",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"apoptotic process",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"cellular response to DNA damage stimulus",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"response to stress",GO Process
https://pharos.nih.gov/idg/targets/Q9UL54,Q9UL54,"actin cytoskeleton organization",GO Process
