"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,26732474,"RSK4 is expressed at low levels in malignant ovarian tumors, which correlates with advanced stages of the disease."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,26397146,"downregulation of RSK4 expression is indicated to be associated with tumor cell proliferation and invasion, and silencing of the RSK4 may be involved in the development and progression of breast cancer"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,25197367,"Low RSK4 expression is correlated with advanced clinical pathologic classifications and is a poor overall survival in colorectal cancer patients"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,24338215,"RSK4 mRNA is significantly decreased in most of breast cancer tissues compared with paired non-cancerous tissues, due to promoter hypermethylation; frequent epigenetic inactivation might have a role in precancerous lesions or early cancer"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,23942078,"evaluated expression of RSK4 in renal cell carcinoma(RCC)tissues, analysed relationship between RSK4 expression and clinicopathological features of RCC patients and explored potential molecular mechanisms of RSK4 in RCC cell lines; expression pattern and molecular mechanisms of RSK4 in RCCs indicate it could be a potential independent prognostic factor"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,23635776,"Overexpression of RSK3 or RSK4 supports tumor cell proliferation upon PI3K inhibition both in vitro and in vivo therby contributing to drug resistance."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,22297070,"Suggest that RSK4 may serve as a mediator of endothelial progenitor cell senescence in diabetes mellitus."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,22020623,"findings reveals a major role of PRKX, TTBK2 and RSK4 in triggering Sunitinib resistance formation; data suggest transcriptional regulation of these kinases together with other proteins might play an important role in formation of Sunitinib resistance by affecting transcription factors"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,21875487,"The expression level of RSK-4 mRNA in breast cancer was significantly lower than those in normal breast tissues and breast benign lesions tissues. The down-regulation of RSK-4 expression in breast caner suggests that it is a breast cancer suppressor gene."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,21384559,"A total of six novel and 11 known single nucleotide polymorphisms were identified. Further studies are warranted to analyze the candidate genes at Xq11.1-q21.33."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,21372219,"Data indicate that RSK4 appears to be epigenetically silenced in endometrial cancer as evidenced by hypermethylation."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,21239520,"importance of RSK4 for regulating senescence and indicate that downregulation of this kinase could be an important element in facilitating cell transformation."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,19679225,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,19584160,"Results support the concept that RSK4 may be an important tumor suppressor gene by modulating senescence induction and contributing to cell proliferation control in colon carcinogenesis and renal cell carcinomas."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,18628456,"RSK4 expression may limit the oncogenic, invasive, and metastatic potential of breast cancer cells."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,17314274,"RT-PCR data show high expression of putative tumor suppressor genes Rsk4 and RbAp46 in 47% and 79% of breast carcinoma cases, respectively, whereas Cldn2 was down-regulated in 52% of breast cancer cases compared with normal adjacent tissues."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,16865262,"Downregulation of RPS6KA6 is associated with colon carcinoma."
https://pharos.nih.gov/idg/targets/Q9UK32,Q9UK32,15632195,"The unusual regulation and growth factor-independent activity of ribosomal S6 kinase 4 (RSK4) indicate that it is functionally distinct from other RSKs and may explain why RSK4 can participate in non-growth factor signaling."
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,22183412,"Defects in GRK1 or GRK7 cause patients to suffer from an inability to properly deactivate rhodopsin leading to problems with recovery and dark adaptation."
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,20628086,"Observational study of gene-disease association, gene-environment interaction, and pharmacogenomic / toxicogenomic. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,19913121,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,18266817,"synthesis of 29 of GRK1 or GRK7 partial peptides that cover the entire sequence of GRK1/GRK7, to see which interacts with recoverin."
https://pharos.nih.gov/idg/targets/Q8WTQ7,Q8WTQ7,15946941,"Phosphorylation of GRK1 and GRK7 by PKA occurs in the dark, when cAMP levels in photoreceptor cells are elevated."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28923399,"Dexamethasone up-regulates ROCK1/2 activity promoting migration, invasion and metastasis of melanoma cells."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28841710,"data suggests that ROCK1 may serve as a potential therapeutic target to enhance current treatment regimens for pancreatic cancer"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28743511,"RhoA/ROCK and Raf-1/CK2 pathway are responsible for TNF-alpha-mediated endothelial cytotoxicity via regulation of the vimentin cytoskeleton."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28701359,"These findings provide a new understanding of the effects of oxLDL on endothelial proliferation, which is essential for developing new treatments against neovascularization and progression of atherosclerosis."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28317242,"ROCK activation phosphorylated Rac1b at Ser71 and increased reactive oxygen species (ROS) levels by facilitating the interaction between Rac1b and cytochrome c. Conversely, ROCK inactivation abolished their interaction, concomitant with ROS reduction."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28225294,"These results indicate the differential role of ROCK isoforms in myofibroblast differentiation on soft and stiff matrices."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28184030,"Genetic variant in ROCK1 gene is associated with progression of prostate cancer."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28104444,"OB-Rb, RhoA/ROCK, PI3K/AKT, JAK/STAT pathways and NF-kB activation are involved in leptin-induced upA expression."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28081735,"miR-214-5p was identified as a new tumor suppressor, which directly targeted ROCK1 and suppressed proliferation of human OS cells."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28035042,"Despite sharing the catalytic domain with ROCK2, ROCK1 appears to be the dominant kinase essential for junctional integrity and contractile tension at epithelial ZA."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,28031255,"These findings reveal an ancillary role for increased ROCK signaling in pancreatic cancer progression to promote extracellular matrix remodeling that facilitates proliferation and invasive tumor growth."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27841867,"High ROCK1 expression is associated with Clear cell renal cell carcinoma."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27780848,"SNRK in cardiomyocytes is responsible for maintaining cardiac metabolic homeostasis, which is mediated in part by ROCK, and alteration of this homeostasis influences cardiac function in the adult heart."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27758857,"These data provide molecular insight into the Shroom-Rock interface and demonstrate that Shroom directly participates in regulating cytoskeletal dynamics, adding to its known role in Rock localization."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27616626,"findings demonstrated that ROCK activity is significantly increased in type 2 diabetic patients and enhanced ROCK activity may reflect the progression of disease"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27563375,"HIV-1 Tat downregulates OCLN (occludin) and LRP1 and upregulates AGER (RAGE), and in a RhoA/ROCK1 dependent manner as shown through hydroxyfasudil inhibition in hCMEC/D3 cells"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27513300,"BCR-ABL-dependent ROCK, but not TK, is involved in CD1d downregulation. We propose that ROCK, which is most likely activated by the DH/PH domain of BCR-ABL, mediates iNKT-cell immune subversion in chronic myeloid leukaemia (CML) patients by downregulating CD1d expression on CML mDCs."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27495873,"Silencing Drp1 inhibits glioma cells proliferation and invasion by RHOA/ ROCK1 pathway."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27378427,"We successfully identified a novel pathway via which SIN exerted antioxidative and renal protective functions, and provided a molecular basis for potential SIN applications in treating DN vascular disorders."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27374095,"Combined EGFR and ROCK inhibition effectively blocks proliferation of triple-negative breast cancer (TNBC) cells."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27324125,"RhoB and ROCK play a key role in preeclampsia."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27269648,"Results showed that ROCK1 gene rs2271255 (Lys222Glu), rs35996865, and ROCK2 gene rs726843, rs2290156, rs10178332, rs35768389 (Asp601Val) polymorphisms were significantly associated with respiratory distress syndrome (RDS), and that they could be a risk factor for development of neonatal RDS."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27251065,"There are 2 isoforms: ROCK1 and ROCK2. They have different functions in different types of cells and tissues. There is growing evidence that ROCKs contribute to the development of cardiovascular diseases, including cardiac fibrosis, hypertrophy, and subsequent heart failure."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27246255,"that reduction of ROCK1 diminishes amyloid-beta levels by enhancing Amyloid beta-Protein Precursor protein degradation"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27203208,"Inhibition of ROCK signaling restored polarity, decreased disorganization of F-actin, and led to reduction of proliferation of breast cancer cells."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27173611,"vThese results suggest that ROCK may be important in IL-1-induced signaling through MKK4 to JNK and the activation of p38 MAPK."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27160703,"New light on the role of the ROCK pathway during early stages of human neurogenesis."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27145462,"Data show that ROCK1 is the direct target of miR-300, and that the 3' UTRs of ROCK1 had at least 7 nucleotides that were complementary to the miR-300 seed region."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27132890,"Intercellular adhesion-dependent cell survival and ROCK-regulated actomyosin-driven forces are required for the self-organization. Our data supports a hypothesis that newly specified neuroretina progenitors form characteristic structures in equilibrium through minimization of cell surface tension."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27108693,"The results of the present study indicate that miR126 inhibits RCC cell proliferation, migration and invasion by downregulating ROCK1."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27035227,"the results suggested that miR335 directly targets Rhoassociated protein kinase 1 (ROCK1) in bladder cancer."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27033194,"Studies showed that ROCK isoforms, ROCK1 and ROCK2, have been found in various types of neuron-like cell lines and neurons, and function as different regulators in axon outgrowth, neurite retraction, cell survival, autophagy, energy balance, and generation of endogenous beta amyloid. [review]"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,27028892,"Galectin-9 stimulated migration in human NK-92 cells by affecting F-actin polarization through the Rho/ROCK1 signaling pathway."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26970302,"These findings suggested that miR-198 may act not only as a novel prognostic marker, but also as a potential target for molecular therapy of osteosarcoma."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26928204,"Uniaxial stretch activates JNK1 via RhoA and ROCK pathways in human bladder smooth muscle cells."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26872982,"Increased ROCK activity was found in chronic kidney disease patients with left ventricular hypertrophy."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26826790,"ROCK1 and ROCK2 differentially regulate invadopodia activity through separate signaling pathways."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26818518,"This study report that protein levels of the Rho-associated protein kinases (ROCK1) was increased in Progressive Supranuclear Palsy and Corticobasal Degeneration brains."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26715733,"High ROCK1 expression is associated with glioma."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26715279,"Increased ROCK1 expression is associated with breast cancer."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26615424,"these findings indicate that miR-145 acts as a tumor suppressor and its downregulation in tumor tissues may contribute to the progression and metastasis of hepatocellular carcinoma (HCC)through a mechanism involving ROCK1, suggesting miR-145 as a potential new diagnostic and therapeutic target for the treatment of HCC"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26615410,"Significant associations between ROCK1, ROCK2, RhoA and RhoC gene polymorphisms and systemic sclerosis were demonstrated."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26562026,"the ROCK1 rs35996865 G variant allele was significantly more frequent in male colorectal cancer (CRC) patients (p = 0.028) than in the control group; finding points to a possible gender-related modulation by the ROCK1 gene in CRC susceptibility"
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26530325,"miR148b directly targets Rhoassociated protein kinase 1 in hepatocellular carcinoma."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26487003,"We conclude that 2-ME inhibits the pathway RhoA --> ROCK1 --> myosin phosphatase targeting subunit --> myosin light chain, and this likely contributes to the reduced cytokinesis in 2-ME treated HASMCs."
https://pharos.nih.gov/idg/targets/Q13464,Q13464,26481340,"ROCK activity in MS serum was elevated compared with serum from healthy controls"
