"URL","Uniprot ID","Data Source","Data Source URL","Data Type","Attribute Group","Attribute Type","CDF"
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GeneSigDB Published Gene Signatures",http://www.genesigdb.org,transcriptomics,"functional term, phrase or reference",PubMedID,0.213367401318546
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"Reactome Pathways",http://www.reactome.org,"structural or functional annotations","functional term, phrase or reference",pathway,0.322283686764133
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"MPO Gene-Phenotype Associations",http://www.informatics.jax.org/phenotypes.shtml,"disease or phenotype associations","disease, phenotype or trait",phenotype,0.411128409580067
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GAD High Level Gene-Disease Associations",http://geneticassociationdb.nih.gov/,"disease or phenotype associations","disease, phenotype or trait",disease,0.29791456176435
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"HuGE Navigator Gene-Phenotype Associations",https://phgkb.cdc.gov/PHGKB/hNHome.action,"disease or phenotype associations","disease, phenotype or trait",phenotype,0.545825074472131
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"BioGPS Mouse Cell Type and Tissue Gene Expression Profiles",http://biogps.org/,transcriptomics,"cell line, cell type or tissue","cell type or tissue",0.488057716457003
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GAD Gene-Disease Associations",http://geneticassociationdb.nih.gov/,"disease or phenotype associations","disease, phenotype or trait",disease,0.468033537690581
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"HMDB Metabolites of Enzymes",http://www.hmdb.ca/,"physical interactions",chemical,metabolite,0.452531631208513
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"COSMIC Cell Line Gene CNV Profiles",http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/,genomics,"cell line, cell type or tissue","cell line",0.37517827047244
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"InterPro Predicted Protein Domain Annotations",http://www.ebi.ac.uk/interpro/,"structural or functional annotations","structural feature","protein domain",0.726820459418451
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GTEx Tissue Gene Expression Profiles",http://www.gtexportal.org/home/,transcriptomics,"cell line, cell type or tissue",tissue,0.65490224035476
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"DISEASES Text-mining Gene-Disease Assocation Evidence Scores",http://diseases.jensenlab.org/Search,"disease or phenotype associations","disease, phenotype or trait",disease,0.861672589797273
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"HPO Gene-Disease Associations",http://www.human-phenotype-ontology.org/,"disease or phenotype associations","disease, phenotype or trait",phenotype,0.176354324941218
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GWASdb SNP-Phenotype Associations",http://jjwanglab.org/gwasdb,"disease or phenotype associations","disease, phenotype or trait",phenotype,0.717199440617785
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"JASPAR Predicted Transcription Factor Targets",http://jaspar.genereg.net/,genomics,"gene, protein or microRNA","transcription factor",0.0915535483558907
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"CTD Gene-Chemical Interactions",http://ctdbase.org/,"physical interactions",chemical,chemical,0.584982549188362
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray",http://www.brain-map.org/,transcriptomics,"cell line, cell type or tissue","tissue sample",0.655514261197257
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"DrugBank Drug Targets",http://www.drugbank.ca/,"physical interactions",chemical,drug,0.76925603016771
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles",http://www.roadmapepigenomics.org/,genomics,"cell line, cell type or tissue","cell type or tissue",0.305289980740808
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"NURSA Protein Complexes",http://www.nursa.org/nursa/index.jsf,proteomics,"functional term, phrase or reference","protein complex",0.406756274341239
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"LOCATE Curated Protein Localization Annotations",http://locate.imb.uq.edu.au/,proteomics,"functional term, phrase or reference","cellular component",0.14137922868249
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GO Biological Process Annotations",http://geneontology.org/,"structural or functional annotations","functional term, phrase or reference","biological process",0.462035902739436
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"CCLE Cell Line Gene Expression Profiles",http://www.broadinstitute.org/ccle/home,transcriptomics,"cell line, cell type or tissue","cell line",0.759018666386677
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"TCGA Signatures of Differentially Expressed Genes for Tumors",https://tcga-data.nci.nih.gov/tcga/,transcriptomics,"cell line, cell type or tissue","tissue sample",0.268690014990064
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GWASdb SNP-Disease Associations",http://jjwanglab.org/gwasdb,"disease or phenotype associations","disease, phenotype or trait",disease,0.372301116257709
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"LOCATE Predicted Protein Localization Annotations",http://locate.imb.uq.edu.au/,proteomics,"functional term, phrase or reference","cellular component",0.114953724135193
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"CCLE Cell Line Gene CNV Profiles",http://www.broadinstitute.org/ccle/home,genomics,"cell line, cell type or tissue","cell line",0.463114392059036
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"CTD Gene-Disease Associations",http://ctdbase.org/,"disease or phenotype associations","disease, phenotype or trait",disease,0.305123898572789
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"Roadmap Epigenomics Histone Modification Site Profiles",http://www.roadmapepigenomics.org/,genomics,"molecular profile","histone modification site profile",0.113385143785754
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"ENCODE Histone Modification Site Profiles",https://www.encodeproject.org/,genomics,"molecular profile","histone modification site profile",0.0402146561860605
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"CHEA Transcription Factor Targets",http://amp.pharm.mssm.edu/lib/chea.jsp,genomics,"gene, protein or microRNA","transcription factor",0.39229817240679
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"TISSUES Curated Tissue Protein Expression Evidence Scores",http://tissues.jensenlab.org/Search,"structural or functional annotations","cell line, cell type or tissue",tissue,0.139501516538115
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GO Molecular Function Annotations",http://geneontology.org/,"structural or functional annotations","functional term, phrase or reference","molecular function",0.836962929578634
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"ESCAPE Omics Signatures of Genes and Proteins for Stem Cells",http://www.maayanlab.net/ESCAPE/,transcriptomics,"functional term, phrase or reference",PubMedID,0.163698896793432
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GEO Signatures of Differentially Expressed Genes for Transcription Factor Perturbations",http://www.ncbi.nlm.nih.gov/geo/,transcriptomics,"gene, protein or microRNA","transcription factor perturbation",0.161562652896256
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GO Cellular Component Annotations",http://geneontology.org/,"structural or functional annotations","functional term, phrase or reference","cellular component",0.854467585234563
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"GEO Signatures of Differentially Expressed Genes for Diseases",http://www.ncbi.nlm.nih.gov/geo/,transcriptomics,"disease, phenotype or trait","disease perturbation",0.12273590482955
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"COMPARTMENTS Text-mining Protein Localization Evidence Scores",http://compartments.jensenlab.org/Search,"structural or functional annotations","functional term, phrase or reference","cellular component",0.929821067660487
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"TRANSFAC Predicted Transcription Factor Targets",http://www.gene-regulation.com/,genomics,"gene, protein or microRNA","transcription factor",0.0391704518014264
https://pharos.nih.gov/idg/targets/Q9Y5Y9,Q9Y5Y9,"COMPARTMENTS Curated Protein Localization Evidence Scores",http://compartments.jensenlab.org/Search,"structural or functional annotations","functional term, phrase or reference","cellular component",0.890443447768301
