"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/O94759,O94759,28007458,"oxidative stress activated the TRPM2-CaMKII cascade to further induce intracellular ROS production, which led to mitochondria fragmentation and loss of mitochondrial membrane potential"
https://pharos.nih.gov/idg/targets/O94759,O94759,27694440,"findings demonstrate the important function of TRPM2 in modulation of cell survival through mitochondrial ROS, and the potential of targeted inhibition of TRPM2 as a therapeutic approach to reduce cellular bioenergetics, tumor growth, and enhance susceptibility to chemotherapeutic agents."
https://pharos.nih.gov/idg/targets/O94759,O94759,27632706,"We conclude from these studies that inhibition of ROS production, and the subsequent abrogation of TRPM2-mediated Ca(2+) influx, is the primary mechanism underlying RE-1's inhibitory effect on LNs-induced inflammasome activation."
https://pharos.nih.gov/idg/targets/O94759,O94759,27623379,"neutrophils sense reactive oxygen species via the TRPM2 channel to arrest migration at their target site."
https://pharos.nih.gov/idg/targets/O94759,O94759,27569419,"The inhibitory function of oxidant sensing by TRPM2 requires the oxidation of Cys549, which then induces TRMP2 binding to formyl peptide receptor 1 (FPR1) and subsequent FPR1 internalization and signaling inhibition"
https://pharos.nih.gov/idg/targets/O94759,O94759,27322457,"Study demonstrate that PRL is necessary for the survival of (retinal pigment epithelium) RPE under normal and advancing age conditions and, identified SIRT2 and TRPM2 as molecular targets for the antioxidant and antiapoptotic actions of PRL in the RPE."
https://pharos.nih.gov/idg/targets/O94759,O94759,27245989,"oxidative stress activates the TRPM2-Ca(2+)-CAMK2 cascade to phosphorylate BECN1 resulting in autophagy inhibition"
https://pharos.nih.gov/idg/targets/O94759,O94759,27068538,"Activation of TRPM2 channels, however, caused intracellular release of not only Ca(2+) but also of Zn(2+) Intriguingly, elevation of intracellular Zn(2+) faithfully reproduced all of the effects of H2O2, whereas Ca(2+) showed opposite effects. Interestingly, H2O2 caused increased trafficking of Zn(2+)-enriched lysosomes to the leading edge of migrating cells, presumably to impart polarisation of Zn(2+) location."
https://pharos.nih.gov/idg/targets/O94759,O94759,26839633,"TRPM2 has a role in the DNA damage response of T cell leukemia cells in a BCL-2 dependent manner"
https://pharos.nih.gov/idg/targets/O94759,O94759,26656285,"Data show that HEK293 cells expressing low levels of receptor potential melastatin 2 (TRPM2) channel were more susceptible to silica nanoparticles (NPs) than those expressing high levels of TRPM2."
https://pharos.nih.gov/idg/targets/O94759,O94759,26558786,"In a transgenic mouse model of Alzheimer's disease, TRPM2 was involved in neuronal toxicity and memory impairment."
https://pharos.nih.gov/idg/targets/O94759,O94759,26420388,"The work summarized here shows that TRPM2 channels protect cardiac myocytes from ischaemia-reperfusion injury and tumour cells from doxorubicin toxicity, and demonstrates that the mechanisms involve preservation of mitochondrial bioenergetics and modulation of ROS"
https://pharos.nih.gov/idg/targets/O94759,O94759,26311765,"TRPM2 actively regulates the phosphorylation of GSK-3 in the brain."
https://pharos.nih.gov/idg/targets/O94759,O94759,26178079,"This is expected to provide a basis for inhibiting TRPM2 for the improved treatment of breast cancer, which potentially includes treating breast tumors that are resistant to chemotherapy due to their evasion of apoptosis."
https://pharos.nih.gov/idg/targets/O94759,O94759,25760728,"The HDACi-elicited upregulation of TRPM2 expression."
https://pharos.nih.gov/idg/targets/O94759,O94759,25760245,"we report here a novel effect promoted by TRPM2, where it functions to minimize DNA damage and thus may have a role in the protection of genomic DNA in breast cancer cells."
https://pharos.nih.gov/idg/targets/O94759,O94759,25675998,"VEGF-induced angiogenesis required reactive oxygen species generation in endothelial cells and resultant TRPM2 activation."
https://pharos.nih.gov/idg/targets/O94759,O94759,25620041,"These findings shed new light on the evolution of TRPM2 and establish nvTRPM2 as a promising tool to decipher its complex gating mechanisms."
https://pharos.nih.gov/idg/targets/O94759,O94759,25576627,"Ca2+ entry via Trpm2 channels was essential for maintenance of mitochondrial function in the heart."
https://pharos.nih.gov/idg/targets/O94759,O94759,25391657,"TRPM2-L function may be a novel approach to reduce tumor growth through modulation of HIF-1/2a, mitochondrial function, and mitophagy."
https://pharos.nih.gov/idg/targets/O94759,O94759,25084624,"Although further analyses are needed to clarify the mechanism underlying TRPM2-mediated insulin secretion, TRPM2 could be a key player in the regulation of insulin secretion and could represent a new target for diabetes therapy"
https://pharos.nih.gov/idg/targets/O94759,O94759,24931166,"TRPM2-AS knockdown led to prostate cancer apoptosis, with a transcriptional profile indicating an increase in cellular stress, which was coupled to cell cycle arrest, an increase in intracellular hydrogen peroxide and activation of the sense TRPM2 gene."
https://pharos.nih.gov/idg/targets/O94759,O94759,24337049,"Preventing the uncoupling of short variant TRPM2-S from TRPM2 and subsequent calcium gating during oxidative stress mitigates endothelial apoptosis and its consequences in mediating vascular injury and inflammation."
https://pharos.nih.gov/idg/targets/O94759,O94759,24004350,"Recent scientific advance on the mechanistic study of gout-associated inflammation is discussed and the potential of targeting the transient receptor potential melastatin 2 is highlighted as a novel therapeutic approach for the treatment of gout"
https://pharos.nih.gov/idg/targets/O94759,O94759,23957292,"the crucial role of a positively charged amino acid residue at position 1110 for TRPM2 channel activity"
https://pharos.nih.gov/idg/targets/O94759,O94759,23910495,"TRPM7 plays a critical role in breast cancer cell migration through its kinase domain."
https://pharos.nih.gov/idg/targets/O94759,O94759,23629676,"The degradation of zonula occludens-1 (ZO-1), and claudin-2 exhibited a great dependence on the activation of the transient receptor potential melastatin (TRPM) 2 channel, phospholipase Cgamma1 (PLCgamma1) and the protein kinase Calpha (PKCalpha) signaling cascade."
https://pharos.nih.gov/idg/targets/O94759,O94759,23458684,"the activation of TRPM2 channel, which mediates ATP release, and TRPV1 channel plays significant roles in the cellular responses to DNA damage induced by gamma-irradiation and UVB irradiation."
https://pharos.nih.gov/idg/targets/O94759,O94759,23443543,"TRPM2 is activated by irradiation, via PARP1 activation, and contributes to irreversible loss of salivary gland function."
https://pharos.nih.gov/idg/targets/O94759,O94759,23302782,"overexpression of TRPM2-S results in increased proliferation through phosphatidylinositol 3-kinase/Akt and ERK pathways, while overexpression of TRPM2-L confers protection against oxidative stress-induced cell death through FOXO3a and SOD"
https://pharos.nih.gov/idg/targets/O94759,O94759,23277130,"The association with bipolar disorder of the iPLA2beta (PLA2G6) its genetic interaction with type 2 transient receptor potential channel gene TRPM2, was examined."
https://pharos.nih.gov/idg/targets/O94759,O94759,23185472,"In conclusion, the N-x-x-D motif plays specific roles in TRPM8 and TRPM2, reflecting different requirements for voltage-dependent and voltage-independent channel gating."
https://pharos.nih.gov/idg/targets/O94759,O94759,23142700,"TRPM2 mRNA expression in endometrial stromal cells increased after 17beta-estradiol exposure."
https://pharos.nih.gov/idg/targets/O94759,O94759,22931549,"Particulate matter induces marked increases in vascular permeability via ROS-mediated calcium leakage via activated TRPM2, and via ZO-1 degradation by activated calpain."
https://pharos.nih.gov/idg/targets/O94759,O94759,22750002,"Cu2+ is a potent TRPM2 channel blocker. The sensitivity of TRPM2 channel to heavy metal ions could be a new mechanism for the pathogenesis of some metal ion-related diseases."
https://pharos.nih.gov/idg/targets/O94759,O94759,22547068,"the changes of Ca(2+) homeostasis induced by NAD(+) precursors are mediated by CD38 and the consequent ADPR-mediated TRPM2 gating."
https://pharos.nih.gov/idg/targets/O94759,O94759,22493272,"findings suggest that redox signals sensitize TRPM2 downstream of NADPH oxidase activity and make TRPM2 active at physiological body temperature, leading to increased cytosolic Ca(2+) concentrations"
https://pharos.nih.gov/idg/targets/O94759,O94759,22226147,"The juvenile myoclonic epilepsy-related protein EFHC1 interacts with the redox-sensitive TRPM2 channel linked to cell death."
https://pharos.nih.gov/idg/targets/O94759,O94759,21602277,"Zn(2+) inactivates the TRPM2 channels and that residues in the outer pore are critical determinants of the inactivation."
https://pharos.nih.gov/idg/targets/O94759,O94759,21505784,"Results suggest a crucial role of residue His(995)/Gln(992) in the outer pore of TRPM2 channels in determining species-dependent effects of extracellular acidic pH."
https://pharos.nih.gov/idg/targets/O94759,O94759,21193737,"TRP channels in the beta-cell may integrate a variety of stimuli to modulate glucose-stimulated electrical and calcium responsiveness."
https://pharos.nih.gov/idg/targets/O94759,O94759,20799912,"Our findings suggest that the elevation of [Na(+)](in) and [Ca(2+)](in) induced ONP apoptosis and altered the expression of TRPM2. Lithium pretreatment attenuated the apoptosis induced by ionic stress."
https://pharos.nih.gov/idg/targets/O94759,O94759,20660597,"acidic pH acts as a negative feedback mechanism where protons bind to the outer vestibule of the TRPM2 channel pore and inhibit the TRPM2 channels in a state-dependent manner."
https://pharos.nih.gov/idg/targets/O94759,O94759,20650899,"Identification of direct and indirect effectors of the transient receptor potential melastatin 2 (TRPM2) cation channel."
https://pharos.nih.gov/idg/targets/O94759,O94759,20587417,"the gating processes in TRPM2 and TRPM8 differ in their requirements for specific structures within the pore."
https://pharos.nih.gov/idg/targets/O94759,O94759,20515676,"found no evidence for an association of the TRPM2 variants tested with type 2 diabetes mellitus, although HOMA-%B was negatively associated with three TRPM2 variants"
https://pharos.nih.gov/idg/targets/O94759,O94759,20515676,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/O94759,O94759,20237295,"Enhancement of azurophil granule-phagosome fusion via glycine receptor alpha 2 subunit (GlyRalpha2)/transient receptor potential melastatin (TRPM)2/p38 MAP kinase signaling is a novel target for enhancement of neutrophil bactericidal activity."
https://pharos.nih.gov/idg/targets/O94759,O94759,20194125,"The calcium-permeable non-selective cation channel TRPM2 is modulated by cellular acidification."
https://pharos.nih.gov/idg/targets/O94759,O94759,20107186,"Data demonstrate that TRPM2 is required for the LPS-induced production of IL-6, IL-8, IL-10, and TNF-alpha."
https://pharos.nih.gov/idg/targets/O94759,O94759,20029400,"TRPM2 is essential for prostate cancer cell proliferation and may be a potential target for the selective treatment of prostate cancer."
https://pharos.nih.gov/idg/targets/O94759,O94759,19887679,"[REVIEW] TRPM1 and TRPM2, are localized in intracellular compartments and are involved in melanin synthesis and oxidative stress-induced cell death"
https://pharos.nih.gov/idg/targets/O94759,O94759,19749482,"Its activation by oxidative stress leads to chemokine production in macrophage, which causes chronic inflammation. (review)"
https://pharos.nih.gov/idg/targets/O94759,O94759,19652898,"These results collectively suggest the requirement for the N-terminal CC domain for protein expression and function, but not subunit interaction, of the TRPM2 channel."
https://pharos.nih.gov/idg/targets/O94759,O94759,19454650,"Data show that TRPM2 and ADPR represent multimodal signaling elements regulating Ca2+ mobilization in beta cells through membrane depolarization, Ca2+ influx, and release of Ca2+ from intracellular stores."
https://pharos.nih.gov/idg/targets/O94759,O94759,19382906,"functional TRPM2 channels mediate H(2)O(2)-induced Ca(2+) entry in beta-cells, a process potently inhibited by N-(p-amylcinnamoyl)anthranilic acid"
https://pharos.nih.gov/idg/targets/O94759,O94759,19133961,"This study supports a role for TRPM2 in the pathogenesis of bipolar disorder and the G allele of rs1556314 at exon 11 of TRPM2 in BD-I but not bipolar disorder type II (BD-II)."
https://pharos.nih.gov/idg/targets/O94759,O94759,19133961,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/O94759,O94759,19004782,"A variant of the transient receptor potential melastatin 2 (TRPM2) gene may confer susceptibility to parkinsonism-dementia and amyotrophic lateral sclerosis."
https://pharos.nih.gov/idg/targets/O94759,O94759,18957938,"Study describes the computational identification of a melanoma-enriched antisense transcript, TRPM2-AS, mapped within the locus of TRPM2, an ion channel capable of mediating susceptibility to cell death"
https://pharos.nih.gov/idg/targets/O94759,O94759,18687688,"that Glu-960, Gln-981, Asp-987, and Glu-1022 residues are engaged in determining divalent cationic permeation properties of the TRPM2 channel."
https://pharos.nih.gov/idg/targets/O94759,O94759,18599483,"during conditions of oxidative stress in lymphocytes, TRPM2 acts as a downstream effector of the PARP/poly(ADP-ribose) glycohydrolase pathway through PARP-dependent formation of ADP-ribose."
https://pharos.nih.gov/idg/targets/O94759,O94759,18572241,"The regulation of TRPM2 activation in human neutrophils, is characterized."
https://pharos.nih.gov/idg/targets/O94759,O94759,18048770,"TRPM2 mediates H2O2-induced increase in endothelial permeability through the activation of Ca2+ entry via TRPM2."
https://pharos.nih.gov/idg/targets/O94759,O94759,17940282,"TRPM2 agonist-binding ADPRase domain and the ion gate in the transmembrane region are separately located in the molecule."
https://pharos.nih.gov/idg/targets/O94759,O94759,17604279,"the transmembrane segment S6 has a role in determining cation versus anion selectivity of TRPM2 and TRPM8"
https://pharos.nih.gov/idg/targets/O94759,O94759,17525977,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/O94759,O94759,17251321,"Tyrosine phosphorylation of TRPM2 by PTPL1 controls activation/function."
https://pharos.nih.gov/idg/targets/O94759,O94759,17217061,"in light of the wide-spread expression and growing list of cellular functions of TRPM2, useful therapeutic applications are expected for future drugs that block TRPM2 channels or inhibit their activation--{REVIEW}"
https://pharos.nih.gov/idg/targets/O94759,O94759,17060318,"examined role of a coiled-coil domain in the intracellular C terminus of TRPM2 subunit in subunit interaction and channel assembly"
https://pharos.nih.gov/idg/targets/O94759,O94759,16822940,"These results taken together suggest that the cysteine residues in the pore region are obligatory for TRPM2 channel function."
https://pharos.nih.gov/idg/targets/O94759,O94759,16777714,"detailed expression profile of TRPM2 mRNA within the central nervous system"
https://pharos.nih.gov/idg/targets/O94759,O94759,16733555,"Screening of bipolar affective disorder patients for mutations in TRPM2 led to identification of three novel and four known transitions, indicating TRPM2 as a candidate gene of bipolar affective disorder."
https://pharos.nih.gov/idg/targets/O94759,O94759,16719842,"ADP-ribose and Ca2+ in concert behave as a messenger system for agonist-induced influx of Ca2+ through TRPM2 in granulocytes"
https://pharos.nih.gov/idg/targets/O94759,O94759,16601673,"TRPM2 is a potential molecular target for cADPR, which regulates Ca(2+) entry into pancreatic beta-cells at body temperature depending on the production of cADPR-related molecules, thereby regulating insulin secretion."
https://pharos.nih.gov/idg/targets/O94759,O94759,16585058,"Cyclic ADP-ribose and NAADP strongly activate natively expressed TRPM2 chanels in Jurkat T cells."
https://pharos.nih.gov/idg/targets/O94759,O94759,16565078,"a SIR2 reaction metabolite modulates TRPM2 ion channel"
https://pharos.nih.gov/idg/targets/O94759,O94759,16461353,"data demonstrate the requirement for CaM in TRPM2 activation; they suggest that Ca(2+) entering through TRPM2 enhances interaction of CaM with TRPM2 at the IQ-like motif in the N terminus, providing crucial positive feedback for channel activation"
https://pharos.nih.gov/idg/targets/O94759,O94759,16316998,"gene silencing of TRPM2 abolished the adenosine diphosphoribose - and ConA-mediated inward current."
https://pharos.nih.gov/idg/targets/O94759,O94759,16306129,"Data show that one mechanism through which oxidative stress or TNF-alpha mediates cell death is activation of TRPM2, resulting in increased internal calcium, followed by caspase activation and PARP cleavage."
https://pharos.nih.gov/idg/targets/O94759,O94759,16252251,"Observational study of gene-disease association. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/O94759,O94759,16252251,"Findings suggest genetic variants of the TRPM2 gene increase risk for BD and support the notion that TRPM2 may be involved in the pathophysiology of bipolar disorder."
https://pharos.nih.gov/idg/targets/O94759,O94759,16075382,"LTRPC2 protein is a likely component of the calcium release activated nonselective cation channel in lymphocytes"
https://pharos.nih.gov/idg/targets/O94759,O94759,15808509,"TRPM2 is a coincidence detector for adenosine diphosphatae ribose and cyclic adp ribose signaling."
