"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/O94759,O94759,TRPM2,"Transient receptor potential cation channel subfamily M member 2","Isoform 3: Lacks cation channel activity and negatively regulates the channel activity of isoform 1. Negatively regulates susceptibility to cell death in reposponse to oxidative stress.",Tchem,"TRPM2 sub-subfamily","ion channel",-1.3431812562907204,"Ion Channel",17620,209,101,30.32,25.14,191.15,28007458|27694440|27632706|27623379|27569419|27383051|27322457|27245989|27068538|26839633|26656285|26558786|26420388|26311765|26178079|25918360|25760728|25760245|25675998|25620041|25576627|25562606|25391657|25084624|24931166|24337049|24004350|23957292|23910495|23629676|23458684|23443543|23302782|23277130|23185472|23142700|22931549|22750002|22547068|22493272|22226147|21602277|21505784|21193737|20799912|20660597|20650899|20587417|20515676|20237295|20194125|20107186|20029400|19887679|19749482|19652898|19454650|19382906|19171771|19133961|19004782|18957938|18687688|18599483|18572241|18048770|17940282|17604279|17525977|17251321|17217061|17060318|16822940|16777714|16733555|16719842|16601673|16585058|16565078|16461353|16382100|16316998|16306129|16260005|16252251|16075382|15808509|15708008|15561722|12594222|12564954|12529379|12477932|12377790|12032305|11960981|11804595|11509734|11385575|11290752|10830953|9806837|9179495
https://pharos.nih.gov/idg/targets/Q9Y5S1,Q9Y5S1,TRPV2,"Transient receptor potential cation channel subfamily V member 2","Calcium-permeable, non-selective cation channel with an outward rectification. Seems to be regulated, at least in part, by IGF-I, PDGF and neuropeptide head activator. May transduce physical stimuli in mast cells. Activated by temperatures higher than 52 degrees Celsius; is not activated by vanilloids and acidic pH.",Tchem,"TRPV2 sub-subfamily","ion channel",-2.2852529144738583,"Ion Channel",49966,203,49,34.28,197.87,83.28,27553072|27298359|27079220|26865051|26416880|25869297|25641129|25333484|25268680|25001513|24878697|24764033|24475260|24275569|24206072|23964684|23786999|23741410|23542034|23453732|23426965|23294145|23186163|22327830|21574765|21506114|20926660|20686800|20113837|20103638|20093382|19619644|19482060|18983665|18787888|17977643|17081065|16882997|16777226|16625196|16533525|16382100|15489334|15249591|14702039|12765698|12765693|12477932|12093812|12077606|10887936|10201375
https://pharos.nih.gov/idg/targets/Q96QT4,Q96QT4,TRPM7,"Transient receptor potential cation channel subfamily M member 7","Essential ion channel and serine/threonine-protein kinase. Divalent cation channel permeable to calcium and magnesium. Has a central role in magnesium ion homeostasis and in the regulation of anoxic neuronal cell death. Involved in TNF-induced necroptosis downstream of MLKL by mediating calcium influx. The kinase activity is essential for the channel function. May be involved in a fundamental process that adjusts plasma membrane divalent cation fluxes according to the metabolic state of the cell. Phosphorylates annexin A1 (ANXA1).",Tchem,"TRPM7 sub-subfamily","ion channel",-2.5315389406873834,"Ion Channel",11925,317,137,47.47,365.47,249.19,28870815|28849029|28791418|28696294|28609676|28573641|28545665|28533887|28499095|28393175|28379203|28356194|28314277|28284058|28129376|28061441|27693494|27651019|27466368|27402209|27020697|26874684|26780729|26779625|26563869|26179995|25983327|25946314|25797249|25472964|25450691|25438992|25304381|25277194|25263397|25192910|25130439|25069584|24952745|24952306|24938632|24935580|24920677|24858416|24855944|24849279|24769209|24756720|24752033|24710004|24445362|24385424|24316671|24223965|24138320|23934071|23838006|23533657|23471296|23353055|23247582|23186163|23168410|23166209|22871386|22820907|22802050|22759789|22698280|22671428|22634382|22566504|22460708|22323115|22308955|22301056|22183257|22102510|21926172|21627970|21443732|21183474|21150127|21122141|21112387|20875900|20075334|20070945|20068231|19998500|19644062|19515901|19454490|19413330|19405049|19149903|19145781|19032368|18826101|18719395|18675813|18669648|18390554|18365021|18301276|18192217|18073331|18006838|17823441|17785843|17646711|17510191|17344846|17310095|17217066|17095511|16943238|16636202|16533898|16436382|16407977|16382100|16357306|16344560|16150690|16075242|16051700|15781465|15591230|15489334|15485879|15342556|15069188|14976260|14702039|14594813|12887921|12477932|11941371|11385574|11161216|10021370
https://pharos.nih.gov/idg/targets/Q9HCF6,Q9HCF6,TRPM3,"Transient receptor potential cation channel subfamily M member 3","Calcium channel mediating constitutive calcium ion entry. Its activity is increased by reduction in extracellular osmolarity, by store depletion and muscarinic receptor activation.",Tchem,"TRPM3 sub-subfamily","ion channel",-2.1923628367973973,"Ion Channel",12163,121,40,41.73,141.82,55.11,27727448|27227024|26891941|26546534|26517445|26493679|26123195|26123194|25576487|25517751|25090642|24895737|23449627|23121507|22961981|22451665|22000496|21278253|20855565|20834067|20401728|20360246|19240061|18224337|17233610|17217062|16382100|15824111|15550678|15489334|15164053|14702039|12672827|12672799|12477932|12107413|12107412|11230166|10997877|8889548|8125298
https://pharos.nih.gov/idg/targets/Q9HCX4,Q9HCX4,TRPC7,"Short transient receptor potential channel 7","Thought to form a receptor-activated non-selective calcium permeant cation channel. Probably is operated by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases or G-protein coupled receptors. Activated by diacylglycerol (DAG) (By similarity). May also be activated by intracellular calcium store depletion.",Tchem,"TRPC7 sub-subfamily","ion channel",-2.4377535420907526,"Ion Channel",4184,220,15,29.01,199.76,76.58,24470487|21402151|20379614|19812035|19240791|18021175|17850865|17217055|16741513|16382100|16123040|15972814|15757897|15489334|15372022|15342342|12477932|11805119
https://pharos.nih.gov/idg/targets/Q9HBA0,Q9HBA0,TRPV4,"Transient receptor potential cation channel subfamily V member 4","Non-selective calcium permeant cation channel involved in osmotic sensitivity and mechanosensitivity. Activation by exposure to hypotonicity within the physiological range exhibits an outward rectification (PubMed:18826956, PubMed:18695040). Also activated by heat, low pH, citrate and phorbol esters (PubMed:18826956, PubMed:18695040). Increase of intracellular Ca(2+) potentiates currents. Channel activity seems to be regulated by a calmodulin-dependent mechanism with a negative feedback mechanism (PubMed:12724311, PubMed:18826956). Promotes cell-cell junction formation in skin keratinocytes and plays an important role in the formation and/or maintenance of functional intercellular barriers (By similarity). Acts as a regulator of intracellular Ca(2+) in synoviocytes (PubMed:19759329). Plays an obligatory role as a molecular component in the nonselective cation channel activation induced by 4-alpha-phorbol 12,13-didecanoate and hypotonic stimulation in synoviocytes and also regulates production of IL-8 (PubMed:19759329). Together with PKD2, forms mechano- and thermosensitive channels in cilium (PubMed:18695040). Negatively regulates expression of PPARGC1A, UCP1, oxidative metabolism and respiration in adipocytes (By similarity). Regulates expression of chemokines and cytokines related to proinflammatory pathway in adipocytes (By similarity). Together with AQP5, controls regulatory volume decrease in salivary epithelial cells (By similarity). Required for normal development and maintenance of bone and cartilage (PubMed:26249260).",Tchem,"TRPV4 sub-subfamily","ion channel",-2.8601586799783605,"Ion Channel",81382,258,178,44.17,747.33,339.81,29126921|28951460|28759041|28687525|28414187|28368307|28098409|27706112|27687509|27599507|27530454|27496898|27436359|27434269|27330106|27003252|26948711|26874068|26865051|26851262|26842013|26823048|26702092|26475857|26381274|26358221|26330151|26294342|26289129|26259779|26249260|26222277|26170305|26146187|26110311|26019339|25933715|25911511|25900305|25878251|25737550|25647731|25559845|25511389|25449039|25333484|25301060|25256292|25143588|25118282|25114176|24911002|24868547|24789864|24789205|24695993|24643128|24577120|24559391|24509911|24440740|24206072|24084385|23999312|23964684|23690576|23333822|23306656|23288842|23143559|23136043|23108102|23086916|23049542|22882778|22851605|22814746|22791502|22702953|22689561|22689196|22675077|22617546|22526352|22374181|22328087|22327830|22300296|22187434|22140047|22101010|21996372|21964829|21964574|21685934|21658220|21573172|21506114|21493730|21454511|21339821|21336783|21288981|21262839|21245013|21115951|20888819|20650893|20639579|20605796|20577006|20503319|20460441|20425821|20399209|20392266|20190511|20043876|20037588|20037587|20037586|19759329|19749483|19701771|19666518|19661060|19359599|19279160|19232556|19066426|19033444|19027987|18983665|18845910|18826956|18787888|18695040|18682435|18587396|18552442|18458941|18378772|18355916|18343379|18307101|18305162|18284852|18174177|17932042|17521436|17374521|17233610|17217058|16627472|16537379|16403833|16382100|16368742|16344560|16293632|15753126|15489334|15489228|15075247|14517216|12724311|12692122|12538589|12477932|12354759|12093812|12077606|11827975|11160995|11094154|11081638|11025659|10717675|10463355
https://pharos.nih.gov/idg/targets/Q9NZQ8,Q9NZQ8,TRPM5,"Transient receptor potential cation channel subfamily M member 5","Voltage-modulated Ca(2+)-activated, monovalent cation channel (VCAM) that mediates a transient membrane depolarization and plays a central role in taste transduction. Monovalent-specific, non-selective cation channel that mediates the transport of Na(+), K(+) and Cs(+) ions equally well. Activated directly by increases in intracellular Ca(2+), but is impermeable to it. Gating is voltage-dependent and displays rapid activation and deactivation kinetics upon channel stimulation even during sustained elevations in Ca(2+). Also activated by a fast intracellular Ca(2+) increase in response to inositol 1,4,5-triphosphate-producing receptor agonists. The channel is blocked by extracellular acidification. External acidification has 2 effects, a fast reversible block of the current and a slower irreversible enhancement of current inactivation. Is a highly temperature-sensitive, heat activated channel showing a steep increase of inward currents at temperatures between 15 and 35 degrees Celsius. Heat activation is due to a shift of the voltage-dependent activation curve to negative potentials. Activated by arachidonic acid in vitro. May be involved in perception of bitter, sweet and umami tastes. May also be involved in sensing semiochemicals.",Tchem,"TRPM5 sub-subfamily","ion channel",-1.9861124634240677,"Ion Channel",11595,113,22,22.11,95.47,46.64,26571400|26546534|25967713|24952745|24288162|24019741|23884414|23844940|23741618|21489577|21133676|20660057|19773279|17217064|16554811|16382100|15731110|15489334|14657398|14634208|12477932|12368808|10915772|10607831
https://pharos.nih.gov/idg/targets/O75762,O75762,TRPA1,"Transient receptor potential cation channel subfamily A member 1","Receptor-activated non-selective cation channel involved in detection of pain and possibly also in cold perception and inner ear function (PubMed:25389312, PubMed:25855297). Has a central role in the pain response to endogenous inflammatory mediators and to a diverse array of volatile irritants, such as mustard oil, cinnamaldehyde, garlic and acrolein, an irritant from tears gas and vehicule exhaust fumes (PubMed:25389312, PubMed:20547126). Is also activated by menthol (in vitro)(PubMed:25389312). Acts also as a ionotropic cannabinoid receptor by being activated by delta(9)-tetrahydrocannabinol (THC), the psychoactive component of marijuana (PubMed:25389312). May be a component for the mechanosensitive transduction channel of hair cells in inner ear, thereby participating in the perception of sounds. Probably operated by a phosphatidylinositol second messenger system (By similarity).",Tclin,"Transient receptor potential calcium channel (TRP-CC) family",,-2.8800318713051993,"Ion Channel",28792,185,123,33.19,848.28,407.96,29084244|28629997|28364279|28194754|28187208|28076424|28043013|28030472|27824920|27779810|27758864|27718297|27589700|27515912|27333657|27281024|27079970|26928772|26849948|26634370|26530852|26504357|26358221|26330615|26283426|26054320|26046936|26039217|25911511|25855297|25765567|25724085|25687973|25654580|25642661|25564678|25484020|25405290|25389312|25271161|25265225|25056810|24975826|24944203|24871046|24815021|24752136|24695993|24564660|24496475|24275229|24206072|24140646|24084605|24071625|24037916|24002057|23994502|23994313|23709225|23707266|23558672|23508958|23478802|23415228|23345429|23219522|23133611|22905134|22863862|22843691|22740698|22665484|22461626|22458587|22426997|22222967|21993194|21981454|21962912|21930928|21848366|21719896|21419293|21195050|21168271|21133676|21112285|21094256|21037510|20946100|20547126|20457836|20194132|20190512|19715741|19507192|19507004|19369549|19282836|19237591|19211797|19159452|19074743|19059884|18988737|18954467|18775987|18769139|18671867|18499726|18463259|18456404|18440147|18384850|17571167|17285310|17217068|17164327|16500080|16421571|16382100|14712238|10066796|9511734
https://pharos.nih.gov/idg/targets/Q9GZU1,Q9GZU1,MCOLN1,Mucolipin-1,"May contribute to cellular lipase activity within the late endosomal pathway or at the cell surface which may be involved in processes of membrane reshaping and vesiculation, especially the growth of tubular structures. However, it is not known, whether it conveys the enzymatic activity directly, or merely facilitates the activity of an associated phospholipase.",Tchem,"MCOLN1 sub-subfamily","ion channel",-2.434593781134609,"Ion Channel",48723,132,72,41.11,272.22,184.64,29019983|28360104|28112729|28087698|27787197|27623384|27577094|27357649|26195823|26009188|25733853|25130899|24960374|24192042|23685283|23418601|23382219|23368743|23047439|22733759|22415822|22262857|21889421|21613607|21540176|21290297|21256127|21224396|20864526|20736310|19885840|19864416|19763610|19638346|19159218|19006653|18794901|18504305|18264947|18029348|17988215|17924347|17897319|17306511|17239335|16978393|16959974|16645217|16606612|16517607|16497227|16382100|16361256|16287144|16257972|16133264|15523648|15489334|15345747|15336987|15178326|15070744|14749347|14702039|12477932|12459486|12182165|12125810|11326278|11318610|11317355|11030752|11013137|10973263|10441585|8125298|2874839
https://pharos.nih.gov/idg/targets/Q8NER1,Q8NER1,TRPV1,"Transient receptor potential cation channel subfamily V member 1","Ligand-activated non-selective calcium permeant cation channel involved in detection of noxious chemical and thermal stimuli. Seems to mediate proton influx and may be involved in intracellular acidosis in nociceptive neurons. Involved in mediation of inflammatory pain and hyperalgesia. Sensitized by a phosphatidylinositol second messenger system activated by receptor tyrosine kinases, which involves PKC isozymes and PCL. Activation by vanilloids, like capsaicin, and temperatures higher than 42 degrees Celsius, exhibits a time- and Ca(2+)-dependent outward rectification, followed by a long-lasting refractory state. Mild extracellular acidic pH (6.5) potentiates channel activation by noxious heat and vanilloids, whereas acidic conditions (pH <6) directly activate the channel. Can be activated by endogenous compounds, including 12-hydroperoxytetraenoic acid and bradykinin. Acts as ionotropic endocannabinoid receptor with central neuromodulatory effects. Triggers a form of long-term depression (TRPV1-LTD) mediated by the endocannabinoid anandamine in the hippocampus and nucleus accumbens by affecting AMPA receptors endocytosis.",Tclin,"TRPV1 sub-subfamily","ion channel",-3.2677993028527617,"Ion Channel",128541,373,314,43.05,1774.56,1421.02,29149168|28637794|28522561|28364279|28336810|28284340|28187208|28063984|28044278|27992447|27758864|27699868|27663071|27627464|27623929|27606946|27512850|27456865|27438088|27436359|27339229|27333657|27322240|27314441|27312995|27287034|27250983|27240888|27180305|27163769|27150432|27038373|27016779|26947234|26882503|26796050|26755770|26753651|26752109|26702055|26700618|26695734|26645885|26530852|26517313|26490328|26436415|26420335|26390894|26387947|26343051|26337663|26294672|26283426|26146187|26054320|25911511|25860199|25814480|25781982|25715236|25670203|25666878|25642661|25641129|25585038|25561742|25505315|25481381|25449039|25445434|25425643|25336328|25333484|25319702|25301060|25288608|25266715|25257701|25216685|25210497|25170901|24931369|24889371|24871046|24868547|24798548|24764033|24720453|24658385|24599956|24569998|24564662|24564660|24458144|24340836|24312564|24296694|24275229|24190005|24189713|24152419|24139494|24098582|24084605|24073800|24002057|23902373|23820422|23709255|23699529|23689362|23616546|23510405|23508958|23458684|23453732|23398938|23279936|23264624|23183769|23139219|23123284|23074220|23047628|22942745|22936245|22935106|22883519|22870787|22829138|22820645|22814029|22809607|22792722|22691178|22647236|22570472|22568077|22566504|22556011|22518827|22493457|22443337|22401740|22389490|22327830|22262885|22262838|22260796|22242698|22171160|22162417|22089942|21981454|21962912|21960521|21956871|21951314|21945155|21926175|21911503|21654202|21616913|21555515|21546516|21506114|21493704|21451044|21351130|21345654|21310942|21285946|21168271|21160085|21083604|21076424|21076423|21044960|21037510|20807792|20696376|20691059|20639579|20628086|20518854|20515731|20456759|20379614|20351268|20190512|20145248|20096818|20060270|20034385|19959817|19923855|19913121|19877503|19801576|19778904|19770677|19749171|19656659|19651168|19619644|19608651|19598235|19482060|19397909|19333172|19328632|19161409|19074743|19056576|19036069|18983665|18852901|18830626|18791833|18787888|18786439|18769453|18584893|18574245|18559878|18552442|18503554|18499726|18482991|18414789|18267041|18230619|18222434|18076848|17927589|17913835|17659837|17626206|17596456|17582772|17567713|17560936|17521436|17508360|17508023|17442052|17442041|17428642|17392452|17385724|17347480|17217056|17184838|17176640|17109831|17074976|17018028|17016800|16996800|16996476|16842630|16793902|16777226|16625196|16406364|16382100|16381901|16319926|16301147|16099171|16081411|15992990|15793280|15738111|15708075|15691846|15685214|15644492|15574747|15489336|15489334|15306801|15190102|15066994|15051629|14996838|14987252|14630912|14554100|14523239|14520770|14506258|12812762|12808128|12765698|12721390|12573376|12490594|12477932|12454015|12393854|12194871|12077606|11884385|11549313|11358970|11243859|11230166|11226139|11124944|11076863|11050376|10725386|10201375|9349813
