"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P43220,P43220,"cAMP signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04024
https://pharos.nih.gov/idg/targets/P43220,P43220,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P43220,P43220,"Insulin secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04911
https://pharos.nih.gov/idg/targets/P43220,P43220,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P43220,P43220,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/P43220,P43220,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/P43220,P43220,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/P43220,P43220,Metabolism,"Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-1430728
https://pharos.nih.gov/idg/targets/P43220,P43220,"G alpha (s) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-418555
https://pharos.nih.gov/idg/targets/P43220,P43220,"Class B/2 (Secretin family receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-373080
https://pharos.nih.gov/idg/targets/P43220,P43220,"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-381676
https://pharos.nih.gov/idg/targets/P43220,P43220,"Glucagon-type ligand receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-420092
https://pharos.nih.gov/idg/targets/P43220,P43220,"Integration of energy metabolism","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-163685
https://pharos.nih.gov/idg/targets/P43220,P43220,"Regulation of insulin secretion","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-422356
https://pharos.nih.gov/idg/targets/P43220,P43220,"GPCRs, Class B Secretin-like","WikiPathways Pathway",http://www.wikipathways.org/instance/WP334_r79716
https://pharos.nih.gov/idg/targets/P47872,P47872,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P47872,P47872,"Bile secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04976
https://pharos.nih.gov/idg/targets/P47872,P47872,"Pancreatic secretion","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04972
https://pharos.nih.gov/idg/targets/P47872,P47872,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P47872,P47872,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/P47872,P47872,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/P47872,P47872,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/P47872,P47872,"G alpha (s) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-418555
https://pharos.nih.gov/idg/targets/P47872,P47872,"Class B/2 (Secretin family receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-373080
https://pharos.nih.gov/idg/targets/P47872,P47872,"Glucagon-type ligand receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-420092
https://pharos.nih.gov/idg/targets/P47872,P47872,"GPCRs, Class B Secretin-like","WikiPathways Pathway",http://www.wikipathways.org/instance/WP334_r79716
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"G alpha (s) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-418555
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Class B/2 (Secretin family receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-373080
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"Glucagon-type ligand receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-420092
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"GPCRs, Other","WikiPathways Pathway",http://www.wikipathways.org/instance/WP117_r82985
https://pharos.nih.gov/idg/targets/Q02643,Q02643,"GPCRs, Class B Secretin-like","WikiPathways Pathway",http://www.wikipathways.org/instance/WP334_r79716
https://pharos.nih.gov/idg/targets/P41587,P41587,"cAMP signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04024
https://pharos.nih.gov/idg/targets/P41587,P41587,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P41587,P41587,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P41587,P41587,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
